"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40510	"Garfield-South Elevated"	"12/22/2017"	"W"	"1,042"
40510	"Garfield-South Elevated"	"12/24/2017"	"U"	"431"
40510	"Garfield-South Elevated"	"12/09/2017"	"A"	"688"
40510	"Garfield-South Elevated"	"12/17/2017"	"U"	"486"
40510	"Garfield-South Elevated"	"12/31/2017"	"U"	"393"
40510	"Garfield-South Elevated"	"12/21/2017"	"W"	"1,127"
40510	"Garfield-South Elevated"	"12/01/2017"	"W"	"1,424"
40510	"Garfield-South Elevated"	"12/27/2017"	"W"	"787"
40510	"Garfield-South Elevated"	"12/07/2017"	"W"	"1,282"
40510	"Garfield-South Elevated"	"12/12/2017"	"W"	"1,162"
40510	"Garfield-South Elevated"	"12/18/2017"	"W"	"1,212"
40510	"Garfield-South Elevated"	"12/10/2017"	"U"	"579"
40510	"Garfield-South Elevated"	"12/29/2017"	"W"	"851"
40510	"Garfield-South Elevated"	"12/04/2017"	"W"	"1,330"
40510	"Garfield-South Elevated"	"12/13/2017"	"W"	"1,250"
40510	"Garfield-South Elevated"	"12/16/2017"	"A"	"669"
40510	"Garfield-South Elevated"	"12/30/2017"	"A"	"500"
40510	"Garfield-South Elevated"	"12/11/2017"	"W"	"1,239"
40510	"Garfield-South Elevated"	"12/05/2017"	"W"	"1,335"
40510	"Garfield-South Elevated"	"12/20/2017"	"W"	"1,165"
40510	"Garfield-South Elevated"	"12/03/2017"	"U"	"586"
40510	"Garfield-South Elevated"	"12/28/2017"	"W"	"819"
40510	"Garfield-South Elevated"	"12/08/2017"	"W"	"1,330"
40510	"Garfield-South Elevated"	"12/15/2017"	"W"	"1,202"
40510	"Garfield-South Elevated"	"12/23/2017"	"A"	"619"
40510	"Garfield-South Elevated"	"12/06/2017"	"W"	"1,294"
40510	"Garfield-South Elevated"	"12/19/2017"	"W"	"1,240"
40510	"Garfield-South Elevated"	"12/02/2017"	"A"	"847"
40510	"Garfield-South Elevated"	"12/25/2017"	"U"	"304"
40510	"Garfield-South Elevated"	"12/26/2017"	"W"	"668"
40510	"Garfield-South Elevated"	"12/14/2017"	"W"	"1,261"
40510	"Garfield-South Elevated"	"02/09/2018"	"W"	"961"
40510	"Garfield-South Elevated"	"01/08/2018"	"W"	"1,218"
