ï..station_id	stationname	date	daytype	rides
40490	Grand/Milwaukee	12/19/2017	W	2,583
40490	Grand/Milwaukee	12/18/2017	W	2,579
40490	Grand/Milwaukee	12/25/2017	U	279
40490	Grand/Milwaukee	12/26/2017	W	1,017
40490	Grand/Milwaukee	12/12/2017	W	2,580
40490	Grand/Milwaukee	12/28/2017	W	1,715
40490	Grand/Milwaukee	12/17/2017	U	1,171
40490	Grand/Milwaukee	12/16/2017	A	1,462
40490	Grand/Milwaukee	12/08/2017	W	2,779
40490	Grand/Milwaukee	12/13/2017	W	2,571
40490	Grand/Milwaukee	12/07/2017	W	2,689
40490	Grand/Milwaukee	12/10/2017	U	1,158
40490	Grand/Milwaukee	12/23/2017	A	1,186
40490	Grand/Milwaukee	12/02/2017	A	1,557
40490	Grand/Milwaukee	12/04/2017	W	2,745
40490	Grand/Milwaukee	12/20/2017	W	2,519
40490	Grand/Milwaukee	12/03/2017	U	1,268
40490	Grand/Milwaukee	12/15/2017	W	2,748
40490	Grand/Milwaukee	12/22/2017	W	2,277
40490	Grand/Milwaukee	12/01/2017	W	3,081
40490	Grand/Milwaukee	12/29/2017	W	1,623
40490	Grand/Milwaukee	12/05/2017	W	2,716
40490	Grand/Milwaukee	12/30/2017	A	1,000
40490	Grand/Milwaukee	12/11/2017	W	2,612
40490	Grand/Milwaukee	12/31/2017	U	823
40490	Grand/Milwaukee	12/06/2017	W	2,695
40490	Grand/Milwaukee	12/21/2017	W	2,563
40490	Grand/Milwaukee	12/27/2017	W	1,458
40490	Grand/Milwaukee	12/09/2017	A	1,441
40490	Grand/Milwaukee	12/14/2017	W	2,761
40490	Grand/Milwaukee	12/24/2017	U	599
40490	Grand/Milwaukee	03/02/2018	W	2,701
40490	Grand/Milwaukee	03/30/2018	W	2,510
40490	Grand/Milwaukee	01/16/2018	W	2,511
40490	Grand/Milwaukee	03/14/2018	W	2,864
40490	Grand/Milwaukee	01/03/2018	W	2,103
40490	Grand/Milwaukee	02/20/2018	W	2,521
40490	Grand/Milwaukee	02/03/2018	A	1,284
40490	Grand/Milwaukee	01/27/2018	A	1,470
40490	Grand/Milwaukee	02/01/2018	W	2,574
40490	Grand/Milwaukee	03/12/2018	W	2,612
40490	Grand/Milwaukee	03/31/2018	A	1,345
40490	Grand/Milwaukee	01/26/2018	W	2,752
40490	Grand/Milwaukee	01/17/2018	W	2,551
40490	Grand/Milwaukee	02/17/2018	A	1,495
40490	Grand/Milwaukee	03/15/2018	W	2,915
40490	Grand/Milwaukee	01/23/2018	W	2,610
40490	Grand/Milwaukee	01/13/2018	A	1,130
40490	Grand/Milwaukee	02/23/2018	W	2,714
40490	Grand/Milwaukee	03/03/2018	A	1,480
40490	Grand/Milwaukee	01/22/2018	W	2,515
40490	Grand/Milwaukee	02/26/2018	W	2,599
40490	Grand/Milwaukee	01/01/2018	U	1,032
40490	Grand/Milwaukee	02/05/2018	W	2,510
40490	Grand/Milwaukee	01/10/2018	W	2,515
40490	Grand/Milwaukee	01/29/2018	W	2,469
40490	Grand/Milwaukee	01/02/2018	W	1,865
40490	Grand/Milwaukee	03/16/2018	W	2,925
40490	Grand/Milwaukee	03/26/2018	W	2,451
40490	Grand/Milwaukee	02/10/2018	A	1,272
40490	Grand/Milwaukee	03/10/2018	A	1,538
40490	Grand/Milwaukee	03/06/2018	W	2,637
40490	Grand/Milwaukee	02/28/2018	W	2,707
40490	Grand/Milwaukee	01/30/2018	W	2,488
40490	Grand/Milwaukee	03/24/2018	A	1,580
40490	Grand/Milwaukee	03/29/2018	W	2,642
40490	Grand/Milwaukee	01/31/2018	W	2,558
40490	Grand/Milwaukee	02/08/2018	W	2,747
40490	Grand/Milwaukee	02/19/2018	W	2,116
40490	Grand/Milwaukee	01/12/2018	W	2,549
40490	Grand/Milwaukee	03/04/2018	U	1,165
40490	Grand/Milwaukee	03/23/2018	W	2,696
40490	Grand/Milwaukee	01/07/2018	U	859
40490	Grand/Milwaukee	03/17/2018	A	2,359
40490	Grand/Milwaukee	01/04/2018	W	2,144
40490	Grand/Milwaukee	01/20/2018	A	1,524
40490	Grand/Milwaukee	02/06/2018	W	2,545
40490	Grand/Milwaukee	03/21/2018	W	2,575
40490	Grand/Milwaukee	01/09/2018	W	2,460
40490	Grand/Milwaukee	01/08/2018	W	2,391
40490	Grand/Milwaukee	03/11/2018	U	1,120
40490	Grand/Milwaukee	01/11/2018	W	2,522
40490	Grand/Milwaukee	02/04/2018	U	930
40490	Grand/Milwaukee	02/14/2018	W	2,792
40490	Grand/Milwaukee	03/18/2018	U	1,435
40490	Grand/Milwaukee	03/08/2018	W	2,686
40490	Grand/Milwaukee	03/13/2018	W	2,690
40490	Grand/Milwaukee	03/28/2018	W	2,594
40490	Grand/Milwaukee	03/07/2018	W	2,692
40490	Grand/Milwaukee	02/12/2018	W	2,661
40490	Grand/Milwaukee	02/25/2018	U	1,095
40490	Grand/Milwaukee	02/16/2018	W	2,725
40490	Grand/Milwaukee	02/15/2018	W	2,812
40490	Grand/Milwaukee	02/18/2018	U	1,114
40490	Grand/Milwaukee	01/21/2018	U	969
40490	Grand/Milwaukee	02/24/2018	A	1,473
40490	Grand/Milwaukee	01/28/2018	U	1,031
40490	Grand/Milwaukee	02/27/2018	W	2,742
