"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40330	"Grand/State"	"12/21/2017"	"W"	"10,683"
40330	"Grand/State"	"12/17/2017"	"U"	"7,405"
40330	"Grand/State"	"12/07/2017"	"W"	"10,763"
40330	"Grand/State"	"12/08/2017"	"W"	"11,954"
40330	"Grand/State"	"12/26/2017"	"W"	"5,863"
40330	"Grand/State"	"12/29/2017"	"W"	"9,681"
40330	"Grand/State"	"12/16/2017"	"A"	"10,131"
40330	"Grand/State"	"12/04/2017"	"W"	"10,431"
40330	"Grand/State"	"12/11/2017"	"W"	"10,184"
40330	"Grand/State"	"12/05/2017"	"W"	"10,706"
40330	"Grand/State"	"12/03/2017"	"U"	"7,887"
40330	"Grand/State"	"12/30/2017"	"A"	"7,529"
40330	"Grand/State"	"12/02/2017"	"A"	"10,555"
40330	"Grand/State"	"12/25/2017"	"U"	"2,034"
40330	"Grand/State"	"12/09/2017"	"A"	"9,512"
40330	"Grand/State"	"12/01/2017"	"W"	"12,289"
40330	"Grand/State"	"12/23/2017"	"A"	"7,395"
40330	"Grand/State"	"12/10/2017"	"U"	"7,240"
40330	"Grand/State"	"12/27/2017"	"W"	"7,677"
40330	"Grand/State"	"12/12/2017"	"W"	"10,391"
40330	"Grand/State"	"12/24/2017"	"U"	"5,026"
40330	"Grand/State"	"12/22/2017"	"W"	"9,884"
40330	"Grand/State"	"12/14/2017"	"W"	"11,250"
40330	"Grand/State"	"12/15/2017"	"W"	"12,144"
40330	"Grand/State"	"12/28/2017"	"W"	"8,798"
40330	"Grand/State"	"12/20/2017"	"W"	"10,979"
40330	"Grand/State"	"12/31/2017"	"U"	"6,084"
40330	"Grand/State"	"12/06/2017"	"W"	"10,715"
40330	"Grand/State"	"12/19/2017"	"W"	"11,011"
40330	"Grand/State"	"12/18/2017"	"W"	"10,651"
40330	"Grand/State"	"12/13/2017"	"W"	"10,691"
40330	"Grand/State"	"02/05/2018"	"W"	"9,397"
40330	"Grand/State"	"01/30/2018"	"W"	"9,684"
40330	"Grand/State"	"03/26/2018"	"W"	"10,289"
40330	"Grand/State"	"03/23/2018"	"W"	"10,904"
40330	"Grand/State"	"03/24/2018"	"A"	"8,503"
40330	"Grand/State"	"01/15/2018"	"W"	"8,128"
40330	"Grand/State"	"01/18/2018"	"W"	"9,718"
40330	"Grand/State"	"03/12/2018"	"W"	"10,351"
40330	"Grand/State"	"03/27/2018"	"W"	"10,732"
40330	"Grand/State"	"03/16/2018"	"W"	"13,081"
40330	"Grand/State"	"02/08/2018"	"W"	"10,339"
40330	"Grand/State"	"01/25/2018"	"W"	"10,099"
40330	"Grand/State"	"03/29/2018"	"W"	"11,284"
40330	"Grand/State"	"02/14/2018"	"W"	"10,456"
40330	"Grand/State"	"03/09/2018"	"W"	"11,406"
40330	"Grand/State"	"01/11/2018"	"W"	"9,849"
40330	"Grand/State"	"02/23/2018"	"W"	"11,024"
40330	"Grand/State"	"03/07/2018"	"W"	"10,270"
40330	"Grand/State"	"02/09/2018"	"W"	"8,403"
40330	"Grand/State"	"02/06/2018"	"W"	"9,485"
40330	"Grand/State"	"03/22/2018"	"W"	"10,432"
40330	"Grand/State"	"02/26/2018"	"W"	"9,419"
40330	"Grand/State"	"02/12/2018"	"W"	"9,529"
40330	"Grand/State"	"02/21/2018"	"W"	"10,114"
40330	"Grand/State"	"01/06/2018"	"A"	"6,781"
40330	"Grand/State"	"03/15/2018"	"W"	"11,303"
40330	"Grand/State"	"02/13/2018"	"W"	"10,185"
40330	"Grand/State"	"03/31/2018"	"A"	"8,351"
40330	"Grand/State"	"01/09/2018"	"W"	"9,731"
40330	"Grand/State"	"03/06/2018"	"W"	"10,024"
40330	"Grand/State"	"01/20/2018"	"A"	"8,776"
40330	"Grand/State"	"02/16/2018"	"W"	"11,778"
40330	"Grand/State"	"03/28/2018"	"W"	"11,047"
40330	"Grand/State"	"02/02/2018"	"W"	"10,274"
40330	"Grand/State"	"03/17/2018"	"A"	"22,893"
40330	"Grand/State"	"01/05/2018"	"W"	"10,117"
40330	"Grand/State"	"01/28/2018"	"U"	"6,286"
40330	"Grand/State"	"02/20/2018"	"W"	"9,666"
40330	"Grand/State"	"01/14/2018"	"U"	"6,376"
40330	"Grand/State"	"02/24/2018"	"A"	"8,853"
40330	"Grand/State"	"01/24/2018"	"W"	"10,137"
40330	"Grand/State"	"01/12/2018"	"W"	"10,331"
40330	"Grand/State"	"02/25/2018"	"U"	"7,273"
40330	"Grand/State"	"01/04/2018"	"W"	"9,606"
40330	"Grand/State"	"01/31/2018"	"W"	"9,813"
40330	"Grand/State"	"03/21/2018"	"W"	"10,349"
40330	"Grand/State"	"02/28/2018"	"W"	"9,804"
40330	"Grand/State"	"01/08/2018"	"W"	"9,400"
40330	"Grand/State"	"03/02/2018"	"W"	"11,000"
40330	"Grand/State"	"03/01/2018"	"W"	"9,975"
40330	"Grand/State"	"02/04/2018"	"U"	"5,516"
40330	"Grand/State"	"03/19/2018"	"W"	"10,164"
40330	"Grand/State"	"02/01/2018"	"W"	"9,893"
40330	"Grand/State"	"03/14/2018"	"W"	"10,926"
40330	"Grand/State"	"03/25/2018"	"U"	"7,272"
40330	"Grand/State"	"03/08/2018"	"W"	"10,716"
40330	"Grand/State"	"02/15/2018"	"W"	"10,643"
40330	"Grand/State"	"03/05/2018"	"W"	"9,669"
40330	"Grand/State"	"03/18/2018"	"U"	"8,253"
40330	"Grand/State"	"03/10/2018"	"A"	"9,167"
40330	"Grand/State"	"03/20/2018"	"W"	"10,303"
40330	"Grand/State"	"02/19/2018"	"W"	"8,634"
40330	"Grand/State"	"01/07/2018"	"U"	"5,445"
40330	"Grand/State"	"03/04/2018"	"U"	"7,143"
40330	"Grand/State"	"02/07/2018"	"W"	"9,695"
40330	"Grand/State"	"01/01/2018"	"U"	"7,839"
40330	"Grand/State"	"01/19/2018"	"W"	"10,658"
40330	"Grand/State"	"03/13/2018"	"W"	"10,473"
40330	"Grand/State"	"01/21/2018"	"U"	"6,126"
40330	"Grand/State"	"03/03/2018"	"A"	"8,789"
40330	"Grand/State"	"01/27/2018"	"A"	"8,595"
40330	"Grand/State"	"03/30/2018"	"W"	"11,411"
40330	"Grand/State"	"01/26/2018"	"W"	"10,618"
40330	"Grand/State"	"01/16/2018"	"W"	"9,560"
40330	"Grand/State"	"02/22/2018"	"W"	"10,288"
40330	"Grand/State"	"01/10/2018"	"W"	"9,802"
40330	"Grand/State"	"03/11/2018"	"U"	"7,013"
40330	"Grand/State"	"01/02/2018"	"W"	"8,603"
40330	"Grand/State"	"02/18/2018"	"U"	"8,013"
40330	"Grand/State"	"01/17/2018"	"W"	"10,012"
40330	"Grand/State"	"02/11/2018"	"U"	"6,308"
40330	"Grand/State"	"02/17/2018"	"A"	"9,673"
40330	"Grand/State"	"01/22/2018"	"W"	"9,599"
40330	"Grand/State"	"02/27/2018"	"W"	"9,829"
40330	"Grand/State"	"02/10/2018"	"A"	"7,899"
40330	"Grand/State"	"01/03/2018"	"W"	"9,395"
40330	"Grand/State"	"01/23/2018"	"W"	"9,956"
40330	"Grand/State"	"02/03/2018"	"A"	"7,669"
40330	"Grand/State"	"01/13/2018"	"A"	"7,512"
40330	"Grand/State"	"01/29/2018"	"W"	"9,378"
40330	"Grand/State"	"05/23/2018"	"W"	"12,762"
40330	"Grand/State"	"06/05/2018"	"W"	"12,372"
40330	"Grand/State"	"04/13/2018"	"W"	"12,280"
40330	"Grand/State"	"05/13/2018"	"U"	"7,651"
40330	"Grand/State"	"06/20/2018"	"W"	"13,637"
40330	"Grand/State"	"04/21/2018"	"A"	"9,369"
40330	"Grand/State"	"04/24/2018"	"W"	"10,191"
40330	"Grand/State"	"06/30/2018"	"A"	"13,441"
40330	"Grand/State"	"06/27/2018"	"W"	"12,266"
40330	"Grand/State"	"04/17/2018"	"W"	"10,776"
40330	"Grand/State"	"05/26/2018"	"A"	"12,972"
40330	"Grand/State"	"05/04/2018"	"W"	"11,559"
40330	"Grand/State"	"06/01/2018"	"W"	"12,335"
40330	"Grand/State"	"06/26/2018"	"W"	"11,993"
40330	"Grand/State"	"04/01/2018"	"U"	"5,781"
40330	"Grand/State"	"05/18/2018"	"W"	"12,221"
40330	"Grand/State"	"06/09/2018"	"A"	"11,872"
40330	"Grand/State"	"05/28/2018"	"U"	"7,768"
40330	"Grand/State"	"06/04/2018"	"W"	"10,845"
40330	"Grand/State"	"05/27/2018"	"U"	"11,491"
40330	"Grand/State"	"06/23/2018"	"A"	"11,096"
40330	"Grand/State"	"04/03/2018"	"W"	"10,025"
40330	"Grand/State"	"04/29/2018"	"U"	"8,274"
40330	"Grand/State"	"04/16/2018"	"W"	"9,894"
40330	"Grand/State"	"04/28/2018"	"A"	"10,571"
40330	"Grand/State"	"04/06/2018"	"W"	"12,312"
40330	"Grand/State"	"04/25/2018"	"W"	"10,432"
40330	"Grand/State"	"06/15/2018"	"W"	"13,007"
40330	"Grand/State"	"05/21/2018"	"W"	"10,330"
40330	"Grand/State"	"05/07/2018"	"W"	"10,514"
40330	"Grand/State"	"05/10/2018"	"W"	"11,332"
40330	"Grand/State"	"04/02/2018"	"W"	"9,630"
40330	"Grand/State"	"05/03/2018"	"W"	"10,895"
40330	"Grand/State"	"06/14/2018"	"W"	"12,117"
40330	"Grand/State"	"05/12/2018"	"A"	"9,704"
40330	"Grand/State"	"06/22/2018"	"W"	"12,294"
40330	"Grand/State"	"05/29/2018"	"W"	"10,716"
40330	"Grand/State"	"04/18/2018"	"W"	"10,559"
40330	"Grand/State"	"06/18/2018"	"W"	"12,591"
40330	"Grand/State"	"04/23/2018"	"W"	"10,109"
40330	"Grand/State"	"06/29/2018"	"W"	"15,633"
40330	"Grand/State"	"05/24/2018"	"W"	"11,615"
40330	"Grand/State"	"06/08/2018"	"W"	"13,997"
40330	"Grand/State"	"05/01/2018"	"W"	"11,292"
40330	"Grand/State"	"04/12/2018"	"W"	"11,140"
40330	"Grand/State"	"04/14/2018"	"A"	"9,309"
40330	"Grand/State"	"05/30/2018"	"W"	"10,710"
40330	"Grand/State"	"05/09/2018"	"W"	"11,004"
40330	"Grand/State"	"06/28/2018"	"W"	"12,476"
40330	"Grand/State"	"04/15/2018"	"U"	"6,255"
40330	"Grand/State"	"04/30/2018"	"W"	"10,668"
40330	"Grand/State"	"04/26/2018"	"W"	"11,567"
40330	"Grand/State"	"05/15/2018"	"W"	"10,580"
40330	"Grand/State"	"04/04/2018"	"W"	"10,525"
40330	"Grand/State"	"05/20/2018"	"U"	"6,990"
40330	"Grand/State"	"04/07/2018"	"A"	"10,132"
40330	"Grand/State"	"05/02/2018"	"W"	"11,160"
40330	"Grand/State"	"05/17/2018"	"W"	"11,343"
40330	"Grand/State"	"05/19/2018"	"A"	"9,420"
40330	"Grand/State"	"06/12/2018"	"W"	"11,522"
40330	"Grand/State"	"04/05/2018"	"W"	"11,299"
40330	"Grand/State"	"04/22/2018"	"U"	"7,115"
40330	"Grand/State"	"06/19/2018"	"W"	"13,925"
40330	"Grand/State"	"06/17/2018"	"U"	"8,409"
40330	"Grand/State"	"05/14/2018"	"W"	"10,466"
40330	"Grand/State"	"06/10/2018"	"U"	"8,681"
