"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41130	"Halsted-Orange"	"12/24/2017"	"U"	"644"
41130	"Halsted-Orange"	"12/14/2017"	"W"	"2,586"
41130	"Halsted-Orange"	"12/09/2017"	"A"	"1,085"
41130	"Halsted-Orange"	"12/16/2017"	"A"	"1,246"
41130	"Halsted-Orange"	"12/03/2017"	"U"	"1,027"
41130	"Halsted-Orange"	"12/06/2017"	"W"	"2,940"
41130	"Halsted-Orange"	"12/13/2017"	"W"	"2,590"
41130	"Halsted-Orange"	"12/01/2017"	"W"	"2,905"
41130	"Halsted-Orange"	"12/05/2017"	"W"	"2,897"
41130	"Halsted-Orange"	"12/02/2017"	"A"	"1,405"
41130	"Halsted-Orange"	"12/12/2017"	"W"	"2,542"
41130	"Halsted-Orange"	"12/17/2017"	"U"	"841"
41130	"Halsted-Orange"	"12/30/2017"	"A"	"710"
41130	"Halsted-Orange"	"12/07/2017"	"W"	"2,884"
41130	"Halsted-Orange"	"12/08/2017"	"W"	"2,841"
41130	"Halsted-Orange"	"12/28/2017"	"W"	"1,489"
41130	"Halsted-Orange"	"12/27/2017"	"W"	"1,384"
41130	"Halsted-Orange"	"12/10/2017"	"U"	"752"
41130	"Halsted-Orange"	"12/31/2017"	"U"	"600"
41130	"Halsted-Orange"	"12/20/2017"	"W"	"2,246"
41130	"Halsted-Orange"	"12/23/2017"	"A"	"1,126"
41130	"Halsted-Orange"	"12/22/2017"	"W"	"2,027"
41130	"Halsted-Orange"	"12/26/2017"	"W"	"1,126"
41130	"Halsted-Orange"	"12/25/2017"	"U"	"328"
41130	"Halsted-Orange"	"12/11/2017"	"W"	"2,500"
41130	"Halsted-Orange"	"12/29/2017"	"W"	"1,481"
41130	"Halsted-Orange"	"12/04/2017"	"W"	"2,981"
41130	"Halsted-Orange"	"12/18/2017"	"W"	"2,110"
41130	"Halsted-Orange"	"12/19/2017"	"W"	"2,298"
41130	"Halsted-Orange"	"12/21/2017"	"W"	"2,148"
41130	"Halsted-Orange"	"12/15/2017"	"W"	"2,400"
41130	"Halsted-Orange"	"02/26/2018"	"W"	"2,802"
41130	"Halsted-Orange"	"01/07/2018"	"U"	"595"
41130	"Halsted-Orange"	"03/15/2018"	"W"	"2,859"
41130	"Halsted-Orange"	"02/09/2018"	"W"	"1,537"
41130	"Halsted-Orange"	"01/30/2018"	"W"	"2,800"
41130	"Halsted-Orange"	"01/12/2018"	"W"	"2,051"
41130	"Halsted-Orange"	"01/31/2018"	"W"	"2,818"
41130	"Halsted-Orange"	"01/01/2018"	"U"	"424"
41130	"Halsted-Orange"	"02/22/2018"	"W"	"2,718"
41130	"Halsted-Orange"	"03/02/2018"	"W"	"2,668"
41130	"Halsted-Orange"	"01/21/2018"	"U"	"716"
41130	"Halsted-Orange"	"01/04/2018"	"W"	"1,742"
41130	"Halsted-Orange"	"02/15/2018"	"W"	"2,806"
41130	"Halsted-Orange"	"03/04/2018"	"U"	"809"
41130	"Halsted-Orange"	"02/28/2018"	"W"	"2,807"
41130	"Halsted-Orange"	"02/04/2018"	"U"	"548"
41130	"Halsted-Orange"	"03/30/2018"	"W"	"2,040"
41130	"Halsted-Orange"	"02/24/2018"	"A"	"1,126"
41130	"Halsted-Orange"	"03/23/2018"	"W"	"2,641"
41130	"Halsted-Orange"	"01/11/2018"	"W"	"2,184"
41130	"Halsted-Orange"	"03/09/2018"	"W"	"2,670"
41130	"Halsted-Orange"	"02/06/2018"	"W"	"2,682"
41130	"Halsted-Orange"	"01/15/2018"	"W"	"1,269"
41130	"Halsted-Orange"	"02/17/2018"	"A"	"1,075"
41130	"Halsted-Orange"	"01/18/2018"	"W"	"2,672"
41130	"Halsted-Orange"	"03/26/2018"	"W"	"2,027"
41130	"Halsted-Orange"	"01/02/2018"	"W"	"1,421"
41130	"Halsted-Orange"	"02/07/2018"	"W"	"2,646"
41130	"Halsted-Orange"	"03/13/2018"	"W"	"2,798"
41130	"Halsted-Orange"	"03/19/2018"	"W"	"2,761"
41130	"Halsted-Orange"	"03/16/2018"	"W"	"2,723"
41130	"Halsted-Orange"	"03/11/2018"	"U"	"746"
41130	"Halsted-Orange"	"02/18/2018"	"U"	"776"
41130	"Halsted-Orange"	"03/14/2018"	"W"	"2,842"
41130	"Halsted-Orange"	"03/28/2018"	"W"	"2,168"
41130	"Halsted-Orange"	"02/16/2018"	"W"	"2,583"
41130	"Halsted-Orange"	"01/24/2018"	"W"	"2,786"
41130	"Halsted-Orange"	"01/17/2018"	"W"	"2,746"
41130	"Halsted-Orange"	"03/03/2018"	"A"	"1,205"
41130	"Halsted-Orange"	"03/29/2018"	"W"	"2,108"
41130	"Halsted-Orange"	"03/12/2018"	"W"	"2,747"
41130	"Halsted-Orange"	"03/06/2018"	"W"	"2,820"
41130	"Halsted-Orange"	"03/31/2018"	"A"	"960"
41130	"Halsted-Orange"	"03/24/2018"	"A"	"1,061"
41130	"Halsted-Orange"	"03/27/2018"	"W"	"2,095"
41130	"Halsted-Orange"	"03/07/2018"	"W"	"2,773"
41130	"Halsted-Orange"	"01/27/2018"	"A"	"1,070"
41130	"Halsted-Orange"	"03/10/2018"	"A"	"1,098"
41130	"Halsted-Orange"	"02/10/2018"	"A"	"946"
41130	"Halsted-Orange"	"02/19/2018"	"W"	"2,012"
41130	"Halsted-Orange"	"02/01/2018"	"W"	"2,762"
41130	"Halsted-Orange"	"01/05/2018"	"W"	"1,666"
41130	"Halsted-Orange"	"01/09/2018"	"W"	"2,131"
41130	"Halsted-Orange"	"03/20/2018"	"W"	"2,751"
41130	"Halsted-Orange"	"02/02/2018"	"W"	"2,352"
41130	"Halsted-Orange"	"03/05/2018"	"W"	"2,644"
41130	"Halsted-Orange"	"01/20/2018"	"A"	"1,150"
41130	"Halsted-Orange"	"02/25/2018"	"U"	"809"
41130	"Halsted-Orange"	"01/08/2018"	"W"	"1,978"
41130	"Halsted-Orange"	"01/26/2018"	"W"	"2,646"
41130	"Halsted-Orange"	"02/13/2018"	"W"	"2,777"
41130	"Halsted-Orange"	"03/21/2018"	"W"	"2,788"
41130	"Halsted-Orange"	"03/25/2018"	"U"	"929"
41130	"Halsted-Orange"	"02/27/2018"	"W"	"2,871"
41130	"Halsted-Orange"	"01/19/2018"	"W"	"2,719"
41130	"Halsted-Orange"	"01/03/2018"	"W"	"1,719"
41130	"Halsted-Orange"	"01/22/2018"	"W"	"2,728"
41130	"Halsted-Orange"	"03/18/2018"	"U"	"882"
41130	"Halsted-Orange"	"02/03/2018"	"A"	"944"
41130	"Halsted-Orange"	"02/21/2018"	"W"	"2,750"
41130	"Halsted-Orange"	"02/14/2018"	"W"	"2,776"
41130	"Halsted-Orange"	"03/17/2018"	"A"	"1,583"
41130	"Halsted-Orange"	"01/23/2018"	"W"	"2,747"
41130	"Halsted-Orange"	"03/08/2018"	"W"	"2,779"
41130	"Halsted-Orange"	"02/23/2018"	"W"	"2,790"
41130	"Halsted-Orange"	"03/01/2018"	"W"	"2,758"
41130	"Halsted-Orange"	"01/29/2018"	"W"	"2,640"
41130	"Halsted-Orange"	"01/28/2018"	"U"	"688"
41130	"Halsted-Orange"	"02/20/2018"	"W"	"2,679"
41130	"Halsted-Orange"	"01/16/2018"	"W"	"2,657"
41130	"Halsted-Orange"	"01/14/2018"	"U"	"678"
41130	"Halsted-Orange"	"01/06/2018"	"A"	"803"
41130	"Halsted-Orange"	"02/08/2018"	"W"	"2,697"
41130	"Halsted-Orange"	"02/11/2018"	"U"	"607"
41130	"Halsted-Orange"	"01/13/2018"	"A"	"882"
41130	"Halsted-Orange"	"02/12/2018"	"W"	"2,551"
41130	"Halsted-Orange"	"03/22/2018"	"W"	"2,742"
41130	"Halsted-Orange"	"01/25/2018"	"W"	"2,828"
41130	"Halsted-Orange"	"02/05/2018"	"W"	"2,395"
41130	"Halsted-Orange"	"01/10/2018"	"W"	"2,177"
41130	"Halsted-Orange"	"06/17/2018"	"U"	"832"
41130	"Halsted-Orange"	"05/15/2018"	"W"	"2,280"
41130	"Halsted-Orange"	"06/30/2018"	"A"	"1,145"
41130	"Halsted-Orange"	"05/03/2018"	"W"	"2,865"
41130	"Halsted-Orange"	"06/09/2018"	"A"	"1,218"
41130	"Halsted-Orange"	"05/02/2018"	"W"	"2,850"
41130	"Halsted-Orange"	"06/01/2018"	"W"	"2,496"
41130	"Halsted-Orange"	"06/05/2018"	"W"	"2,402"
41130	"Halsted-Orange"	"04/06/2018"	"W"	"2,576"
41130	"Halsted-Orange"	"06/10/2018"	"U"	"844"
41130	"Halsted-Orange"	"04/24/2018"	"W"	"2,798"
41130	"Halsted-Orange"	"06/20/2018"	"W"	"2,460"
41130	"Halsted-Orange"	"06/16/2018"	"A"	"1,263"
41130	"Halsted-Orange"	"06/15/2018"	"W"	"2,319"
41130	"Halsted-Orange"	"06/26/2018"	"W"	"2,289"
41130	"Halsted-Orange"	"06/14/2018"	"W"	"2,508"
41130	"Halsted-Orange"	"05/12/2018"	"A"	"1,117"
41130	"Halsted-Orange"	"04/20/2018"	"W"	"2,683"
41130	"Halsted-Orange"	"05/13/2018"	"U"	"786"
41130	"Halsted-Orange"	"05/11/2018"	"W"	"2,516"
41130	"Halsted-Orange"	"06/23/2018"	"A"	"1,266"
41130	"Halsted-Orange"	"05/26/2018"	"A"	"1,268"
41130	"Halsted-Orange"	"05/09/2018"	"W"	"2,676"
41130	"Halsted-Orange"	"04/05/2018"	"W"	"2,796"
41130	"Halsted-Orange"	"04/02/2018"	"W"	"2,588"
41130	"Halsted-Orange"	"05/14/2018"	"W"	"2,128"
41130	"Halsted-Orange"	"04/12/2018"	"W"	"2,836"
41130	"Halsted-Orange"	"06/27/2018"	"W"	"2,346"
41130	"Halsted-Orange"	"06/19/2018"	"W"	"2,400"
41130	"Halsted-Orange"	"04/17/2018"	"W"	"2,780"
41130	"Halsted-Orange"	"04/27/2018"	"W"	"2,713"
41130	"Halsted-Orange"	"06/03/2018"	"U"	"981"
41130	"Halsted-Orange"	"05/31/2018"	"W"	"2,450"
41130	"Halsted-Orange"	"06/02/2018"	"A"	"1,307"
41130	"Halsted-Orange"	"04/03/2018"	"W"	"2,688"
41130	"Halsted-Orange"	"04/11/2018"	"W"	"2,856"
41130	"Halsted-Orange"	"06/25/2018"	"W"	"2,357"
41130	"Halsted-Orange"	"06/06/2018"	"W"	"2,478"
41130	"Halsted-Orange"	"06/11/2018"	"W"	"2,423"
41130	"Halsted-Orange"	"06/07/2018"	"W"	"2,555"
41130	"Halsted-Orange"	"06/29/2018"	"W"	"2,338"
41130	"Halsted-Orange"	"04/10/2018"	"W"	"2,767"
41130	"Halsted-Orange"	"05/18/2018"	"W"	"2,299"
41130	"Halsted-Orange"	"05/07/2018"	"W"	"2,626"
41130	"Halsted-Orange"	"05/30/2018"	"W"	"2,280"
41130	"Halsted-Orange"	"06/12/2018"	"W"	"2,365"
41130	"Halsted-Orange"	"04/23/2018"	"W"	"2,766"
41130	"Halsted-Orange"	"05/22/2018"	"W"	"2,418"
