"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40020	"Harlem-Lake"	"12/07/2017"	"W"	"3,785"
40020	"Harlem-Lake"	"12/29/2017"	"W"	"2,757"
40020	"Harlem-Lake"	"12/25/2017"	"U"	"585"
40020	"Harlem-Lake"	"12/23/2017"	"A"	"1,977"
40020	"Harlem-Lake"	"12/06/2017"	"W"	"3,710"
40020	"Harlem-Lake"	"12/22/2017"	"W"	"3,216"
40020	"Harlem-Lake"	"12/20/2017"	"W"	"3,637"
40020	"Harlem-Lake"	"12/13/2017"	"W"	"3,723"
40020	"Harlem-Lake"	"12/31/2017"	"U"	"1,258"
40020	"Harlem-Lake"	"12/19/2017"	"W"	"3,649"
40020	"Harlem-Lake"	"12/04/2017"	"W"	"3,687"
40020	"Harlem-Lake"	"12/18/2017"	"W"	"3,417"
40020	"Harlem-Lake"	"12/16/2017"	"A"	"2,211"
40020	"Harlem-Lake"	"12/12/2017"	"W"	"3,544"
40020	"Harlem-Lake"	"12/27/2017"	"W"	"2,413"
40020	"Harlem-Lake"	"12/21/2017"	"W"	"3,497"
40020	"Harlem-Lake"	"12/30/2017"	"A"	"1,482"
40020	"Harlem-Lake"	"12/28/2017"	"W"	"2,639"
40020	"Harlem-Lake"	"12/02/2017"	"A"	"2,300"
40020	"Harlem-Lake"	"12/15/2017"	"W"	"3,516"
40020	"Harlem-Lake"	"12/03/2017"	"U"	"1,632"
40020	"Harlem-Lake"	"12/10/2017"	"U"	"1,421"
40020	"Harlem-Lake"	"12/26/2017"	"W"	"1,946"
40020	"Harlem-Lake"	"12/09/2017"	"A"	"2,085"
40020	"Harlem-Lake"	"12/24/2017"	"U"	"1,308"
40020	"Harlem-Lake"	"12/11/2017"	"W"	"3,441"
40020	"Harlem-Lake"	"12/08/2017"	"W"	"3,773"
40020	"Harlem-Lake"	"12/17/2017"	"U"	"1,492"
40020	"Harlem-Lake"	"12/14/2017"	"W"	"3,666"
40020	"Harlem-Lake"	"12/05/2017"	"W"	"3,683"
40020	"Harlem-Lake"	"12/01/2017"	"W"	"4,088"
40020	"Harlem-Lake"	"11/01/2018"	"W"	"4,021"
40020	"Harlem-Lake"	"11/02/2018"	"W"	"3,850"
40020	"Harlem-Lake"	"11/03/2018"	"A"	"2,308"
40020	"Harlem-Lake"	"11/04/2018"	"U"	"1,443"
40020	"Harlem-Lake"	"11/05/2018"	"W"	"3,670"
40020	"Harlem-Lake"	"11/06/2018"	"W"	"3,773"
40020	"Harlem-Lake"	"11/07/2018"	"W"	"3,884"
40020	"Harlem-Lake"	"11/08/2018"	"W"	"3,936"
40020	"Harlem-Lake"	"11/09/2018"	"W"	"3,658"
40020	"Harlem-Lake"	"11/10/2018"	"A"	"2,026"
40020	"Harlem-Lake"	"11/11/2018"	"U"	"1,528"
40020	"Harlem-Lake"	"11/12/2018"	"W"	"3,422"
40020	"Harlem-Lake"	"11/13/2018"	"W"	"3,816"
40020	"Harlem-Lake"	"11/14/2018"	"W"	"3,804"
40020	"Harlem-Lake"	"11/15/2018"	"W"	"3,756"
40020	"Harlem-Lake"	"11/16/2018"	"W"	"3,905"
40020	"Harlem-Lake"	"11/17/2018"	"A"	"2,322"
40020	"Harlem-Lake"	"11/18/2018"	"U"	"1,620"
40020	"Harlem-Lake"	"11/19/2018"	"W"	"3,606"
40020	"Harlem-Lake"	"11/20/2018"	"W"	"3,697"
40020	"Harlem-Lake"	"11/21/2018"	"W"	"3,370"
40020	"Harlem-Lake"	"11/22/2018"	"U"	"1,082"
40020	"Harlem-Lake"	"02/06/2018"	"W"	"3,397"
40020	"Harlem-Lake"	"03/25/2018"	"U"	"1,540"
40020	"Harlem-Lake"	"01/23/2018"	"W"	"3,604"
40020	"Harlem-Lake"	"03/05/2018"	"W"	"3,439"
40020	"Harlem-Lake"	"03/09/2018"	"W"	"3,660"
40020	"Harlem-Lake"	"01/12/2018"	"W"	"3,430"
40020	"Harlem-Lake"	"03/03/2018"	"A"	"2,124"
40020	"Harlem-Lake"	"03/29/2018"	"W"	"3,536"
40020	"Harlem-Lake"	"02/28/2018"	"W"	"3,721"
40020	"Harlem-Lake"	"01/05/2018"	"W"	"3,000"
40020	"Harlem-Lake"	"03/17/2018"	"A"	"3,538"
40020	"Harlem-Lake"	"03/22/2018"	"W"	"3,632"
40020	"Harlem-Lake"	"03/24/2018"	"A"	"2,503"
40020	"Harlem-Lake"	"01/04/2018"	"W"	"3,090"
40020	"Harlem-Lake"	"03/20/2018"	"W"	"3,547"
40020	"Harlem-Lake"	"02/07/2018"	"W"	"3,532"
40020	"Harlem-Lake"	"01/13/2018"	"A"	"1,675"
40020	"Harlem-Lake"	"01/31/2018"	"W"	"3,684"
40020	"Harlem-Lake"	"01/20/2018"	"A"	"2,596"
40020	"Harlem-Lake"	"01/28/2018"	"U"	"1,398"
40020	"Harlem-Lake"	"03/30/2018"	"W"	"3,244"
40020	"Harlem-Lake"	"02/21/2018"	"W"	"3,635"
40020	"Harlem-Lake"	"02/20/2018"	"W"	"3,533"
40020	"Harlem-Lake"	"03/11/2018"	"U"	"1,369"
40020	"Harlem-Lake"	"02/05/2018"	"W"	"3,255"
40020	"Harlem-Lake"	"01/25/2018"	"W"	"3,638"
40020	"Harlem-Lake"	"03/27/2018"	"W"	"3,577"
40020	"Harlem-Lake"	"01/07/2018"	"U"	"1,222"
40020	"Harlem-Lake"	"01/17/2018"	"W"	"3,558"
40020	"Harlem-Lake"	"01/27/2018"	"A"	"1,915"
40020	"Harlem-Lake"	"02/23/2018"	"W"	"3,686"
40020	"Harlem-Lake"	"01/26/2018"	"W"	"3,657"
40020	"Harlem-Lake"	"03/16/2018"	"W"	"3,696"
40020	"Harlem-Lake"	"02/04/2018"	"U"	"1,153"
40020	"Harlem-Lake"	"03/12/2018"	"W"	"3,635"
40020	"Harlem-Lake"	"01/22/2018"	"W"	"3,387"
40020	"Harlem-Lake"	"02/11/2018"	"U"	"1,222"
40020	"Harlem-Lake"	"02/27/2018"	"W"	"3,840"
40020	"Harlem-Lake"	"03/07/2018"	"W"	"3,643"
40020	"Harlem-Lake"	"02/13/2018"	"W"	"3,644"
40020	"Harlem-Lake"	"02/01/2018"	"W"	"3,622"
40020	"Harlem-Lake"	"03/23/2018"	"W"	"3,640"
40020	"Harlem-Lake"	"02/26/2018"	"W"	"3,625"
40020	"Harlem-Lake"	"03/15/2018"	"W"	"3,777"
40020	"Harlem-Lake"	"01/15/2018"	"W"	"2,245"
40020	"Harlem-Lake"	"01/11/2018"	"W"	"3,578"
40020	"Harlem-Lake"	"03/31/2018"	"A"	"1,775"
40020	"Harlem-Lake"	"02/14/2018"	"W"	"3,777"
40020	"Harlem-Lake"	"01/19/2018"	"W"	"3,546"
40020	"Harlem-Lake"	"01/14/2018"	"U"	"1,236"
40020	"Harlem-Lake"	"02/02/2018"	"W"	"3,373"
40020	"Harlem-Lake"	"02/19/2018"	"W"	"2,775"
40020	"Harlem-Lake"	"02/12/2018"	"W"	"3,301"
40020	"Harlem-Lake"	"03/08/2018"	"W"	"3,595"
40020	"Harlem-Lake"	"03/10/2018"	"A"	"1,991"
40020	"Harlem-Lake"	"01/16/2018"	"W"	"3,590"
40020	"Harlem-Lake"	"02/10/2018"	"A"	"1,816"
40020	"Harlem-Lake"	"01/02/2018"	"W"	"2,596"
40020	"Harlem-Lake"	"01/10/2018"	"W"	"3,641"
40020	"Harlem-Lake"	"03/06/2018"	"W"	"3,564"
40020	"Harlem-Lake"	"03/13/2018"	"W"	"3,611"
40020	"Harlem-Lake"	"01/09/2018"	"W"	"3,423"
40020	"Harlem-Lake"	"03/19/2018"	"W"	"3,462"
40020	"Harlem-Lake"	"02/03/2018"	"A"	"1,825"
40020	"Harlem-Lake"	"02/22/2018"	"W"	"3,705"
40020	"Harlem-Lake"	"02/08/2018"	"W"	"3,617"
40020	"Harlem-Lake"	"03/28/2018"	"W"	"3,707"
40020	"Harlem-Lake"	"02/18/2018"	"U"	"1,575"
40020	"Harlem-Lake"	"01/03/2018"	"W"	"3,007"
40020	"Harlem-Lake"	"01/29/2018"	"W"	"3,399"
40020	"Harlem-Lake"	"03/02/2018"	"W"	"3,722"
40020	"Harlem-Lake"	"02/17/2018"	"A"	"1,976"
40020	"Harlem-Lake"	"03/21/2018"	"W"	"3,743"
40020	"Harlem-Lake"	"02/09/2018"	"W"	"2,511"
40020	"Harlem-Lake"	"03/14/2018"	"W"	"3,869"
40020	"Harlem-Lake"	"01/21/2018"	"U"	"1,268"
40020	"Harlem-Lake"	"02/25/2018"	"U"	"1,376"
40020	"Harlem-Lake"	"01/18/2018"	"W"	"3,546"
40020	"Harlem-Lake"	"01/06/2018"	"A"	"1,522"
40020	"Harlem-Lake"	"03/26/2018"	"W"	"3,332"
40020	"Harlem-Lake"	"02/15/2018"	"W"	"3,737"
