"ï..station_id","stationname","date","daytype","rides"
40750,"Harlem-O'Hare","12/20/2017","W","2,875"
40750,"Harlem-O'Hare","12/12/2017","W","2,873"
40750,"Harlem-O'Hare","12/14/2017","W","2,975"
40750,"Harlem-O'Hare","12/04/2017","W","3,015"
40750,"Harlem-O'Hare","12/29/2017","W","1,874"
40750,"Harlem-O'Hare","12/08/2017","W","3,114"
40750,"Harlem-O'Hare","12/30/2017","A","947"
40750,"Harlem-O'Hare","12/02/2017","A","1,620"
40750,"Harlem-O'Hare","12/28/2017","W","1,862"
40750,"Harlem-O'Hare","12/23/2017","A","1,215"
40750,"Harlem-O'Hare","12/05/2017","W","3,025"
40750,"Harlem-O'Hare","12/18/2017","W","2,721"
40750,"Harlem-O'Hare","12/27/2017","W","1,854"
40750,"Harlem-O'Hare","12/10/2017","U","969"
40750,"Harlem-O'Hare","12/06/2017","W","3,096"
40750,"Harlem-O'Hare","12/19/2017","W","2,893"
40750,"Harlem-O'Hare","12/17/2017","U","1,014"
40750,"Harlem-O'Hare","12/16/2017","A","1,426"
40750,"Harlem-O'Hare","12/25/2017","U","464"
40750,"Harlem-O'Hare","12/31/2017","U","790"
40750,"Harlem-O'Hare","12/21/2017","W","2,823"
40750,"Harlem-O'Hare","12/11/2017","W","2,874"
40750,"Harlem-O'Hare","12/01/2017","W","3,109"
40750,"Harlem-O'Hare","12/26/2017","W","1,441"
40750,"Harlem-O'Hare","12/22/2017","W","2,589"
40750,"Harlem-O'Hare","12/07/2017","W","3,027"
40750,"Harlem-O'Hare","12/09/2017","A","1,401"
40750,"Harlem-O'Hare","12/03/2017","U","1,076"
40750,"Harlem-O'Hare","12/24/2017","U","754"
40750,"Harlem-O'Hare","12/13/2017","W","2,929"
40750,"Harlem-O'Hare","12/15/2017","W","2,871"
40750,"Harlem-O'Hare","03/12/2018","W","2,916"
40750,"Harlem-O'Hare","01/24/2018","W","2,980"
40750,"Harlem-O'Hare","01/28/2018","U","778"
40750,"Harlem-O'Hare","03/05/2018","W","2,794"
40750,"Harlem-O'Hare","03/28/2018","W","2,714"
40750,"Harlem-O'Hare","02/09/2018","W","1,705"
40750,"Harlem-O'Hare","02/08/2018","W","2,912"
40750,"Harlem-O'Hare","03/17/2018","A","2,933"
40750,"Harlem-O'Hare","03/11/2018","U","831"
40750,"Harlem-O'Hare","02/03/2018","A","1,050"
40750,"Harlem-O'Hare","03/03/2018","A","1,208"
40750,"Harlem-O'Hare","03/01/2018","W","2,942"
40750,"Harlem-O'Hare","03/31/2018","A","1,021"
40750,"Harlem-O'Hare","02/05/2018","W","2,772"
40750,"Harlem-O'Hare","03/15/2018","W","3,033"
40750,"Harlem-O'Hare","01/26/2018","W","2,933"
40750,"Harlem-O'Hare","01/02/2018","W","1,970"
40750,"Harlem-O'Hare","02/16/2018","W","2,877"
40750,"Harlem-O'Hare","03/10/2018","A","1,217"
40750,"Harlem-O'Hare","03/19/2018","W","2,936"
40750,"Harlem-O'Hare","01/16/2018","W","2,800"
40750,"Harlem-O'Hare","03/25/2018","U","825"
40750,"Harlem-O'Hare","03/06/2018","W","3,026"
40750,"Harlem-O'Hare","01/14/2018","U","705"
40750,"Harlem-O'Hare","02/27/2018","W","3,148"
40750,"Harlem-O'Hare","01/25/2018","W","3,086"
40750,"Harlem-O'Hare","02/11/2018","U","673"
40750,"Harlem-O'Hare","02/15/2018","W","3,042"
