"ï..station_id","stationname","date","daytype","rides"
41490,"Harrison","12/30/2017","A","1,627"
41490,"Harrison","12/02/2017","A","3,086"
41490,"Harrison","12/27/2017","W","1,653"
41490,"Harrison","12/21/2017","W","3,053"
41490,"Harrison","12/13/2017","W","4,337"
41490,"Harrison","12/10/2017","U","1,948"
41490,"Harrison","12/12/2017","W","4,407"
41490,"Harrison","12/22/2017","W","2,738"
41490,"Harrison","12/07/2017","W","4,663"
41490,"Harrison","12/15/2017","W","4,074"
41490,"Harrison","12/04/2017","W","4,311"
41490,"Harrison","12/28/2017","W","1,924"
41490,"Harrison","12/25/2017","U","485"
41490,"Harrison","12/29/2017","W","1,958"
41490,"Harrison","12/03/2017","U","2,413"
41490,"Harrison","12/18/2017","W","3,217"
41490,"Harrison","12/17/2017","U","1,765"
41490,"Harrison","12/19/2017","W","3,156"
41490,"Harrison","12/11/2017","W","4,181"
41490,"Harrison","12/08/2017","W","4,333"
41490,"Harrison","12/14/2017","W","4,597"
41490,"Harrison","12/20/2017","W","3,214"
41490,"Harrison","12/09/2017","A","2,841"
41490,"Harrison","12/26/2017","W","1,379"
41490,"Harrison","12/31/2017","U","1,458"
41490,"Harrison","12/05/2017","W","4,563"
41490,"Harrison","12/23/2017","A","1,600"
41490,"Harrison","12/01/2017","W","4,475"
41490,"Harrison","12/24/2017","U","1,027"
41490,"Harrison","12/16/2017","A","2,406"
41490,"Harrison","12/06/2017","W","4,531"
41490,"Harrison","03/30/2018","W","3,379"
41490,"Harrison","02/16/2018","W","4,271"
41490,"Harrison","01/09/2018","W","3,305"
41490,"Harrison","01/03/2018","W","2,548"
41490,"Harrison","02/15/2018","W","4,519"
41490,"Harrison","02/25/2018","U","2,139"
41490,"Harrison","02/18/2018","U","2,187"
41490,"Harrison","01/11/2018","W","3,419"
41490,"Harrison","03/03/2018","A","2,943"
41490,"Harrison","03/24/2018","A","2,443"
41490,"Harrison","03/20/2018","W","3,344"
41490,"Harrison","03/04/2018","U","1,936"
41490,"Harrison","01/16/2018","W","3,465"
41490,"Harrison","02/14/2018","W","4,579"
41490,"Harrison","03/29/2018","W","3,908"
41490,"Harrison","03/02/2018","W","4,261"
41490,"Harrison","03/25/2018","U","2,756"
41490,"Harrison","02/17/2018","A","3,075"
41490,"Harrison","01/26/2018","W","4,423"
41490,"Harrison","03/05/2018","W","4,069"
41490,"Harrison","03/16/2018","W","4,218"
41490,"Harrison","01/17/2018","W","3,702"
41490,"Harrison","03/07/2018","W","4,564"
41490,"Harrison","02/22/2018","W","4,572"
41490,"Harrison","03/09/2018","W","4,181"
41490,"Harrison","03/23/2018","W","3,871"
41490,"Harrison","03/12/2018","W","4,028"
41490,"Harrison","02/28/2018","W","4,543"
41490,"Harrison","03/21/2018","W","3,449"
41490,"Harrison","03/31/2018","A","2,476"
41490,"Harrison","01/22/2018","W","4,150"
41490,"Harrison","02/13/2018","W","4,402"
41490,"Harrison","01/31/2018","W","4,462"
41490,"Harrison","03/14/2018","W","4,411"
41490,"Harrison","01/02/2018","W","2,183"
41490,"Harrison","03/13/2018","W","4,404"
41490,"Harrison","01/07/2018","U","1,372"
41490,"Harrison","01/04/2018","W","2,554"
41490,"Harrison","03/15/2018","W","4,241"
41490,"Harrison","01/21/2018","U","1,925"
41490,"Harrison","01/01/2018","U","1,198"
41490,"Harrison","01/05/2018","W","2,456"
41490,"Harrison","02/12/2018","W","4,118"
41490,"Harrison","01/29/2018","W","4,320"
41490,"Harrison","01/27/2018","A","2,851"
41490,"Harrison","01/24/2018","W","4,535"
41490,"Harrison","01/20/2018","A","3,237"
41490,"Harrison","02/11/2018","U","1,911"
41490,"Harrison","02/07/2018","W","4,510"
41490,"Harrison","02/19/2018","W","3,058"
41490,"Harrison","03/22/2018","W","3,703"
41490,"Harrison","03/11/2018","U","2,053"
41490,"Harrison","01/10/2018","W","3,301"
41490,"Harrison","02/06/2018","W","4,449"
41490,"Harrison","02/23/2018","W","4,277"
41490,"Harrison","02/02/2018","W","3,577"
41490,"Harrison","01/06/2018","A","1,764"
41490,"Harrison","03/17/2018","A","4,509"
41490,"Harrison","02/26/2018","W","4,173"
41490,"Harrison","02/24/2018","A","2,988"
41490,"Harrison","02/03/2018","A","2,545"
41490,"Harrison","02/21/2018","W","4,553"
41490,"Harrison","01/13/2018","A","2,005"
41490,"Harrison","01/15/2018","W","1,929"
41490,"Harrison","03/01/2018","W","4,555"
41490,"Harrison","03/28/2018","W","3,910"
41490,"Harrison","01/18/2018","W","3,780"
41490,"Harrison","01/12/2018","W","3,295"
41490,"Harrison","01/28/2018","U","1,963"
41490,"Harrison","02/04/2018","U","1,886"
41490,"Harrison","02/05/2018","W","4,206"
41490,"Harrison","02/27/2018","W","4,350"
41490,"Harrison","03/26/2018","W","3,442"
41490,"Harrison","03/10/2018","A","2,930"
41490,"Harrison","01/14/2018","U","1,684"
41490,"Harrison","03/18/2018","U","2,025"
41490,"Harrison","01/08/2018","W","3,204"
41490,"Harrison","03/06/2018","W","4,343"
41490,"Harrison","02/20/2018","W","4,376"
41490,"Harrison","01/19/2018","W","3,648"
41490,"Harrison","03/08/2018","W","4,467"
41490,"Harrison","01/30/2018","W","4,604"
41490,"Harrison","02/08/2018","W","4,504"
41490,"Harrison","02/09/2018","W","2,874"
41490,"Harrison","02/10/2018","A","2,726"
41490,"Harrison","01/23/2018","W","4,535"
41490,"Harrison","03/19/2018","W","3,273"
41490,"Harrison","03/27/2018","W","3,691"
41490,"Harrison","02/01/2018","W","4,684"
41490,"Harrison","01/25/2018","W","4,609"
41490,"Harrison","05/25/2018","W","4,018"
41490,"Harrison","06/23/2018","A","2,768"
41490,"Harrison","06/10/2018","U","2,589"
41490,"Harrison","04/03/2018","W","4,507"
41490,"Harrison","05/12/2018","A","2,843"
41490,"Harrison","06/16/2018","A","2,766"
41490,"Harrison","06/01/2018","W","4,200"
41490,"Harrison","04/21/2018","A","2,997"
41490,"Harrison","06/15/2018","W","3,654"
41490,"Harrison","06/27/2018","W","3,318"
41490,"Harrison","06/06/2018","W","4,157"
41490,"Harrison","05/21/2018","W","3,216"
41490,"Harrison","06/22/2018","W","3,268"
41490,"Harrison","06/19/2018","W","4,092"
41490,"Harrison","06/25/2018","W","2,918"
41490,"Harrison","06/03/2018","U","2,145"
41490,"Harrison","06/17/2018","U","1,995"
41490,"Harrison","04/19/2018","W","4,352"
41490,"Harrison","05/15/2018","W","3,667"
41490,"Harrison","05/10/2018","W","4,691"
41490,"Harrison","05/04/2018","W","4,237"
41490,"Harrison","05/17/2018","W","3,701"
41490,"Harrison","05/03/2018","W","4,465"
41490,"Harrison","05/02/2018","W","4,435"
41490,"Harrison","05/05/2018","A","3,249"
41490,"Harrison","04/04/2018","W","4,578"
41490,"Harrison","05/09/2018","W","4,783"
41490,"Harrison","05/30/2018","W","3,380"
41490,"Harrison","05/24/2018","W","4,485"
41490,"Harrison","06/21/2018","W","3,261"
41490,"Harrison","06/09/2018","A","3,776"
41490,"Harrison","05/26/2018","A","3,637"
41490,"Harrison","04/16/2018","W","4,178"
41490,"Harrison","04/20/2018","W","4,426"
41490,"Harrison","05/31/2018","W","3,618"
41490,"Harrison","04/10/2018","W","4,038"
41490,"Harrison","04/26/2018","W","4,893"
41490,"Harrison","04/24/2018","W","4,352"
41490,"Harrison","04/11/2018","W","4,834"
41490,"Harrison","04/15/2018","U","1,793"
41490,"Harrison","05/01/2018","W","4,682"
41490,"Harrison","04/12/2018","W","4,651"
41490,"Harrison","04/06/2018","W","4,360"
41490,"Harrison","04/02/2018","W","4,079"
41490,"Harrison","06/05/2018","W","4,081"
41490,"Harrison","04/09/2018","W","4,204"
41490,"Harrison","06/07/2018","W","4,245"
41490,"Harrison","05/06/2018","U","2,110"
41490,"Harrison","06/12/2018","W","3,579"
41490,"Harrison","04/17/2018","W","4,692"
41490,"Harrison","05/23/2018","W","3,907"
41490,"Harrison","05/19/2018","A","2,367"
41490,"Harrison","04/08/2018","U","2,081"
41490,"Harrison","05/13/2018","U","1,783"
41490,"Harrison","06/28/2018","W","3,437"
41490,"Harrison","06/18/2018","W","4,079"
41490,"Harrison","04/23/2018","W","4,165"
41490,"Harrison","06/02/2018","A","3,165"
41490,"Harrison","04/01/2018","U","1,533"
41490,"Harrison","04/30/2018","W","4,185"
41490,"Harrison","04/29/2018","U","2,168"
41490,"Harrison","04/25/2018","W","4,300"
