"ï..station_id","stationname","date","daytype","rides"
41460,"Irving Park-Brown","12/07/2017","W","3,459"
41460,"Irving Park-Brown","12/24/2017","U","460"
41460,"Irving Park-Brown","12/27/2017","W","1,608"
41460,"Irving Park-Brown","12/23/2017","A","1,018"
41460,"Irving Park-Brown","12/04/2017","W","3,312"
41460,"Irving Park-Brown","12/16/2017","A","1,793"
41460,"Irving Park-Brown","12/02/2017","A","1,995"
41460,"Irving Park-Brown","12/13/2017","W","3,481"
41460,"Irving Park-Brown","12/03/2017","U","1,166"
41460,"Irving Park-Brown","12/28/2017","W","1,908"
41460,"Irving Park-Brown","12/05/2017","W","3,347"
41460,"Irving Park-Brown","12/22/2017","W","2,602"
41460,"Irving Park-Brown","12/20/2017","W","3,237"
41460,"Irving Park-Brown","12/08/2017","W","3,440"
41460,"Irving Park-Brown","12/29/2017","W","1,809"
41460,"Irving Park-Brown","12/26/2017","W","1,019"
41460,"Irving Park-Brown","12/11/2017","W","3,274"
41460,"Irving Park-Brown","12/14/2017","W","3,414"
41460,"Irving Park-Brown","12/01/2017","W","3,579"
41460,"Irving Park-Brown","12/15/2017","W","3,199"
41460,"Irving Park-Brown","12/10/2017","U","1,122"
41460,"Irving Park-Brown","12/18/2017","W","3,158"
41460,"Irving Park-Brown","12/21/2017","W","3,020"
41460,"Irving Park-Brown","12/17/2017","U","1,153"
41460,"Irving Park-Brown","12/12/2017","W","3,400"
41460,"Irving Park-Brown","12/06/2017","W","3,492"
41460,"Irving Park-Brown","12/09/2017","A","1,724"
41460,"Irving Park-Brown","12/31/2017","U","847"
41460,"Irving Park-Brown","12/19/2017","W","3,300"
41460,"Irving Park-Brown","12/30/2017","A","954"
41460,"Irving Park-Brown","12/25/2017","U","224"
41460,"Irving Park-Brown","01/20/2018","A","2,015"
41460,"Irving Park-Brown","01/07/2018","U","906"
41460,"Irving Park-Brown","03/17/2018","A","2,659"
41460,"Irving Park-Brown","01/06/2018","A","1,265"
41460,"Irving Park-Brown","03/01/2018","W","3,212"
41460,"Irving Park-Brown","03/26/2018","W","2,935"
41460,"Irving Park-Brown","01/30/2018","W","3,398"
41460,"Irving Park-Brown","03/02/2018","W","3,302"
41460,"Irving Park-Brown","03/08/2018","W","3,351"
41460,"Irving Park-Brown","02/02/2018","W","2,888"
41460,"Irving Park-Brown","01/24/2018","W","3,338"
41460,"Irving Park-Brown","02/05/2018","W","3,096"
41460,"Irving Park-Brown","02/19/2018","W","2,269"
41460,"Irving Park-Brown","02/27/2018","W","3,352"
41460,"Irving Park-Brown","02/16/2018","W","3,195"
41460,"Irving Park-Brown","02/11/2018","U","1,070"
41460,"Irving Park-Brown","03/31/2018","A","1,301"
41460,"Irving Park-Brown","01/14/2018","U","885"
41460,"Irving Park-Brown","02/09/2018","W","2,381"
41460,"Irving Park-Brown","03/05/2018","W","3,155"
41460,"Irving Park-Brown","03/23/2018","W","3,180"
41460,"Irving Park-Brown","01/25/2018","W","3,387"
41460,"Irving Park-Brown","03/03/2018","A","1,606"
41460,"Irving Park-Brown","03/06/2018","W","3,326"
41460,"Irving Park-Brown","02/26/2018","W","3,190"
41460,"Irving Park-Brown","02/12/2018","W","3,256"
41460,"Irving Park-Brown","01/01/2018","U","483"
41460,"Irving Park-Brown","03/25/2018","U","1,098"
41460,"Irving Park-Brown","03/12/2018","W","3,213"
41460,"Irving Park-Brown","01/22/2018","W","3,082"
41460,"Irving Park-Brown","03/22/2018","W","3,279"
41460,"Irving Park-Brown","03/21/2018","W","3,331"
41460,"Irving Park-Brown","03/30/2018","W","2,585"
41460,"Irving Park-Brown","02/24/2018","A","1,479"
41460,"Irving Park-Brown","01/31/2018","W","3,453"
41460,"Irving Park-Brown","02/14/2018","W","3,414"
41460,"Irving Park-Brown","01/05/2018","W","2,657"
41460,"Irving Park-Brown","02/18/2018","U","1,217"
41460,"Irving Park-Brown","03/24/2018","A","1,582"
41460,"Irving Park-Brown","01/09/2018","W","3,377"
41460,"Irving Park-Brown","01/17/2018","W","3,350"
41460,"Irving Park-Brown","03/29/2018","W","3,080"
41460,"Irving Park-Brown","02/17/2018","A","1,542"
41460,"Irving Park-Brown","01/19/2018","W","3,226"
41460,"Irving Park-Brown","03/13/2018","W","3,394"
41460,"Irving Park-Brown","01/02/2018","W","2,411"
41460,"Irving Park-Brown","02/28/2018","W","3,376"
41460,"Irving Park-Brown","03/04/2018","U","1,058"
41460,"Irving Park-Brown","02/21/2018","W","3,439"
41460,"Irving Park-Brown","02/23/2018","W","3,306"
41460,"Irving Park-Brown","02/13/2018","W","3,474"
41460,"Irving Park-Brown","01/03/2018","W","2,717"
41460,"Irving Park-Brown","02/07/2018","W","3,307"
41460,"Irving Park-Brown","02/25/2018","U","1,054"
41460,"Irving Park-Brown","01/13/2018","A","1,340"
41460,"Irving Park-Brown","01/27/2018","A","1,671"
41460,"Irving Park-Brown","03/16/2018","W","3,377"
