"ï..station_id","stationname","date","daytype","rides"
40560,"Jackson/State","12/04/2017","W","8,365"
40560,"Jackson/State","12/27/2017","W","4,336"
40560,"Jackson/State","12/03/2017","U","2,619"
40560,"Jackson/State","12/02/2017","A","3,534"
40560,"Jackson/State","12/07/2017","W","8,080"
40560,"Jackson/State","12/05/2017","W","8,535"
40560,"Jackson/State","12/14/2017","W","8,362"
40560,"Jackson/State","12/13/2017","W","7,927"
40560,"Jackson/State","12/08/2017","W","7,331"
40560,"Jackson/State","12/10/2017","U","2,202"
40560,"Jackson/State","12/09/2017","A","3,400"
40560,"Jackson/State","12/18/2017","W","7,067"
40560,"Jackson/State","12/15/2017","W","7,308"
40560,"Jackson/State","12/31/2017","U","1,685"
40560,"Jackson/State","12/19/2017","W","7,359"
40560,"Jackson/State","12/24/2017","U","1,298"
40560,"Jackson/State","12/25/2017","U","865"
40560,"Jackson/State","12/28/2017","W","4,761"
40560,"Jackson/State","12/16/2017","A","3,098"
40560,"Jackson/State","12/20/2017","W","7,170"
40560,"Jackson/State","12/23/2017","A","2,095"
40560,"Jackson/State","12/17/2017","U","2,120"
40560,"Jackson/State","12/01/2017","W","7,884"
40560,"Jackson/State","12/21/2017","W","6,517"
40560,"Jackson/State","12/12/2017","W","8,051"
40560,"Jackson/State","12/30/2017","A","2,134"
40560,"Jackson/State","12/29/2017","W","4,424"
40560,"Jackson/State","12/06/2017","W","8,282"
40560,"Jackson/State","12/26/2017","W","3,362"
40560,"Jackson/State","12/11/2017","W","7,911"
40560,"Jackson/State","12/22/2017","W","5,029"
40560,"Jackson/State","01/28/2018","U","2,266"
40560,"Jackson/State","01/22/2018","W","10,777"
40560,"Jackson/State","03/18/2018","U","2,450"
40560,"Jackson/State","03/13/2018","W","9,860"
40560,"Jackson/State","03/12/2018","W","10,213"
40560,"Jackson/State","03/22/2018","W","8,221"
40560,"Jackson/State","02/08/2018","W","10,692"
40560,"Jackson/State","03/25/2018","U","4,186"
