"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41280	"Jefferson Park"	"12/22/2017"	"W"	"6,104"
41280	"Jefferson Park"	"12/15/2017"	"W"	"6,678"
41280	"Jefferson Park"	"12/06/2017"	"W"	"7,015"
41280	"Jefferson Park"	"12/28/2017"	"W"	"4,997"
41280	"Jefferson Park"	"12/24/2017"	"U"	"2,401"
41280	"Jefferson Park"	"12/27/2017"	"W"	"4,732"
41280	"Jefferson Park"	"12/05/2017"	"W"	"6,992"
41280	"Jefferson Park"	"12/03/2017"	"U"	"2,979"
41280	"Jefferson Park"	"12/07/2017"	"W"	"7,076"
41280	"Jefferson Park"	"12/21/2017"	"W"	"6,631"
41280	"Jefferson Park"	"12/11/2017"	"W"	"6,729"
41280	"Jefferson Park"	"12/13/2017"	"W"	"7,043"
41280	"Jefferson Park"	"12/02/2017"	"A"	"3,816"
41280	"Jefferson Park"	"12/08/2017"	"W"	"7,079"
41280	"Jefferson Park"	"12/25/2017"	"U"	"1,756"
41280	"Jefferson Park"	"12/17/2017"	"U"	"2,745"
41280	"Jefferson Park"	"12/14/2017"	"W"	"6,921"
41280	"Jefferson Park"	"12/16/2017"	"A"	"3,649"
41280	"Jefferson Park"	"12/18/2017"	"W"	"6,615"
41280	"Jefferson Park"	"12/23/2017"	"A"	"3,361"
41280	"Jefferson Park"	"12/10/2017"	"U"	"2,699"
41280	"Jefferson Park"	"12/29/2017"	"W"	"4,758"
41280	"Jefferson Park"	"12/09/2017"	"A"	"3,517"
41280	"Jefferson Park"	"12/30/2017"	"A"	"2,563"
41280	"Jefferson Park"	"12/26/2017"	"W"	"3,858"
41280	"Jefferson Park"	"12/12/2017"	"W"	"6,822"
41280	"Jefferson Park"	"12/04/2017"	"W"	"6,933"
41280	"Jefferson Park"	"12/01/2017"	"W"	"7,316"
41280	"Jefferson Park"	"12/20/2017"	"W"	"6,882"
41280	"Jefferson Park"	"12/31/2017"	"U"	"2,360"
41280	"Jefferson Park"	"12/19/2017"	"W"	"6,798"
41280	"Jefferson Park"	"02/04/2018"	"U"	"2,232"
41280	"Jefferson Park"	"03/04/2018"	"U"	"2,509"
41280	"Jefferson Park"	"01/15/2018"	"W"	"4,270"
41280	"Jefferson Park"	"01/07/2018"	"U"	"2,264"
41280	"Jefferson Park"	"03/10/2018"	"A"	"3,276"
41280	"Jefferson Park"	"02/27/2018"	"W"	"6,922"
41280	"Jefferson Park"	"01/23/2018"	"W"	"6,790"
41280	"Jefferson Park"	"01/27/2018"	"A"	"3,191"
41280	"Jefferson Park"	"03/09/2018"	"W"	"6,631"
41280	"Jefferson Park"	"02/09/2018"	"W"	"4,739"
41280	"Jefferson Park"	"03/23/2018"	"W"	"6,684"
41280	"Jefferson Park"	"02/13/2018"	"W"	"6,762"
41280	"Jefferson Park"	"03/07/2018"	"W"	"6,844"
41280	"Jefferson Park"	"02/10/2018"	"A"	"2,975"
41280	"Jefferson Park"	"03/18/2018"	"U"	"2,604"
41280	"Jefferson Park"	"01/30/2018"	"W"	"6,699"
41280	"Jefferson Park"	"02/17/2018"	"A"	"3,214"
41280	"Jefferson Park"	"03/27/2018"	"W"	"6,597"
41280	"Jefferson Park"	"03/14/2018"	"W"	"6,851"
41280	"Jefferson Park"	"02/01/2018"	"W"	"6,753"
41280	"Jefferson Park"	"01/12/2018"	"W"	"6,173"
41280	"Jefferson Park"	"02/19/2018"	"W"	"5,087"
41280	"Jefferson Park"	"01/10/2018"	"W"	"6,514"
41280	"Jefferson Park"	"03/01/2018"	"W"	"6,738"
41280	"Jefferson Park"	"02/06/2018"	"W"	"6,629"
41280	"Jefferson Park"	"01/21/2018"	"U"	"2,413"
41280	"Jefferson Park"	"03/05/2018"	"W"	"6,306"
41280	"Jefferson Park"	"01/28/2018"	"U"	"2,416"
41280	"Jefferson Park"	"02/14/2018"	"W"	"6,877"
41280	"Jefferson Park"	"02/07/2018"	"W"	"6,692"
41280	"Jefferson Park"	"01/29/2018"	"W"	"6,500"
41280	"Jefferson Park"	"03/22/2018"	"W"	"6,802"
41280	"Jefferson Park"	"02/18/2018"	"U"	"2,571"
41280	"Jefferson Park"	"03/20/2018"	"W"	"6,760"
41280	"Jefferson Park"	"03/16/2018"	"W"	"6,587"
41280	"Jefferson Park"	"02/23/2018"	"W"	"6,617"
41280	"Jefferson Park"	"01/04/2018"	"W"	"5,702"
41280	"Jefferson Park"	"02/11/2018"	"U"	"2,310"
41280	"Jefferson Park"	"03/31/2018"	"A"	"3,012"
41280	"Jefferson Park"	"01/02/2018"	"W"	"4,819"
41280	"Jefferson Park"	"03/29/2018"	"W"	"6,386"
41280	"Jefferson Park"	"03/24/2018"	"A"	"3,276"
41280	"Jefferson Park"	"01/01/2018"	"U"	"1,749"
41280	"Jefferson Park"	"02/05/2018"	"W"	"6,282"
41280	"Jefferson Park"	"02/16/2018"	"W"	"6,614"
41280	"Jefferson Park"	"02/25/2018"	"U"	"2,507"
41280	"Jefferson Park"	"01/06/2018"	"A"	"2,676"
41280	"Jefferson Park"	"02/02/2018"	"W"	"6,145"
41280	"Jefferson Park"	"03/17/2018"	"A"	"4,700"
41280	"Jefferson Park"	"01/18/2018"	"W"	"6,783"
41280	"Jefferson Park"	"02/21/2018"	"W"	"6,816"
41280	"Jefferson Park"	"03/30/2018"	"W"	"5,611"
41280	"Jefferson Park"	"01/16/2018"	"W"	"6,575"
41280	"Jefferson Park"	"02/28/2018"	"W"	"7,024"
41280	"Jefferson Park"	"03/13/2018"	"W"	"6,671"
41280	"Jefferson Park"	"03/15/2018"	"W"	"6,914"
41280	"Jefferson Park"	"03/03/2018"	"A"	"3,292"
41280	"Jefferson Park"	"03/21/2018"	"W"	"6,915"
41280	"Jefferson Park"	"02/24/2018"	"A"	"3,314"
