"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41180	"Kedzie-Brown"	"12/15/2017"	"W"	"2,034"
41180	"Kedzie-Brown"	"12/22/2017"	"W"	"1,791"
41180	"Kedzie-Brown"	"12/11/2017"	"W"	"1,952"
41180	"Kedzie-Brown"	"12/27/2017"	"W"	"1,244"
41180	"Kedzie-Brown"	"12/02/2017"	"A"	"1,618"
41180	"Kedzie-Brown"	"12/16/2017"	"A"	"1,444"
41180	"Kedzie-Brown"	"12/17/2017"	"U"	"967"
41180	"Kedzie-Brown"	"12/12/2017"	"W"	"1,958"
41180	"Kedzie-Brown"	"12/07/2017"	"W"	"2,001"
41180	"Kedzie-Brown"	"12/06/2017"	"W"	"2,031"
41180	"Kedzie-Brown"	"12/05/2017"	"W"	"1,952"
41180	"Kedzie-Brown"	"12/28/2017"	"W"	"1,419"
41180	"Kedzie-Brown"	"12/08/2017"	"W"	"2,134"
41180	"Kedzie-Brown"	"12/23/2017"	"A"	"1,133"
41180	"Kedzie-Brown"	"12/26/2017"	"W"	"1,037"
41180	"Kedzie-Brown"	"12/01/2017"	"W"	"2,265"
41180	"Kedzie-Brown"	"12/18/2017"	"W"	"1,821"
41180	"Kedzie-Brown"	"12/21/2017"	"W"	"1,829"
41180	"Kedzie-Brown"	"12/13/2017"	"W"	"2,015"
41180	"Kedzie-Brown"	"12/19/2017"	"W"	"1,929"
41180	"Kedzie-Brown"	"12/29/2017"	"W"	"1,433"
41180	"Kedzie-Brown"	"12/09/2017"	"A"	"1,349"
41180	"Kedzie-Brown"	"12/10/2017"	"U"	"953"
41180	"Kedzie-Brown"	"12/03/2017"	"U"	"1,122"
41180	"Kedzie-Brown"	"12/31/2017"	"U"	"963"
41180	"Kedzie-Brown"	"12/20/2017"	"W"	"1,949"
41180	"Kedzie-Brown"	"12/30/2017"	"A"	"1,049"
41180	"Kedzie-Brown"	"12/25/2017"	"U"	"331"
41180	"Kedzie-Brown"	"12/24/2017"	"U"	"641"
41180	"Kedzie-Brown"	"12/04/2017"	"W"	"2,003"
41180	"Kedzie-Brown"	"12/14/2017"	"W"	"2,047"
41180	"Kedzie-Brown"	"03/27/2018"	"W"	"1,875"
41180	"Kedzie-Brown"	"03/08/2018"	"W"	"2,054"
41180	"Kedzie-Brown"	"02/08/2018"	"W"	"1,946"
41180	"Kedzie-Brown"	"01/01/2018"	"U"	"520"
41180	"Kedzie-Brown"	"01/22/2018"	"W"	"1,870"
41180	"Kedzie-Brown"	"03/03/2018"	"A"	"1,378"
41180	"Kedzie-Brown"	"03/10/2018"	"A"	"1,283"
41180	"Kedzie-Brown"	"01/23/2018"	"W"	"1,938"
41180	"Kedzie-Brown"	"03/21/2018"	"W"	"1,961"
41180	"Kedzie-Brown"	"02/22/2018"	"W"	"2,045"
41180	"Kedzie-Brown"	"02/04/2018"	"U"	"808"
41180	"Kedzie-Brown"	"01/29/2018"	"W"	"1,883"
41180	"Kedzie-Brown"	"02/15/2018"	"W"	"2,038"
41180	"Kedzie-Brown"	"01/10/2018"	"W"	"1,926"
41180	"Kedzie-Brown"	"02/03/2018"	"A"	"1,220"
