ï..station_id	stationname	date	daytype	rides
40250	Kedzie-Homan-Forest Park	12/02/2017	A	1,353
40250	Kedzie-Homan-Forest Park	12/17/2017	U	1,184
40250	Kedzie-Homan-Forest Park	12/08/2017	W	2,136
40250	Kedzie-Homan-Forest Park	12/31/2017	U	909
40250	Kedzie-Homan-Forest Park	12/09/2017	A	1,357
40250	Kedzie-Homan-Forest Park	12/12/2017	W	2,069
40250	Kedzie-Homan-Forest Park	12/04/2017	W	2,276
40250	Kedzie-Homan-Forest Park	12/11/2017	W	2,179
40250	Kedzie-Homan-Forest Park	12/06/2017	W	2,142
40250	Kedzie-Homan-Forest Park	12/24/2017	U	1,072
40250	Kedzie-Homan-Forest Park	12/13/2017	W	2,119
40250	Kedzie-Homan-Forest Park	12/03/2017	U	1,287
40250	Kedzie-Homan-Forest Park	12/21/2017	W	2,095
40250	Kedzie-Homan-Forest Park	12/25/2017	U	741
40250	Kedzie-Homan-Forest Park	12/30/2017	A	1,201
40250	Kedzie-Homan-Forest Park	12/18/2017	W	2,173
40250	Kedzie-Homan-Forest Park	12/20/2017	W	2,128
40250	Kedzie-Homan-Forest Park	12/29/2017	W	1,606
40250	Kedzie-Homan-Forest Park	12/07/2017	W	2,089
40250	Kedzie-Homan-Forest Park	12/22/2017	W	2,135
40250	Kedzie-Homan-Forest Park	12/05/2017	W	2,146
40250	Kedzie-Homan-Forest Park	12/26/2017	W	1,275
40250	Kedzie-Homan-Forest Park	12/23/2017	A	1,455
40250	Kedzie-Homan-Forest Park	12/01/2017	W	2,372
40250	Kedzie-Homan-Forest Park	12/19/2017	W	2,142
40250	Kedzie-Homan-Forest Park	12/10/2017	U	1,142
40250	Kedzie-Homan-Forest Park	12/14/2017	W	2,102
40250	Kedzie-Homan-Forest Park	12/27/2017	W	1,435
40250	Kedzie-Homan-Forest Park	12/28/2017	W	1,557
40250	Kedzie-Homan-Forest Park	12/15/2017	W	2,097
40250	Kedzie-Homan-Forest Park	12/16/2017	A	1,421
40250	Kedzie-Homan-Forest Park	02/18/2018	U	1,035
40250	Kedzie-Homan-Forest Park	01/06/2018	A	1,101
40250	Kedzie-Homan-Forest Park	03/09/2018	W	1,970
40250	Kedzie-Homan-Forest Park	01/31/2018	W	1,917
40250	Kedzie-Homan-Forest Park	01/21/2018	U	1,029
40250	Kedzie-Homan-Forest Park	03/03/2018	A	1,269
40250	Kedzie-Homan-Forest Park	03/01/2018	W	1,978
40250	Kedzie-Homan-Forest Park	02/02/2018	W	1,812
40250	Kedzie-Homan-Forest Park	02/09/2018	W	1,365
40250	Kedzie-Homan-Forest Park	02/15/2018	W	2,078
40250	Kedzie-Homan-Forest Park	01/14/2018	U	876
40250	Kedzie-Homan-Forest Park	03/05/2018	W	1,841
40250	Kedzie-Homan-Forest Park	03/16/2018	W	1,983
40250	Kedzie-Homan-Forest Park	02/24/2018	A	1,339
40250	Kedzie-Homan-Forest Park	01/08/2018	W	1,903
40250	Kedzie-Homan-Forest Park	01/29/2018	W	1,881
40250	Kedzie-Homan-Forest Park	01/05/2018	W	1,701
40250	Kedzie-Homan-Forest Park	01/24/2018	W	1,991
40250	Kedzie-Homan-Forest Park	02/06/2018	W	1,815
40250	Kedzie-Homan-Forest Park	01/25/2018	W	2,050
40250	Kedzie-Homan-Forest Park	01/13/2018	A	1,179
40250	Kedzie-Homan-Forest Park	01/02/2018	W	1,386
40250	Kedzie-Homan-Forest Park	02/17/2018	A	1,252
40250	Kedzie-Homan-Forest Park	01/10/2018	W	1,975
