"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41070	"Kedzie-Lake"	"12/03/2017"	"U"	"781"
41070	"Kedzie-Lake"	"12/29/2017"	"W"	"1,197"
41070	"Kedzie-Lake"	"12/10/2017"	"U"	"743"
41070	"Kedzie-Lake"	"12/20/2017"	"W"	"1,701"
41070	"Kedzie-Lake"	"12/18/2017"	"W"	"1,630"
41070	"Kedzie-Lake"	"12/16/2017"	"A"	"1,051"
41070	"Kedzie-Lake"	"12/15/2017"	"W"	"1,587"
41070	"Kedzie-Lake"	"12/01/2017"	"W"	"1,850"
41070	"Kedzie-Lake"	"12/09/2017"	"A"	"892"
41070	"Kedzie-Lake"	"12/25/2017"	"U"	"587"
41070	"Kedzie-Lake"	"12/12/2017"	"W"	"1,641"
41070	"Kedzie-Lake"	"12/27/2017"	"W"	"1,011"
41070	"Kedzie-Lake"	"12/31/2017"	"U"	"675"
41070	"Kedzie-Lake"	"12/22/2017"	"W"	"1,622"
41070	"Kedzie-Lake"	"12/26/2017"	"W"	"833"
41070	"Kedzie-Lake"	"12/06/2017"	"W"	"1,670"
41070	"Kedzie-Lake"	"12/04/2017"	"W"	"1,735"
41070	"Kedzie-Lake"	"12/23/2017"	"A"	"968"
41070	"Kedzie-Lake"	"12/19/2017"	"W"	"1,713"
41070	"Kedzie-Lake"	"12/21/2017"	"W"	"1,652"
41070	"Kedzie-Lake"	"12/28/2017"	"W"	"1,076"
41070	"Kedzie-Lake"	"12/05/2017"	"W"	"1,606"
41070	"Kedzie-Lake"	"12/13/2017"	"W"	"1,641"
41070	"Kedzie-Lake"	"12/24/2017"	"U"	"743"
41070	"Kedzie-Lake"	"12/07/2017"	"W"	"1,654"
41070	"Kedzie-Lake"	"12/17/2017"	"U"	"810"
41070	"Kedzie-Lake"	"12/11/2017"	"W"	"1,556"
41070	"Kedzie-Lake"	"12/14/2017"	"W"	"1,687"
41070	"Kedzie-Lake"	"12/30/2017"	"A"	"805"
41070	"Kedzie-Lake"	"12/08/2017"	"W"	"1,690"
41070	"Kedzie-Lake"	"12/02/2017"	"A"	"1,083"
41070	"Kedzie-Lake"	"01/19/2018"	"W"	"1,537"
41070	"Kedzie-Lake"	"01/31/2018"	"W"	"1,626"
41070	"Kedzie-Lake"	"01/03/2018"	"W"	"1,148"
41070	"Kedzie-Lake"	"02/12/2018"	"W"	"1,372"
41070	"Kedzie-Lake"	"02/20/2018"	"W"	"1,619"
41070	"Kedzie-Lake"	"03/22/2018"	"W"	"1,584"
41070	"Kedzie-Lake"	"02/13/2018"	"W"	"1,578"
41070	"Kedzie-Lake"	"01/21/2018"	"U"	"701"
41070	"Kedzie-Lake"	"02/19/2018"	"W"	"921"
41070	"Kedzie-Lake"	"01/30/2018"	"W"	"1,603"
41070	"Kedzie-Lake"	"03/27/2018"	"W"	"1,189"
41070	"Kedzie-Lake"	"02/11/2018"	"U"	"606"
41070	"Kedzie-Lake"	"01/13/2018"	"A"	"745"
41070	"Kedzie-Lake"	"02/21/2018"	"W"	"1,604"
41070	"Kedzie-Lake"	"01/24/2018"	"W"	"1,631"
41070	"Kedzie-Lake"	"01/26/2018"	"W"	"1,652"
41070	"Kedzie-Lake"	"03/14/2018"	"W"	"1,634"
