ï..station_id	stationname	date	daytype	rides
41150	Kedzie-Midway	12/02/2017	A	2,150
41150	Kedzie-Midway	12/25/2017	U	484
41150	Kedzie-Midway	12/03/2017	U	1,539
41150	Kedzie-Midway	12/07/2017	W	3,707
41150	Kedzie-Midway	12/30/2017	A	1,269
41150	Kedzie-Midway	12/12/2017	W	3,481
41150	Kedzie-Midway	12/22/2017	W	3,205
41150	Kedzie-Midway	12/14/2017	W	3,564
41150	Kedzie-Midway	12/20/2017	W	3,340
41150	Kedzie-Midway	12/09/2017	A	1,808
41150	Kedzie-Midway	12/11/2017	W	3,488
41150	Kedzie-Midway	12/05/2017	W	3,750
41150	Kedzie-Midway	12/31/2017	U	912
41150	Kedzie-Midway	12/01/2017	W	3,813
41150	Kedzie-Midway	12/24/2017	U	933
41150	Kedzie-Midway	12/06/2017	W	3,772
41150	Kedzie-Midway	12/10/2017	U	1,257
41150	Kedzie-Midway	12/29/2017	W	2,305
41150	Kedzie-Midway	12/15/2017	W	3,337
41150	Kedzie-Midway	12/19/2017	W	3,428
41150	Kedzie-Midway	12/04/2017	W	3,782
41150	Kedzie-Midway	12/18/2017	W	3,160
41150	Kedzie-Midway	12/23/2017	A	1,708
41150	Kedzie-Midway	12/08/2017	W	3,568
41150	Kedzie-Midway	12/16/2017	A	1,890
41150	Kedzie-Midway	12/17/2017	U	1,354
41150	Kedzie-Midway	12/28/2017	W	2,265
41150	Kedzie-Midway	12/13/2017	W	3,584
41150	Kedzie-Midway	12/27/2017	W	2,204
41150	Kedzie-Midway	12/21/2017	W	3,321
41150	Kedzie-Midway	12/26/2017	W	1,852
41150	Kedzie-Midway	01/04/2018	W	2,525
41150	Kedzie-Midway	02/28/2018	W	3,545
41150	Kedzie-Midway	03/07/2018	W	3,513
41150	Kedzie-Midway	01/17/2018	W	3,455
41150	Kedzie-Midway	03/28/2018	W	3,133
41150	Kedzie-Midway	03/11/2018	U	1,126
41150	Kedzie-Midway	03/21/2018	W	3,539
41150	Kedzie-Midway	02/19/2018	W	2,468
41150	Kedzie-Midway	02/23/2018	W	3,392
41150	Kedzie-Midway	01/10/2018	W	3,272
41150	Kedzie-Midway	02/09/2018	W	2,138
41150	Kedzie-Midway	01/27/2018	A	1,649
41150	Kedzie-Midway	03/09/2018	W	3,416
41150	Kedzie-Midway	01/13/2018	A	1,368
41150	Kedzie-Midway	01/22/2018	W	3,365
41150	Kedzie-Midway	03/20/2018	W	3,529
41150	Kedzie-Midway	03/13/2018	W	3,499
41150	Kedzie-Midway	03/26/2018	W	2,844
41150	Kedzie-Midway	03/08/2018	W	3,554
41150	Kedzie-Midway	02/27/2018	W	3,665
41150	Kedzie-Midway	02/18/2018	U	1,122
41150	Kedzie-Midway	01/05/2018	W	2,526
41150	Kedzie-Midway	02/03/2018	A	1,388
41150	Kedzie-Midway	01/26/2018	W	3,333
41150	Kedzie-Midway	02/07/2018	W	3,344
41150	Kedzie-Midway	01/15/2018	W	1,912
41150	Kedzie-Midway	01/06/2018	A	1,251
41150	Kedzie-Midway	01/03/2018	W	2,513
41150	Kedzie-Midway	03/16/2018	W	3,460
41150	Kedzie-Midway	02/15/2018	W	3,539
41150	Kedzie-Midway	01/20/2018	A	1,663
41150	Kedzie-Midway	03/17/2018	A	1,858
41150	Kedzie-Midway	01/08/2018	W	2,987
41150	Kedzie-Midway	01/25/2018	W	3,583
41150	Kedzie-Midway	03/27/2018	W	3,001
41150	Kedzie-Midway	03/01/2018	W	3,412
41150	Kedzie-Midway	03/12/2018	W	3,403
41150	Kedzie-Midway	02/26/2018	W	3,438
41150	Kedzie-Midway	02/01/2018	W	3,465
