"ï..station_id","stationname","date","daytype","rides"
41290,"Kimball","12/31/2017","U","1,458"
41290,"Kimball","12/21/2017","W","3,804"
41290,"Kimball","12/04/2017","W","4,067"
41290,"Kimball","12/18/2017","W","3,687"
41290,"Kimball","12/02/2017","A","3,355"
41290,"Kimball","12/08/2017","W","4,067"
41290,"Kimball","12/19/2017","W","3,855"
41290,"Kimball","12/06/2017","W","4,135"
41290,"Kimball","12/07/2017","W","4,261"
41290,"Kimball","12/01/2017","W","4,373"
41290,"Kimball","12/15/2017","W","3,906"
41290,"Kimball","12/22/2017","W","3,494"
41290,"Kimball","12/23/2017","A","2,221"
41290,"Kimball","12/26/2017","W","2,132"
41290,"Kimball","12/30/2017","A","1,851"
41290,"Kimball","12/29/2017","W","2,704"
41290,"Kimball","12/09/2017","A","2,616"
41290,"Kimball","12/05/2017","W","4,169"
41290,"Kimball","12/25/2017","U","718"
41290,"Kimball","12/20/2017","W","3,825"
41290,"Kimball","12/17/2017","U","1,588"
41290,"Kimball","12/10/2017","U","1,637"
41290,"Kimball","12/12/2017","W","3,980"
41290,"Kimball","12/24/2017","U","1,218"
41290,"Kimball","12/16/2017","A","2,414"
41290,"Kimball","12/03/2017","U","1,875"
41290,"Kimball","12/28/2017","W","2,648"
41290,"Kimball","12/14/2017","W","4,130"
41290,"Kimball","12/11/2017","W","3,965"
41290,"Kimball","12/13/2017","W","4,097"
41290,"Kimball","12/27/2017","W","2,516"
41290,"Kimball","01/11/2018","W","3,998"
41290,"Kimball","03/12/2018","W","3,777"
41290,"Kimball","01/12/2018","W","3,705"
41290,"Kimball","01/15/2018","W","2,437"
41290,"Kimball","03/11/2018","U","1,566"
41290,"Kimball","03/03/2018","A","2,401"
41290,"Kimball","02/28/2018","W","4,097"
41290,"Kimball","03/10/2018","A","2,347"
41290,"Kimball","03/24/2018","A","2,260"
41290,"Kimball","03/21/2018","W","3,910"
41290,"Kimball","01/14/2018","U","1,408"
41290,"Kimball","01/26/2018","W","3,997"
41290,"Kimball","02/05/2018","W","3,620"
41290,"Kimball","03/07/2018","W","4,082"
41290,"Kimball","03/14/2018","W","4,138"
41290,"Kimball","02/19/2018","W","2,963"
41290,"Kimball","03/30/2018","W","3,260"
41290,"Kimball","02/13/2018","W","4,063"
41290,"Kimball","03/27/2018","W","3,711"
41290,"Kimball","01/07/2018","U","1,243"
41290,"Kimball","02/15/2018","W","4,093"
41290,"Kimball","03/20/2018","W","3,923"
41290,"Kimball","01/24/2018","W","3,989"
41290,"Kimball","01/04/2018","W","3,031"
41290,"Kimball","02/11/2018","U","1,505"
41290,"Kimball","03/23/2018","W","3,819"
41290,"Kimball","03/09/2018","W","3,969"
41290,"Kimball","03/13/2018","W","3,984"
41290,"Kimball","03/17/2018","A","2,996"
41290,"Kimball","02/18/2018","U","1,608"
41290,"Kimball","02/23/2018","W","4,016"
41290,"Kimball","01/29/2018","W","3,764"
41290,"Kimball","01/30/2018","W","3,981"
41290,"Kimball","03/02/2018","W","4,003"
41290,"Kimball","02/26/2018","W","3,894"
41290,"Kimball","01/10/2018","W","3,979"
41290,"Kimball","01/31/2018","W","4,055"
41290,"Kimball","02/02/2018","W","3,340"
41290,"Kimball","02/10/2018","A","2,200"
41290,"Kimball","02/22/2018","W","4,162"
41290,"Kimball","02/08/2018","W","4,083"
41290,"Kimball","03/28/2018","W","3,727"
41290,"Kimball","01/02/2018","W","2,745"
41290,"Kimball","01/19/2018","W","3,890"
41290,"Kimball","01/22/2018","W","3,732"
41290,"Kimball","02/21/2018","W","4,046"
41290,"Kimball","02/03/2018","A","2,149"
41290,"Kimball","02/16/2018","W","4,013"
41290,"Kimball","02/09/2018","W","2,864"
41290,"Kimball","03/26/2018","W","3,452"
41290,"Kimball","01/21/2018","U","1,529"
41290,"Kimball","02/01/2018","W","3,980"
41290,"Kimball","03/01/2018","W","4,070"
41290,"Kimball","03/08/2018","W","4,105"
41290,"Kimball","01/05/2018","W","3,046"
41290,"Kimball","01/13/2018","A","2,057"
41290,"Kimball","03/16/2018","W","3,969"
41290,"Kimball","03/04/2018","U","1,572"
41290,"Kimball","02/12/2018","W","3,646"
41290,"Kimball","03/22/2018","W","3,948"
41290,"Kimball","01/18/2018","W","3,988"
41290,"Kimball","01/09/2018","W","3,881"
41290,"Kimball","01/20/2018","A","2,663"
41290,"Kimball","01/08/2018","W","3,743"
41290,"Kimball","01/25/2018","W","4,067"
41290,"Kimball","02/06/2018","W","3,892"
41290,"Kimball","03/31/2018","A","2,134"
41290,"Kimball","02/27/2018","W","4,133"
41290,"Kimball","03/05/2018","W","3,752"
41290,"Kimball","01/28/2018","U","1,475"
41290,"Kimball","03/19/2018","W","3,736"
41290,"Kimball","01/23/2018","W","3,959"
41290,"Kimball","01/17/2018","W","3,990"
41290,"Kimball","03/18/2018","U","1,664"
41290,"Kimball","03/25/2018","U","1,705"
41290,"Kimball","01/03/2018","W","3,088"
41290,"Kimball","03/15/2018","W","4,093"
41290,"Kimball","02/04/2018","U","1,304"
41290,"Kimball","02/07/2018","W","4,096"
41290,"Kimball","01/06/2018","A","1,896"
41290,"Kimball","02/24/2018","A","2,390"
41290,"Kimball","01/27/2018","A","2,381"
41290,"Kimball","02/14/2018","W","4,221"
41290,"Kimball","01/16/2018","W","4,000"
41290,"Kimball","01/01/2018","U","939"
41290,"Kimball","02/25/2018","U","1,571"
41290,"Kimball","03/29/2018","W","3,662"
41290,"Kimball","02/17/2018","A","2,315"
41290,"Kimball","03/06/2018","W","3,996"
41290,"Kimball","02/20/2018","W","3,939"
41290,"Kimball","05/30/2018","W","3,968"
41290,"Kimball","05/16/2018","W","3,937"
41290,"Kimball","05/11/2018","W","4,041"
41290,"Kimball","04/19/2018","W","3,973"
41290,"Kimball","04/03/2018","W","3,967"
41290,"Kimball","04/20/2018","W","4,096"
41290,"Kimball","04/21/2018","A","2,261"
41290,"Kimball","04/23/2018","W","3,788"
41290,"Kimball","06/02/2018","A","2,391"
41290,"Kimball","05/15/2018","W","3,929"
41290,"Kimball","06/10/2018","U","1,656"
41290,"Kimball","05/17/2018","W","4,058"
41290,"Kimball","05/09/2018","W","3,887"
41290,"Kimball","05/02/2018","W","4,102"
41290,"Kimball","06/27/2018","W","3,861"
41290,"Kimball","06/19/2018","W","3,991"
41290,"Kimball","05/03/2018","W","4,147"
41290,"Kimball","04/30/2018","W","3,984"
41290,"Kimball","06/16/2018","A","2,428"
41290,"Kimball","05/21/2018","W","3,477"
41290,"Kimball","05/04/2018","W","4,082"
41290,"Kimball","06/09/2018","A","2,475"
41290,"Kimball","04/18/2018","W","4,002"
41290,"Kimball","04/24/2018","W","4,076"
41290,"Kimball","04/13/2018","W","3,685"
41290,"Kimball","04/15/2018","U","1,447"
41290,"Kimball","04/02/2018","W","3,772"
41290,"Kimball","06/13/2018","W","4,077"
