"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41340	"LaSalle"	"12/16/2017"	"A"	"1,212"
41340	"LaSalle"	"12/26/2017"	"W"	"1,236"
41340	"LaSalle"	"12/05/2017"	"W"	"3,337"
41340	"LaSalle"	"12/25/2017"	"U"	"341"
41340	"LaSalle"	"12/31/2017"	"U"	"589"
41340	"LaSalle"	"12/21/2017"	"W"	"2,456"
41340	"LaSalle"	"12/04/2017"	"W"	"3,372"
41340	"LaSalle"	"12/19/2017"	"W"	"2,706"
41340	"LaSalle"	"12/10/2017"	"U"	"892"
41340	"LaSalle"	"12/02/2017"	"A"	"1,293"
41340	"LaSalle"	"12/28/2017"	"W"	"1,594"
41340	"LaSalle"	"12/12/2017"	"W"	"3,136"
41340	"LaSalle"	"12/23/2017"	"A"	"786"
41340	"LaSalle"	"12/11/2017"	"W"	"3,137"
41340	"LaSalle"	"12/06/2017"	"W"	"3,339"
41340	"LaSalle"	"12/17/2017"	"U"	"800"
41340	"LaSalle"	"12/15/2017"	"W"	"2,900"
41340	"LaSalle"	"12/14/2017"	"W"	"3,115"
41340	"LaSalle"	"12/08/2017"	"W"	"3,067"
41340	"LaSalle"	"12/07/2017"	"W"	"3,353"
41340	"LaSalle"	"12/03/2017"	"U"	"1,071"
41340	"LaSalle"	"12/29/2017"	"W"	"1,601"
41340	"LaSalle"	"12/24/2017"	"U"	"540"
41340	"LaSalle"	"12/22/2017"	"W"	"2,034"
41340	"LaSalle"	"12/13/2017"	"W"	"3,191"
41340	"LaSalle"	"12/18/2017"	"W"	"2,662"
41340	"LaSalle"	"12/20/2017"	"W"	"2,604"
41340	"LaSalle"	"12/09/2017"	"A"	"1,080"
41340	"LaSalle"	"12/27/2017"	"W"	"1,558"
41340	"LaSalle"	"12/30/2017"	"A"	"676"
41340	"LaSalle"	"12/01/2017"	"W"	"3,263"
41340	"LaSalle"	"02/06/2018"	"W"	"3,368"
41340	"LaSalle"	"02/25/2018"	"U"	"886"
41340	"LaSalle"	"03/22/2018"	"W"	"3,038"
41340	"LaSalle"	"02/07/2018"	"W"	"3,247"
41340	"LaSalle"	"01/14/2018"	"U"	"632"
41340	"LaSalle"	"02/01/2018"	"W"	"3,225"
41340	"LaSalle"	"01/04/2018"	"W"	"2,160"
41340	"LaSalle"	"02/27/2018"	"W"	"3,263"
41340	"LaSalle"	"02/26/2018"	"W"	"3,252"
41340	"LaSalle"	"01/09/2018"	"W"	"2,672"
41340	"LaSalle"	"02/04/2018"	"U"	"734"
41340	"LaSalle"	"03/26/2018"	"W"	"2,676"
41340	"LaSalle"	"01/28/2018"	"U"	"794"
41340	"LaSalle"	"03/11/2018"	"U"	"987"
41340	"LaSalle"	"03/12/2018"	"W"	"3,328"
41340	"LaSalle"	"02/05/2018"	"W"	"3,050"
41340	"LaSalle"	"02/12/2018"	"W"	"3,143"
41340	"LaSalle"	"01/10/2018"	"W"	"2,725"
41340	"LaSalle"	"03/02/2018"	"W"	"3,049"
41340	"LaSalle"	"03/21/2018"	"W"	"3,067"
41340	"LaSalle"	"01/07/2018"	"U"	"488"
41340	"LaSalle"	"03/05/2018"	"W"	"3,188"
41340	"LaSalle"	"03/07/2018"	"W"	"3,427"
41340	"LaSalle"	"03/01/2018"	"W"	"3,258"
41340	"LaSalle"	"03/20/2018"	"W"	"3,093"
41340	"LaSalle"	"01/15/2018"	"W"	"1,254"
41340	"LaSalle"	"03/19/2018"	"W"	"3,049"
41340	"LaSalle"	"02/03/2018"	"A"	"905"
41340	"LaSalle"	"01/20/2018"	"A"	"1,475"
41340	"LaSalle"	"01/23/2018"	"W"	"3,329"
41340	"LaSalle"	"02/11/2018"	"U"	"716"
41340	"LaSalle"	"02/18/2018"	"U"	"969"
