ï..station_id	stationname	date	daytype	rides
41660	Lake/State	12/30/2017	A	8,615
41660	Lake/State	12/19/2017	W	20,579
41660	Lake/State	12/01/2017	W	23,640
41660	Lake/State	12/13/2017	W	21,432
41660	Lake/State	12/11/2017	W	21,613
41660	Lake/State	12/31/2017	U	7,151
41660	Lake/State	12/26/2017	W	10,275
41660	Lake/State	12/08/2017	W	22,411
41660	Lake/State	12/07/2017	W	21,092
41660	Lake/State	12/03/2017	U	9,793
41660	Lake/State	12/02/2017	A	15,047
41660	Lake/State	12/29/2017	W	14,794
41660	Lake/State	12/27/2017	W	12,867
41660	Lake/State	12/06/2017	W	21,971
41660	Lake/State	12/24/2017	U	6,051
41660	Lake/State	12/14/2017	W	21,611
41660	Lake/State	12/12/2017	W	21,991
41660	Lake/State	12/22/2017	W	17,551
41660	Lake/State	12/23/2017	A	10,317
41660	Lake/State	12/25/2017	U	3,303
41660	Lake/State	12/17/2017	U	9,050
41660	Lake/State	12/15/2017	W	21,175
41660	Lake/State	12/21/2017	W	19,602
41660	Lake/State	12/28/2017	W	14,183
41660	Lake/State	12/20/2017	W	20,417
41660	Lake/State	12/10/2017	U	9,538
41660	Lake/State	12/09/2017	A	13,601
41660	Lake/State	12/16/2017	A	13,728
41660	Lake/State	12/04/2017	W	21,203
41660	Lake/State	12/18/2017	W	20,046
41660	Lake/State	12/05/2017	W	22,163
41660	Lake/State	02/23/2018	W	20,153
41660	Lake/State	01/12/2018	W	19,057
41660	Lake/State	01/10/2018	W	18,976
41660	Lake/State	03/27/2018	W	19,651
41660	Lake/State	02/27/2018	W	20,098
41660	Lake/State	02/15/2018	W	20,744
41660	Lake/State	03/05/2018	W	19,033
41660	Lake/State	01/04/2018	W	17,948
41660	Lake/State	01/20/2018	A	12,309
41660	Lake/State	01/14/2018	U	6,611
41660	Lake/State	01/16/2018	W	20,395
41660	Lake/State	01/15/2018	W	11,464
41660	Lake/State	03/29/2018	W	19,481
41660	Lake/State	02/22/2018	W	20,686
41660	Lake/State	03/17/2018	A	22,488
41660	Lake/State	01/02/2018	W	15,996
41660	Lake/State	03/21/2018	W	20,546
41660	Lake/State	01/09/2018	W	18,984
41660	Lake/State	03/20/2018	W	20,283
41660	Lake/State	03/06/2018	W	20,347
41660	Lake/State	02/07/2018	W	19,878
41660	Lake/State	02/19/2018	W	13,498
41660	Lake/State	01/17/2018	W	20,633
41660	Lake/State	02/18/2018	U	8,308
41660	Lake/State	01/29/2018	W	20,010
41660	Lake/State	03/31/2018	A	9,626
41660	Lake/State	01/21/2018	U	6,655
41660	Lake/State	01/31/2018	W	20,349
41660	Lake/State	01/07/2018	U	5,922
41660	Lake/State	03/11/2018	U	7,427
41660	Lake/State	01/28/2018	U	7,276
41660	Lake/State	01/18/2018	W	19,843
41660	Lake/State	01/08/2018	W	18,298
41660	Lake/State	01/01/2018	U	5,381
41660	Lake/State	01/03/2018	W	17,874
41660	Lake/State	02/06/2018	W	19,674
41660	Lake/State	02/28/2018	W	20,540
41660	Lake/State	01/26/2018	W	19,880
41660	Lake/State	01/27/2018	A	9,963
41660	Lake/State	01/24/2018	W	20,388
41660	Lake/State	03/25/2018	U	8,097
41660	Lake/State	03/12/2018	W	20,510
41660	Lake/State	03/26/2018	W	19,099
41660	Lake/State	03/09/2018	W	19,975
41660	Lake/State	02/13/2018	W	21,075
41660	Lake/State	02/02/2018	W	19,885
41660	Lake/State	03/01/2018	W	19,801
41660	Lake/State	01/06/2018	A	8,166
41660	Lake/State	01/30/2018	W	20,610
41660	Lake/State	02/09/2018	W	13,742
41660	Lake/State	01/11/2018	W	19,317
41660	Lake/State	01/19/2018	W	19,622
41660	Lake/State	02/25/2018	U	7,495
41660	Lake/State	03/18/2018	U	8,416
41660	Lake/State	02/05/2018	W	19,922
41660	Lake/State	01/25/2018	W	20,702
41660	Lake/State	02/21/2018	W	20,737
41660	Lake/State	02/14/2018	W	21,594
41660	Lake/State	03/10/2018	A	10,408
41660	Lake/State	03/08/2018	W	20,617
41660	Lake/State	01/05/2018	W	17,591
41660	Lake/State	03/03/2018	A	11,269
41660	Lake/State	02/10/2018	A	9,568
41660	Lake/State	03/14/2018	W	21,148
41660	Lake/State	03/15/2018	W	21,262
41660	Lake/State	03/24/2018	A	11,837
41660	Lake/State	02/16/2018	W	20,651
41660	Lake/State	02/26/2018	W	19,780
41660	Lake/State	03/13/2018	W	21,250
41660	Lake/State	02/12/2018	W	18,838
41660	Lake/State	02/24/2018	A	10,600
41660	Lake/State	03/07/2018	W	20,626
41660	Lake/State	02/01/2018	W	20,806
41660	Lake/State	02/03/2018	A	10,068
41660	Lake/State	02/08/2018	W	20,525
41660	Lake/State	01/22/2018	W	19,996
41660	Lake/State	01/23/2018	W	20,522
41660	Lake/State	03/19/2018	W	20,118
41660	Lake/State	03/30/2018	W	17,780
41660	Lake/State	02/11/2018	U	6,853
41660	Lake/State	02/04/2018	U	6,060
41660	Lake/State	03/04/2018	U	7,237
41660	Lake/State	03/23/2018	W	19,423
41660	Lake/State	03/16/2018	W	21,612
41660	Lake/State	02/17/2018	A	10,816
41660	Lake/State	03/22/2018	W	20,365
41660	Lake/State	03/02/2018	W	20,098
41660	Lake/State	02/20/2018	W	20,397
41660	Lake/State	01/13/2018	A	9,174
41660	Lake/State	03/28/2018	W	19,740
41660	Lake/State	05/13/2018	U	8,470
41660	Lake/State	04/04/2018	W	20,847
41660	Lake/State	04/30/2018	W	20,731
41660	Lake/State	06/08/2018	W	23,034
41660	Lake/State	06/17/2018	U	9,155
41660	Lake/State	05/23/2018	W	21,821
41660	Lake/State	05/28/2018	U	8,365
41660	Lake/State	06/26/2018	W	21,666
41660	Lake/State	05/15/2018	W	19,871
41660	Lake/State	06/22/2018	W	20,137
41660	Lake/State	06/02/2018	A	11,073
41660	Lake/State	04/27/2018	W	21,572
41660	Lake/State	05/16/2018	W	19,744
41660	Lake/State	06/04/2018	W	19,709
41660	Lake/State	04/15/2018	U	6,741
41660	Lake/State	04/01/2018	U	6,213
41660	Lake/State	05/10/2018	W	20,701
41660	Lake/State	04/08/2018	U	7,547
41660	Lake/State	06/06/2018	W	22,992
41660	Lake/State	06/13/2018	W	21,873
41660	Lake/State	06/01/2018	W	21,683
41660	Lake/State	06/09/2018	A	14,158
41660	Lake/State	04/14/2018	A	11,423
41660	Lake/State	04/19/2018	W	20,762
41660	Lake/State	04/22/2018	U	7,589
41660	Lake/State	04/17/2018	W	21,419
41660	Lake/State	06/12/2018	W	21,513
41660	Lake/State	05/26/2018	A	14,357
41660	Lake/State	04/21/2018	A	10,372
41660	Lake/State	05/20/2018	U	7,605
41660	Lake/State	05/22/2018	W	22,000
41660	Lake/State	05/30/2018	W	19,524
41660	Lake/State	04/26/2018	W	21,893
41660	Lake/State	06/11/2018	W	21,756
41660	Lake/State	05/24/2018	W	20,186
41660	Lake/State	04/09/2018	W	20,157
41660	Lake/State	04/25/2018	W	20,149
41660	Lake/State	04/23/2018	W	19,933
41660	Lake/State	06/29/2018	W	24,108
41660	Lake/State	05/11/2018	W	22,005
41660	Lake/State	04/03/2018	W	20,480
41660	Lake/State	05/21/2018	W	19,305
41660	Lake/State	05/17/2018	W	20,345
41660	Lake/State	06/05/2018	W	22,637
41660	Lake/State	04/16/2018	W	19,917
41660	Lake/State	06/14/2018	W	21,859
41660	Lake/State	05/19/2018	A	10,897
41660	Lake/State	05/25/2018	W	21,114
41660	Lake/State	05/03/2018	W	20,519
41660	Lake/State	04/12/2018	W	21,400
41660	Lake/State	04/24/2018	W	20,062
41660	Lake/State	06/30/2018	A	15,648
41660	Lake/State	05/14/2018	W	20,133
41660	Lake/State	06/25/2018	W	20,583
41660	Lake/State	06/03/2018	U	9,045
41660	Lake/State	04/05/2018	W	21,433
41660	Lake/State	06/07/2018	W	23,617
41660	Lake/State	04/20/2018	W	19,927
41660	Lake/State	04/13/2018	W	21,580
41660	Lake/State	04/07/2018	A	11,462
41660	Lake/State	06/21/2018	W	20,695
41660	Lake/State	06/28/2018	W	22,695
41660	Lake/State	04/11/2018	W	21,494
41660	Lake/State	05/04/2018	W	19,934
41660	Lake/State	06/10/2018	U	9,941
41660	Lake/State	06/18/2018	W	22,163
41660	Lake/State	06/15/2018	W	21,396
41660	Lake/State	04/10/2018	W	21,610
41660	Lake/State	05/01/2018	W	22,172
41660	Lake/State	05/27/2018	U	11,343
41660	Lake/State	05/18/2018	W	20,301
41660	Lake/State	06/27/2018	W	21,902
41660	Lake/State	05/02/2018	W	20,935
41660	Lake/State	05/06/2018	U	8,020
41660	Lake/State	04/02/2018	W	19,608
41660	Lake/State	06/23/2018	A	12,615
41660	Lake/State	06/16/2018	A	12,613
41660	Lake/State	04/06/2018	W	20,501
41660	Lake/State	04/28/2018	A	12,364
41660	Lake/State	04/18/2018	W	20,433
41660	Lake/State	06/19/2018	W	23,632
41660	Lake/State	06/20/2018	W	23,721
41660	Lake/State	05/29/2018	W	19,352
41660	Lake/State	05/31/2018	W	20,603
41660	Lake/State	05/12/2018	A	11,610
41660	Lake/State	05/09/2018	W	21,676
41660	Lake/State	05/08/2018	W	22,853
41660	Lake/State	04/29/2018	U	9,068
41660	Lake/State	05/05/2018	A	11,840
41660	Lake/State	05/07/2018	W	21,147
41660	Lake/State	06/24/2018	U	15,902
41660	Lake/State	07/01/2018	U	9,607
41660	Lake/State	07/02/2018	W	20,133
41660	Lake/State	07/03/2018	W	22,566
41660	Lake/State	07/04/2018	U	11,055
41660	Lake/State	07/05/2018	W	18,708
41660	Lake/State	07/06/2018	W	21,590
41660	Lake/State	07/07/2018	A	12,955
41660	Lake/State	07/08/2018	U	9,700
41660	Lake/State	07/09/2018	W	20,668
41660	Lake/State	07/10/2018	W	22,360
41660	Lake/State	07/11/2018	W	22,795
41660	Lake/State	07/12/2018	W	22,126
41660	Lake/State	07/13/2018	W	23,744
41660	Lake/State	07/14/2018	A	13,001
41660	Lake/State	07/15/2018	U	9,600
41660	Lake/State	07/16/2018	W	20,902
41660	Lake/State	07/17/2018	W	22,084
41660	Lake/State	07/18/2018	W	22,047
