ï..station_id	stationname	date	daytype	rides
40770	Lawrence	12/21/2017	W	2,958
40770	Lawrence	12/09/2017	A	2,734
40770	Lawrence	12/17/2017	U	2,032
40770	Lawrence	12/06/2017	W	3,258
40770	Lawrence	12/22/2017	W	2,496
40770	Lawrence	12/04/2017	W	3,153
40770	Lawrence	12/05/2017	W	3,284
40770	Lawrence	12/24/2017	U	1,411
40770	Lawrence	12/14/2017	W	3,272
40770	Lawrence	12/25/2017	U	684
40770	Lawrence	12/15/2017	W	3,655
40770	Lawrence	12/07/2017	W	3,576
40770	Lawrence	12/26/2017	W	1,549
40770	Lawrence	12/27/2017	W	1,879
40770	Lawrence	12/12/2017	W	3,225
40770	Lawrence	12/30/2017	A	1,799
40770	Lawrence	12/01/2017	W	4,638
40770	Lawrence	12/02/2017	A	3,160
40770	Lawrence	12/23/2017	A	1,713
40770	Lawrence	12/29/2017	W	2,251
40770	Lawrence	12/13/2017	W	3,215
40770	Lawrence	12/31/2017	U	1,748
40770	Lawrence	12/19/2017	W	3,183
40770	Lawrence	12/11/2017	W	3,144
40770	Lawrence	12/03/2017	U	1,929
40770	Lawrence	12/18/2017	W	3,084
40770	Lawrence	12/08/2017	W	3,363
40770	Lawrence	12/16/2017	A	2,303
40770	Lawrence	12/20/2017	W	3,076
40770	Lawrence	12/10/2017	U	1,874
40770	Lawrence	12/28/2017	W	2,136
40770	Lawrence	01/27/2018	A	2,613
40770	Lawrence	02/22/2018	W	3,212
40770	Lawrence	01/02/2018	W	2,367
40770	Lawrence	01/07/2018	U	1,394
40770	Lawrence	02/20/2018	W	3,408
40770	Lawrence	01/29/2018	W	2,901
40770	Lawrence	01/30/2018	W	3,156
40770	Lawrence	03/22/2018	W	3,134
40770	Lawrence	03/05/2018	W	3,082
40770	Lawrence	02/28/2018	W	3,228
40770	Lawrence	03/04/2018	U	1,827
40770	Lawrence	03/17/2018	A	2,558
40770	Lawrence	02/24/2018	A	2,691
40770	Lawrence	01/05/2018	W	2,635
40770	Lawrence	02/06/2018	W	3,419
40770	Lawrence	02/04/2018	U	1,504
40770	Lawrence	02/27/2018	W	3,228
40770	Lawrence	03/25/2018	U	1,652
40770	Lawrence	01/09/2018	W	3,061
40770	Lawrence	01/22/2018	W	2,902
40770	Lawrence	03/20/2018	W	3,085
40770	Lawrence	02/13/2018	W	3,163
40770	Lawrence	02/18/2018	U	1,935
40770	Lawrence	03/01/2018	W	3,192
40770	Lawrence	03/02/2018	W	4,152
40770	Lawrence	03/19/2018	W	3,026
40770	Lawrence	01/17/2018	W	3,328
40770	Lawrence	03/18/2018	U	1,780
40770	Lawrence	03/23/2018	W	3,285
40770	Lawrence	02/09/2018	W	2,508
40770	Lawrence	02/05/2018	W	2,960
40770	Lawrence	02/16/2018	W	4,011
40770	Lawrence	02/26/2018	W	2,965
40770	Lawrence	03/24/2018	A	1,673
40770	Lawrence	01/11/2018	W	3,080
40770	Lawrence	01/19/2018	W	3,187
40770	Lawrence	03/08/2018	W	3,089
40770	Lawrence	03/28/2018	W	2,935
40770	Lawrence	01/10/2018	W	3,171
40770	Lawrence	02/01/2018	W	3,161
40770	Lawrence	02/14/2018	W	3,513
40770	Lawrence	03/13/2018	W	3,207
40770	Lawrence	03/26/2018	W	2,864
40770	Lawrence	03/16/2018	W	3,534
40770	Lawrence	02/23/2018	W	3,589
40770	Lawrence	01/25/2018	W	3,184
40770	Lawrence	03/11/2018	U	1,717
40770	Lawrence	02/19/2018	W	2,369
40770	Lawrence	01/28/2018	U	1,578
40770	Lawrence	03/31/2018	A	2,210
40770	Lawrence	01/31/2018	W	3,222
40770	Lawrence	01/14/2018	U	1,529
40770	Lawrence	02/15/2018	W	3,182
40770	Lawrence	03/09/2018	W	3,800
40770	Lawrence	03/07/2018	W	3,128
40770	Lawrence	01/23/2018	W	3,228
40770	Lawrence	01/08/2018	W	2,971
40770	Lawrence	02/02/2018	W	3,261
40770	Lawrence	03/14/2018	W	3,167
