"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40850	"Library"	"12/25/2017"	"U"	"392"
40850	"Library"	"12/15/2017"	"W"	"3,109"
40850	"Library"	"12/05/2017"	"W"	"3,767"
40850	"Library"	"12/31/2017"	"U"	"778"
40850	"Library"	"12/23/2017"	"A"	"1,033"
40850	"Library"	"12/11/2017"	"W"	"3,495"
40850	"Library"	"12/02/2017"	"A"	"1,868"
40850	"Library"	"12/04/2017"	"W"	"3,681"
40850	"Library"	"12/08/2017"	"W"	"3,360"
40850	"Library"	"12/24/2017"	"U"	"706"
40850	"Library"	"12/27/2017"	"W"	"1,656"
40850	"Library"	"12/10/2017"	"U"	"1,146"
40850	"Library"	"12/01/2017"	"W"	"3,569"
40850	"Library"	"12/03/2017"	"U"	"1,480"
40850	"Library"	"12/17/2017"	"U"	"1,059"
40850	"Library"	"12/19/2017"	"W"	"3,110"
40850	"Library"	"12/13/2017"	"W"	"3,489"
40850	"Library"	"12/12/2017"	"W"	"3,514"
40850	"Library"	"12/30/2017"	"A"	"1,056"
40850	"Library"	"12/18/2017"	"W"	"3,045"
40850	"Library"	"12/14/2017"	"W"	"3,659"
40850	"Library"	"12/20/2017"	"W"	"2,969"
40850	"Library"	"12/07/2017"	"W"	"3,721"
40850	"Library"	"12/21/2017"	"W"	"2,871"
40850	"Library"	"12/06/2017"	"W"	"3,681"
40850	"Library"	"12/09/2017"	"A"	"1,823"
40850	"Library"	"12/29/2017"	"W"	"1,809"
40850	"Library"	"12/26/2017"	"W"	"1,342"
40850	"Library"	"12/28/2017"	"W"	"1,897"
40850	"Library"	"12/16/2017"	"A"	"1,542"
40850	"Library"	"12/22/2017"	"W"	"2,298"
40850	"Library"	"03/24/2018"	"A"	"1,741"
40850	"Library"	"02/05/2018"	"W"	"3,537"
40850	"Library"	"01/21/2018"	"U"	"1,049"
40850	"Library"	"01/02/2018"	"W"	"2,343"
40850	"Library"	"01/01/2018"	"U"	"561"
40850	"Library"	"02/20/2018"	"W"	"3,938"
40850	"Library"	"01/13/2018"	"A"	"1,408"
40850	"Library"	"03/25/2018"	"U"	"1,793"
40850	"Library"	"03/07/2018"	"W"	"3,742"
40850	"Library"	"02/28/2018"	"W"	"3,896"
40850	"Library"	"01/09/2018"	"W"	"3,492"
40850	"Library"	"01/11/2018"	"W"	"3,320"
40850	"Library"	"03/26/2018"	"W"	"3,541"
40850	"Library"	"01/16/2018"	"W"	"3,605"
40850	"Library"	"03/21/2018"	"W"	"3,469"
40850	"Library"	"03/23/2018"	"W"	"3,009"
40850	"Library"	"02/25/2018"	"U"	"1,176"
40850	"Library"	"01/12/2018"	"W"	"2,776"
40850	"Library"	"02/11/2018"	"U"	"999"
40850	"Library"	"02/06/2018"	"W"	"3,847"
40850	"Library"	"02/26/2018"	"W"	"3,844"
40850	"Library"	"02/14/2018"	"W"	"3,776"
40850	"Library"	"01/20/2018"	"A"	"2,900"
40850	"Library"	"01/26/2018"	"W"	"3,230"
40850	"Library"	"01/30/2018"	"W"	"4,002"
40850	"Library"	"01/18/2018"	"W"	"3,508"
40850	"Library"	"03/29/2018"	"W"	"3,511"
40850	"Library"	"02/08/2018"	"W"	"3,821"
40850	"Library"	"01/17/2018"	"W"	"3,598"
40850	"Library"	"01/29/2018"	"W"	"3,829"
40850	"Library"	"02/15/2018"	"W"	"3,843"
40850	"Library"	"01/04/2018"	"W"	"2,770"
40850	"Library"	"01/22/2018"	"W"	"3,809"
40850	"Library"	"03/04/2018"	"U"	"1,046"
40850	"Library"	"02/24/2018"	"A"	"1,606"
40850	"Library"	"03/31/2018"	"A"	"1,396"
40850	"Library"	"03/09/2018"	"W"	"3,102"
40850	"Library"	"01/19/2018"	"W"	"2,982"
40850	"Library"	"02/16/2018"	"W"	"3,443"
40850	"Library"	"03/08/2018"	"W"	"3,709"
40850	"Library"	"01/31/2018"	"W"	"3,880"
40850	"Library"	"03/30/2018"	"W"	"2,666"
40850	"Library"	"03/10/2018"	"A"	"1,571"
40850	"Library"	"01/08/2018"	"W"	"3,301"
40850	"Library"	"02/03/2018"	"A"	"1,458"
40850	"Library"	"02/02/2018"	"W"	"2,872"
40850	"Library"	"01/05/2018"	"W"	"2,329"
40850	"Library"	"02/19/2018"	"W"	"2,511"
40850	"Library"	"03/17/2018"	"A"	"2,969"
40850	"Library"	"02/07/2018"	"W"	"3,809"
40850	"Library"	"01/06/2018"	"A"	"1,117"
40850	"Library"	"03/16/2018"	"W"	"3,240"
40850	"Library"	"03/12/2018"	"W"	"3,682"
40850	"Library"	"03/20/2018"	"W"	"3,595"
40850	"Library"	"03/28/2018"	"W"	"3,664"
40850	"Library"	"01/03/2018"	"W"	"2,607"
40850	"Library"	"02/27/2018"	"W"	"4,013"
40850	"Library"	"03/03/2018"	"A"	"1,827"
40850	"Library"	"03/22/2018"	"W"	"3,450"
40850	"Library"	"01/24/2018"	"W"	"3,866"
40850	"Library"	"01/28/2018"	"U"	"1,106"
40850	"Library"	"03/05/2018"	"W"	"3,313"
40850	"Library"	"03/11/2018"	"U"	"1,179"
40850	"Library"	"03/18/2018"	"U"	"1,392"
40850	"Library"	"01/15/2018"	"W"	"1,541"
40850	"Library"	"03/14/2018"	"W"	"3,857"
40850	"Library"	"03/13/2018"	"W"	"3,858"
40850	"Library"	"02/09/2018"	"W"	"2,101"
40850	"Library"	"03/27/2018"	"W"	"3,793"
40850	"Library"	"03/01/2018"	"W"	"3,805"
40850	"Library"	"03/06/2018"	"W"	"3,802"
40850	"Library"	"02/23/2018"	"W"	"3,259"
40850	"Library"	"01/07/2018"	"U"	"833"
40850	"Library"	"02/01/2018"	"W"	"3,789"
40850	"Library"	"03/15/2018"	"W"	"3,901"
40850	"Library"	"01/27/2018"	"A"	"1,669"
40850	"Library"	"02/17/2018"	"A"	"1,751"
40850	"Library"	"02/04/2018"	"U"	"910"
40850	"Library"	"01/10/2018"	"W"	"3,424"
40850	"Library"	"02/21/2018"	"W"	"3,962"
