"ï..station_id","stationname","date","daytype","rides"
41020,"Logan Square","12/18/2017","W","7,095"
41020,"Logan Square","12/02/2017","A","4,518"
41020,"Logan Square","12/20/2017","W","7,291"
41020,"Logan Square","12/11/2017","W","7,372"
41020,"Logan Square","12/26/2017","W","2,938"
41020,"Logan Square","12/16/2017","A","4,341"
41020,"Logan Square","12/10/2017","U","3,153"
41020,"Logan Square","12/28/2017","W","4,744"
41020,"Logan Square","12/06/2017","W","7,591"
41020,"Logan Square","12/15/2017","W","7,266"
41020,"Logan Square","12/30/2017","A","2,825"
41020,"Logan Square","12/24/2017","U","1,910"
41020,"Logan Square","12/12/2017","W","7,359"
41020,"Logan Square","12/31/2017","U","2,593"
41020,"Logan Square","12/27/2017","W","4,154"
41020,"Logan Square","12/21/2017","W","7,011"
41020,"Logan Square","12/01/2017","W","7,984"
41020,"Logan Square","12/03/2017","U","3,324"
41020,"Logan Square","12/05/2017","W","7,521"
41020,"Logan Square","12/08/2017","W","7,872"
41020,"Logan Square","12/22/2017","W","6,092"
41020,"Logan Square","12/23/2017","A","3,379"
41020,"Logan Square","12/13/2017","W","7,184"
41020,"Logan Square","12/04/2017","W","7,602"
41020,"Logan Square","12/07/2017","W","7,698"
41020,"Logan Square","12/14/2017","W","7,690"
41020,"Logan Square","12/25/2017","U","1,039"
41020,"Logan Square","12/19/2017","W","7,247"
41020,"Logan Square","12/17/2017","U","3,133"
41020,"Logan Square","12/29/2017","W","4,729"
41020,"Logan Square","12/09/2017","A","4,320"
41020,"Logan Square","02/24/2018","A","3,847"
41020,"Logan Square","01/19/2018","W","7,342"
41020,"Logan Square","03/12/2018","W","7,165"
41020,"Logan Square","03/17/2018","A","5,394"
41020,"Logan Square","01/15/2018","W","4,610"
41020,"Logan Square","02/19/2018","W","5,476"
41020,"Logan Square","01/06/2018","A","3,002"
41020,"Logan Square","01/02/2018","W","5,579"
41020,"Logan Square","03/30/2018","W","6,565"
41020,"Logan Square","03/27/2018","W","7,221"
41020,"Logan Square","03/13/2018","W","7,456"
41020,"Logan Square","02/25/2018","U","2,997"
41020,"Logan Square","02/27/2018","W","7,525"
41020,"Logan Square","01/11/2018","W","7,121"
41020,"Logan Square","02/18/2018","U","2,938"
41020,"Logan Square","01/01/2018","U","2,028"
41020,"Logan Square","01/14/2018","U","2,549"
41020,"Logan Square","03/03/2018","A","3,964"
41020,"Logan Square","02/17/2018","A","3,840"
41020,"Logan Square","03/31/2018","A","3,536"
41020,"Logan Square","01/25/2018","W","7,583"
41020,"Logan Square","02/28/2018","W","7,429"
41020,"Logan Square","02/04/2018","U","2,399"
41020,"Logan Square","02/09/2018","W","5,281"
41020,"Logan Square","01/22/2018","W","7,103"
41020,"Logan Square","02/08/2018","W","7,384"
41020,"Logan Square","03/24/2018","A","3,819"
41020,"Logan Square","02/11/2018","U","2,773"
41020,"Logan Square","02/03/2018","A","3,295"
41020,"Logan Square","02/20/2018","W","7,207"
41020,"Logan Square","01/16/2018","W","7,128"
41020,"Logan Square","01/31/2018","W","7,320"
41020,"Logan Square","01/29/2018","W","6,951"
41020,"Logan Square","01/17/2018","W","7,150"
41020,"Logan Square","03/05/2018","W","7,050"
41020,"Logan Square","02/21/2018","W","7,570"
41020,"Logan Square","03/29/2018","W","7,299"
41020,"Logan Square","01/28/2018","U","2,724"
41020,"Logan Square","03/19/2018","W","7,203"
41020,"Logan Square","02/16/2018","W","7,336"
41020,"Logan Square","03/15/2018","W","7,678"
41020,"Logan Square","01/12/2018","W","7,083"
41020,"Logan Square","02/02/2018","W","6,924"
41020,"Logan Square","03/20/2018","W","7,389"
41020,"Logan Square","01/27/2018","A","3,841"
41020,"Logan Square","02/01/2018","W","7,428"
41020,"Logan Square","01/21/2018","U","2,616"
41020,"Logan Square","02/26/2018","W","7,291"
41020,"Logan Square","02/15/2018","W","7,467"
41020,"Logan Square","01/09/2018","W","6,823"
41020,"Logan Square","03/22/2018","W","7,679"
41020,"Logan Square","01/30/2018","W","7,289"
41020,"Logan Square","03/07/2018","W","7,488"
41020,"Logan Square","02/14/2018","W","7,519"
41020,"Logan Square","03/18/2018","U","3,052"
41020,"Logan Square","02/10/2018","A","3,754"
41020,"Logan Square","01/03/2018","W","6,274"
41020,"Logan Square","03/23/2018","W","7,271"
41020,"Logan Square","03/09/2018","W","7,403"
41020,"Logan Square","01/23/2018","W","7,506"
41020,"Logan Square","03/01/2018","W","7,395"
41020,"Logan Square","01/24/2018","W","7,347"
41020,"Logan Square","01/18/2018","W","7,283"
41020,"Logan Square","02/23/2018","W","7,400"
41020,"Logan Square","03/16/2018","W","7,509"
41020,"Logan Square","03/11/2018","U","2,783"
41020,"Logan Square","02/13/2018","W","7,420"
41020,"Logan Square","01/20/2018","A","4,609"
41020,"Logan Square","01/05/2018","W","6,221"
41020,"Logan Square","02/07/2018","W","7,410"
41020,"Logan Square","02/22/2018","W","7,608"
41020,"Logan Square","03/04/2018","U","2,839"
41020,"Logan Square","03/14/2018","W","7,536"
41020,"Logan Square","01/08/2018","W","6,769"
41020,"Logan Square","03/25/2018","U","3,128"
41020,"Logan Square","02/06/2018","W","7,301"
41020,"Logan Square","03/02/2018","W","7,523"
41020,"Logan Square","02/12/2018","W","7,114"
41020,"Logan Square","01/10/2018","W","7,052"
41020,"Logan Square","02/05/2018","W","6,804"
41020,"Logan Square","03/06/2018","W","7,401"
41020,"Logan Square","03/10/2018","A","4,005"
41020,"Logan Square","03/28/2018","W","7,222"
41020,"Logan Square","01/13/2018","A","3,458"
41020,"Logan Square","03/26/2018","W","6,803"
41020,"Logan Square","01/04/2018","W","6,295"
41020,"Logan Square","01/07/2018","U","2,271"
41020,"Logan Square","03/08/2018","W","7,648"
41020,"Logan Square","03/21/2018","W","7,419"
41020,"Logan Square","01/26/2018","W","7,464"
41020,"Logan Square","04/22/2018","U","2,861"
41020,"Logan Square","06/08/2018","W","7,549"
