ï..station_id	stationname	date	daytype	rides
41300	Loyola	12/12/2017	W	5,177
41300	Loyola	12/05/2017	W	5,454
41300	Loyola	12/13/2017	W	4,986
41300	Loyola	12/18/2017	W	3,776
41300	Loyola	12/08/2017	W	5,895
41300	Loyola	12/27/2017	W	2,264
41300	Loyola	12/30/2017	A	2,060
41300	Loyola	12/25/2017	U	963
41300	Loyola	12/21/2017	W	3,654
41300	Loyola	12/24/2017	U	1,481
41300	Loyola	12/16/2017	A	4,212
41300	Loyola	12/22/2017	W	3,307
41300	Loyola	12/03/2017	U	3,341
41300	Loyola	12/26/2017	W	1,843
41300	Loyola	12/10/2017	U	2,864
41300	Loyola	12/06/2017	W	5,465
41300	Loyola	12/09/2017	A	3,961
41300	Loyola	12/20/2017	W	3,846
41300	Loyola	12/17/2017	U	2,578
41300	Loyola	12/19/2017	W	3,980
41300	Loyola	12/14/2017	W	5,109
41300	Loyola	12/01/2017	W	6,511
41300	Loyola	12/11/2017	W	4,966
41300	Loyola	12/28/2017	W	2,541
41300	Loyola	12/15/2017	W	5,175
41300	Loyola	12/02/2017	A	4,856
41300	Loyola	12/07/2017	W	5,532
41300	Loyola	12/29/2017	W	2,667
41300	Loyola	12/04/2017	W	5,385
41300	Loyola	12/23/2017	A	2,119
41300	Loyola	12/31/2017	U	2,097
41300	Loyola	02/14/2018	W	5,713
41300	Loyola	03/12/2018	W	5,329
41300	Loyola	01/21/2018	U	2,646
41300	Loyola	03/13/2018	W	5,374
41300	Loyola	02/20/2018	W	5,270
41300	Loyola	03/28/2018	W	5,334
41300	Loyola	01/07/2018	U	1,867
41300	Loyola	01/24/2018	W	5,342
41300	Loyola	01/30/2018	W	5,394
41300	Loyola	02/17/2018	A	4,188
41300	Loyola	02/13/2018	W	5,516
41300	Loyola	01/08/2018	W	3,757
41300	Loyola	02/16/2018	W	6,085
41300	Loyola	03/08/2018	W	4,262
41300	Loyola	03/14/2018	W	5,712
41300	Loyola	03/11/2018	U	2,801
41300	Loyola	01/31/2018	W	5,450
41300	Loyola	03/31/2018	A	3,703
41300	Loyola	03/26/2018	W	4,857
41300	Loyola	02/25/2018	U	2,973
41300	Loyola	01/26/2018	W	5,871
41300	Loyola	03/19/2018	W	5,198
41300	Loyola	02/01/2018	W	5,419
41300	Loyola	01/15/2018	W	3,613
41300	Loyola	03/17/2018	A	6,278
41300	Loyola	01/14/2018	U	2,223
41300	Loyola	03/30/2018	W	4,270
41300	Loyola	03/07/2018	W	4,323
41300	Loyola	02/21/2018	W	5,577
41300	Loyola	01/27/2018	A	4,075
41300	Loyola	01/23/2018	W	5,515
41300	Loyola	02/09/2018	W	4,589
41300	Loyola	01/13/2018	A	2,818
41300	Loyola	02/24/2018	A	4,571
41300	Loyola	03/21/2018	W	5,185
