ï..station_id	stationname	date	daytype	rides
40640	Madison/Wabash	12/05/2017	W	0
40640	Madison/Wabash	12/03/2017	U	0
40640	Madison/Wabash	12/11/2017	W	0
40640	Madison/Wabash	12/30/2017	A	0
40640	Madison/Wabash	12/19/2017	W	0
40640	Madison/Wabash	12/22/2017	W	0
40640	Madison/Wabash	12/04/2017	W	0
40640	Madison/Wabash	12/28/2017	W	0
40640	Madison/Wabash	12/12/2017	W	0
40640	Madison/Wabash	12/21/2017	W	0
40640	Madison/Wabash	12/26/2017	W	0
40640	Madison/Wabash	12/20/2017	W	0
40640	Madison/Wabash	12/01/2017	W	0
40640	Madison/Wabash	12/24/2017	U	0
40640	Madison/Wabash	12/27/2017	W	0
40640	Madison/Wabash	12/08/2017	W	0
40640	Madison/Wabash	12/14/2017	W	0
40640	Madison/Wabash	12/06/2017	W	0
40640	Madison/Wabash	12/29/2017	W	0
40640	Madison/Wabash	12/25/2017	U	0
40640	Madison/Wabash	12/09/2017	A	0
40640	Madison/Wabash	12/16/2017	A	0
40640	Madison/Wabash	12/17/2017	U	0
40640	Madison/Wabash	12/13/2017	W	0
40640	Madison/Wabash	12/07/2017	W	0
40640	Madison/Wabash	12/23/2017	A	0
40640	Madison/Wabash	12/18/2017	W	0
40640	Madison/Wabash	12/10/2017	U	0
40640	Madison/Wabash	12/31/2017	U	0
40640	Madison/Wabash	12/02/2017	A	0
40640	Madison/Wabash	12/15/2017	W	0
40640	Madison/Wabash	01/01/2018	U	0
40640	Madison/Wabash	03/12/2016	A	0
40640	Madison/Wabash	10/30/2007	W	5,824
40640	Madison/Wabash	06/26/2009	W	7,362
40640	Madison/Wabash	10/08/2004	W	4,497
40640	Madison/Wabash	09/04/2016	U	0
40640	Madison/Wabash	12/30/2013	W	5,142
40640	Madison/Wabash	04/12/2007	W	5,323
40640	Madison/Wabash	11/20/2015	W	0
40640	Madison/Wabash	07/10/2012	W	6,764
40640	Madison/Wabash	08/13/2013	W	7,256
40640	Madison/Wabash	10/06/2013	U	2,286
40640	Madison/Wabash	06/08/2014	U	2,871
40640	Madison/Wabash	09/15/2010	W	8,354
40640	Madison/Wabash	05/20/2002	W	4,065
40640	Madison/Wabash	10/13/2013	U	3,700
40640	Madison/Wabash	04/29/2008	W	5,466
40640	Madison/Wabash	10/07/2005	W	4,875
40640	Madison/Wabash	09/14/2013	A	3,959
40640	Madison/Wabash	03/29/2005	W	4,557
40640	Madison/Wabash	07/25/2011	W	7,090
40640	Madison/Wabash	04/21/2016	W	0
40640	Madison/Wabash	11/21/2007	W	5,274
40640	Madison/Wabash	06/09/2016	W	0
40640	Madison/Wabash	12/26/2010	U	1,393
40640	Madison/Wabash	04/27/2012	W	6,366
40640	Madison/Wabash	01/27/2007	A	2,278
40640	Madison/Wabash	08/12/2001	U	558
40640	Madison/Wabash	04/29/2006	A	1,936
40640	Madison/Wabash	03/27/2006	W	4,556
40640	Madison/Wabash	08/25/2008	W	5,974
40640	Madison/Wabash	03/11/2010	W	5,885
40640	Madison/Wabash	07/17/2001	W	4,223
40640	Madison/Wabash	08/29/2007	W	5,835
40640	Madison/Wabash	03/12/2006	U	1,084
40640	Madison/Wabash	09/25/2002	W	4,442
40640	Madison/Wabash	01/11/2002	W	4,084
40640	Madison/Wabash	03/30/2015	W	0
40640	Madison/Wabash	01/14/2006	A	2,033
40640	Madison/Wabash	06/08/2008	U	4,707
40640	Madison/Wabash	11/22/2004	W	4,475
40640	Madison/Wabash	06/14/2002	W	4,392
40640	Madison/Wabash	05/17/2016	W	0
40640	Madison/Wabash	05/27/2009	W	5,409
40640	Madison/Wabash	03/04/2007	U	1,102
40640	Madison/Wabash	12/10/2005	A	2,463
40640	Madison/Wabash	09/07/2010	W	6,272
40640	Madison/Wabash	03/30/2005	W	4,327
40640	Madison/Wabash	10/11/2017	W	0
40640	Madison/Wabash	02/23/2007	W	4,909
40640	Madison/Wabash	02/25/2017	A	0
40640	Madison/Wabash	03/03/2001	A	1,432
40640	Madison/Wabash	12/06/2016	W	0
40640	Madison/Wabash	03/13/2014	W	7,295
40640	Madison/Wabash	01/09/2006	W	4,511
40640	Madison/Wabash	04/07/2001	A	1,570
40640	Madison/Wabash	11/17/2017	W	0
40640	Madison/Wabash	03/10/2016	W	0
40640	Madison/Wabash	10/01/2015	W	0
40640	Madison/Wabash	12/18/2015	W	0
40640	Madison/Wabash	12/13/2002	W	4,327
40640	Madison/Wabash	04/25/2017	W	0
40640	Madison/Wabash	11/10/2004	W	4,755
40640	Madison/Wabash	02/05/2016	W	0
40640	Madison/Wabash	08/18/2010	W	6,699
40640	Madison/Wabash	08/02/2006	W	6,037
40640	Madison/Wabash	06/14/2016	W	0
40640	Madison/Wabash	05/30/2013	W	6,963
40640	Madison/Wabash	11/13/2011	U	1,828
40640	Madison/Wabash	09/21/2013	A	3,882
40640	Madison/Wabash	11/06/2003	W	4,363
40640	Madison/Wabash	08/16/2003	A	1,720
40640	Madison/Wabash	08/21/2014	W	6,939
40640	Madison/Wabash	09/30/2012	U	1,548
40640	Madison/Wabash	02/19/2004	W	4,171
40640	Madison/Wabash	05/24/2017	W	0
40640	Madison/Wabash	06/28/2005	W	5,401
40640	Madison/Wabash	08/12/2009	W	6,255
40640	Madison/Wabash	06/01/2006	W	5,487
40640	Madison/Wabash	02/20/2004	W	4,094
40640	Madison/Wabash	03/11/2001	U	489
40640	Madison/Wabash	07/23/2011	A	3,252
40640	Madison/Wabash	12/09/2009	W	5,828
40640	Madison/Wabash	09/04/2002	W	4,439
40640	Madison/Wabash	10/04/2017	W	0
40640	Madison/Wabash	02/24/2013	U	2,560
40640	Madison/Wabash	01/13/2015	W	6,447
40640	Madison/Wabash	01/19/2006	W	4,957
40640	Madison/Wabash	05/15/2003	W	4,075
40640	Madison/Wabash	04/29/2013	W	5,394
40640	Madison/Wabash	07/31/2005	U	1,508
40640	Madison/Wabash	07/17/2007	W	5,886
40640	Madison/Wabash	10/13/2004	W	4,753
40640	Madison/Wabash	01/03/2006	W	4,227
40640	Madison/Wabash	01/20/2015	W	6,603
40640	Madison/Wabash	07/13/2013	A	6,029
40640	Madison/Wabash	12/22/2003	W	4,620
40640	Madison/Wabash	10/05/2005	W	5,423
40640	Madison/Wabash	06/22/2011	W	5,972
40640	Madison/Wabash	12/13/2006	W	6,836
40640	Madison/Wabash	12/10/2013	W	7,039
40640	Madison/Wabash	01/13/2002	U	544
40640	Madison/Wabash	01/21/2013	W	3,519
40640	Madison/Wabash	07/23/2014	W	7,317
40640	Madison/Wabash	09/26/2011	W	6,333
40640	Madison/Wabash	03/19/2017	U	0
40640	Madison/Wabash	01/31/2009	A	2,287
40640	Madison/Wabash	01/04/2008	W	4,994
40640	Madison/Wabash	06/06/2002	W	4,257
40640	Madison/Wabash	07/08/2010	W	6,077
40640	Madison/Wabash	03/04/2017	A	0
40640	Madison/Wabash	09/26/2012	W	7,334
40640	Madison/Wabash	07/17/2013	W	7,922
40640	Madison/Wabash	02/15/2012	W	6,231
40640	Madison/Wabash	09/24/2011	A	3,369
40640	Madison/Wabash	10/03/2010	U	1,657
40640	Madison/Wabash	05/07/2017	U	0
40640	Madison/Wabash	01/19/2016	W	0
40640	Madison/Wabash	08/15/2016	W	0
40640	Madison/Wabash	11/13/2008	W	5,715
40640	Madison/Wabash	02/14/2001	W	4,020
40640	Madison/Wabash	06/05/2014	W	7,324
40640	Madison/Wabash	11/10/2002	U	772
40640	Madison/Wabash	01/29/2003	W	4,122
40640	Madison/Wabash	10/06/2012	A	3,974
40640	Madison/Wabash	08/09/2008	A	5,297
40640	Madison/Wabash	11/27/2002	W	4,229
40640	Madison/Wabash	11/05/2006	U	1,408
40640	Madison/Wabash	02/27/2005	U	859
