ï..station_id	stationname	date	daytype	rides
40460	Merchandise Mart	12/30/2017	A	1,028
40460	Merchandise Mart	12/14/2017	W	7,894
40460	Merchandise Mart	12/01/2017	W	7,965
40460	Merchandise Mart	12/22/2017	W	4,400
40460	Merchandise Mart	12/13/2017	W	8,337
40460	Merchandise Mart	12/17/2017	U	1,082
40460	Merchandise Mart	12/27/2017	W	3,588
40460	Merchandise Mart	12/19/2017	W	8,071
40460	Merchandise Mart	12/31/2017	U	834
40460	Merchandise Mart	12/02/2017	A	2,080
40460	Merchandise Mart	12/09/2017	A	3,313
40460	Merchandise Mart	12/23/2017	A	950
40460	Merchandise Mart	12/25/2017	U	260
40460	Merchandise Mart	12/21/2017	W	6,780
40460	Merchandise Mart	12/08/2017	W	8,951
40460	Merchandise Mart	12/15/2017	W	7,206
40460	Merchandise Mart	12/05/2017	W	8,747
40460	Merchandise Mart	12/04/2017	W	8,559
40460	Merchandise Mart	12/26/2017	W	2,071
40460	Merchandise Mart	12/18/2017	W	7,909
40460	Merchandise Mart	12/29/2017	W	3,404
40460	Merchandise Mart	12/12/2017	W	8,456
40460	Merchandise Mart	12/10/2017	U	2,262
40460	Merchandise Mart	12/28/2017	W	3,965
40460	Merchandise Mart	12/16/2017	A	1,742
40460	Merchandise Mart	12/07/2017	W	9,189
40460	Merchandise Mart	12/03/2017	U	1,136
40460	Merchandise Mart	12/24/2017	U	479
40460	Merchandise Mart	12/06/2017	W	8,676
40460	Merchandise Mart	12/11/2017	W	8,508
40460	Merchandise Mart	12/20/2017	W	7,643
40460	Merchandise Mart	01/10/2018	W	9,008
40460	Merchandise Mart	03/07/2018	W	8,824
40460	Merchandise Mart	03/15/2018	W	8,913
40460	Merchandise Mart	03/22/2018	W	8,705
40460	Merchandise Mart	02/20/2018	W	8,853
40460	Merchandise Mart	01/28/2018	U	1,161
40460	Merchandise Mart	02/01/2018	W	8,501
40460	Merchandise Mart	01/23/2018	W	9,081
40460	Merchandise Mart	03/29/2018	W	8,348
40460	Merchandise Mart	01/21/2018	U	972
40460	Merchandise Mart	02/18/2018	U	1,179
40460	Merchandise Mart	03/31/2018	A	1,462
40460	Merchandise Mart	02/05/2018	W	8,923
40460	Merchandise Mart	02/21/2018	W	9,030
40460	Merchandise Mart	01/22/2018	W	8,781
40460	Merchandise Mart	03/13/2018	W	9,020
40460	Merchandise Mart	02/27/2018	W	8,851
40460	Merchandise Mart	03/18/2018	U	1,474
40460	Merchandise Mart	01/16/2018	W	8,843
40460	Merchandise Mart	01/30/2018	W	9,029
40460	Merchandise Mart	01/20/2018	A	1,824
40460	Merchandise Mart	02/14/2018	W	9,099
40460	Merchandise Mart	01/18/2018	W	8,944
40460	Merchandise Mart	03/05/2018	W	8,723
40460	Merchandise Mart	01/24/2018	W	8,914
40460	Merchandise Mart	01/06/2018	A	1,158
40460	Merchandise Mart	01/01/2018	U	825
40460	Merchandise Mart	02/08/2018	W	9,028
40460	Merchandise Mart	02/04/2018	U	1,052
40460	Merchandise Mart	03/27/2018	W	8,352
40460	Merchandise Mart	02/23/2018	W	8,067
40460	Merchandise Mart	03/25/2018	U	1,161
40460	Merchandise Mart	01/17/2018	W	8,955
40460	Merchandise Mart	02/17/2018	A	1,584
40460	Merchandise Mart	02/28/2018	W	8,844
40460	Merchandise Mart	03/09/2018	W	7,776
40460	Merchandise Mart	02/16/2018	W	7,808
40460	Merchandise Mart	02/19/2018	W	4,957
40460	Merchandise Mart	03/08/2018	W	8,728
40460	Merchandise Mart	02/03/2018	A	1,619
40460	Merchandise Mart	02/11/2018	U	1,157
40460	Merchandise Mart	02/12/2018	W	8,999
40460	Merchandise Mart	01/08/2018	W	8,770
40460	Merchandise Mart	02/09/2018	W	4,885
40460	Merchandise Mart	03/17/2018	A	5,386
40460	Merchandise Mart	01/14/2018	U	959
40460	Merchandise Mart	01/27/2018	A	1,741
40460	Merchandise Mart	01/02/2018	W	6,667
40460	Merchandise Mart	01/15/2018	W	4,229
40460	Merchandise Mart	03/02/2018	W	7,879
40460	Merchandise Mart	01/25/2018	W	8,859
40460	Merchandise Mart	01/12/2018	W	7,563
40460	Merchandise Mart	03/30/2018	W	6,392
40460	Merchandise Mart	03/01/2018	W	8,765
40460	Merchandise Mart	02/25/2018	U	1,100
40460	Merchandise Mart	03/12/2018	W	8,828
40460	Merchandise Mart	02/15/2018	W	8,807
40460	Merchandise Mart	03/21/2018	W	8,768
40460	Merchandise Mart	02/22/2018	W	8,673
40460	Merchandise Mart	01/13/2018	A	1,362
40460	Merchandise Mart	01/11/2018	W	8,698
40460	Merchandise Mart	01/19/2018	W	8,221
40460	Merchandise Mart	03/06/2018	W	8,812
40460	Merchandise Mart	02/24/2018	A	1,606
40460	Merchandise Mart	01/29/2018	W	8,970
40460	Merchandise Mart	01/26/2018	W	7,853
40460	Merchandise Mart	03/24/2018	A	1,733
40460	Merchandise Mart	03/14/2018	W	9,211
40460	Merchandise Mart	01/05/2018	W	7,324
40460	Merchandise Mart	03/20/2018	W	8,906
40460	Merchandise Mart	01/07/2018	U	845
40460	Merchandise Mart	03/10/2018	A	1,959
40460	Merchandise Mart	03/28/2018	W	8,387
40460	Merchandise Mart	02/07/2018	W	8,904
40460	Merchandise Mart	01/31/2018	W	8,816
40460	Merchandise Mart	03/04/2018	U	1,148
40460	Merchandise Mart	02/02/2018	W	7,597
40460	Merchandise Mart	03/26/2018	W	8,379
40460	Merchandise Mart	02/26/2018	W	8,742
40460	Merchandise Mart	02/06/2018	W	8,881
40460	Merchandise Mart	03/11/2018	U	1,139
40460	Merchandise Mart	03/19/2018	W	8,863
40460	Merchandise Mart	01/03/2018	W	7,803
40460	Merchandise Mart	03/23/2018	W	7,770
40460	Merchandise Mart	03/03/2018	A	1,797
40460	Merchandise Mart	02/13/2018	W	9,348
40460	Merchandise Mart	02/10/2018	A	1,643
40460	Merchandise Mart	01/09/2018	W	8,710
40460	Merchandise Mart	01/04/2018	W	7,971
40460	Merchandise Mart	03/16/2018	W	8,239
40460	Merchandise Mart	05/20/2018	U	1,072
40460	Merchandise Mart	06/23/2018	A	1,973
40460	Merchandise Mart	06/01/2018	W	7,988
40460	Merchandise Mart	05/15/2018	W	8,703
40460	Merchandise Mart	05/03/2018	W	8,476
40460	Merchandise Mart	04/27/2018	W	8,378
40460	Merchandise Mart	04/08/2018	U	1,174
40460	Merchandise Mart	06/29/2018	W	8,186
40460	Merchandise Mart	04/09/2018	W	8,731
40460	Merchandise Mart	05/13/2018	U	1,118
40460	Merchandise Mart	06/02/2018	A	1,675
40460	Merchandise Mart	05/14/2018	W	8,267
40460	Merchandise Mart	06/20/2018	W	9,055
40460	Merchandise Mart	06/27/2018	W	8,982
40460	Merchandise Mart	04/21/2018	A	1,724
40460	Merchandise Mart	05/21/2018	W	8,499
40460	Merchandise Mart	04/30/2018	W	8,359
40460	Merchandise Mart	04/26/2018	W	8,788
40460	Merchandise Mart	05/16/2018	W	8,809
40460	Merchandise Mart	05/07/2018	W	8,733
40460	Merchandise Mart	06/11/2018	W	9,968
40460	Merchandise Mart	06/15/2018	W	7,835
40460	Merchandise Mart	05/09/2018	W	8,902
40460	Merchandise Mart	04/25/2018	W	8,606
40460	Merchandise Mart	04/07/2018	A	1,783
40460	Merchandise Mart	04/15/2018	U	1,154
40460	Merchandise Mart	06/09/2018	A	2,287
40460	Merchandise Mart	06/19/2018	W	9,261
40460	Merchandise Mart	06/18/2018	W	8,935
40460	Merchandise Mart	04/01/2018	U	855
40460	Merchandise Mart	05/10/2018	W	8,671
40460	Merchandise Mart	05/25/2018	W	6,438
40460	Merchandise Mart	06/22/2018	W	7,934
40460	Merchandise Mart	06/17/2018	U	1,070
40460	Merchandise Mart	04/14/2018	A	1,763
40460	Merchandise Mart	05/08/2018	W	9,000
40460	Merchandise Mart	06/05/2018	W	9,419
40460	Merchandise Mart	05/11/2018	W	7,887
40460	Merchandise Mart	04/17/2018	W	9,021
40460	Merchandise Mart	05/22/2018	W	9,106
40460	Merchandise Mart	06/06/2018	W	9,327
40460	Merchandise Mart	04/10/2018	W	9,103
40460	Merchandise Mart	06/04/2018	W	8,618
40460	Merchandise Mart	06/13/2018	W	9,592
40460	Merchandise Mart	05/26/2018	A	1,966
40460	Merchandise Mart	06/10/2018	U	1,664
40460	Merchandise Mart	04/02/2018	W	8,514
40460	Merchandise Mart	06/08/2018	W	8,136
40460	Merchandise Mart	05/19/2018	A	1,776
40460	Merchandise Mart	04/11/2018	W	8,738
40460	Merchandise Mart	04/22/2018	U	1,017
40460	Merchandise Mart	04/06/2018	W	7,671
40460	Merchandise Mart	04/18/2018	W	8,709
40460	Merchandise Mart	04/19/2018	W	8,731
40460	Merchandise Mart	04/20/2018	W	7,729
40460	Merchandise Mart	05/06/2018	U	1,158
40460	Merchandise Mart	05/30/2018	W	8,854
40460	Merchandise Mart	05/29/2018	W	8,673
40460	Merchandise Mart	05/12/2018	A	1,744
40460	Merchandise Mart	04/23/2018	W	8,089
40460	Merchandise Mart	04/24/2018	W	8,685
40460	Merchandise Mart	06/28/2018	W	8,798
40460	Merchandise Mart	06/30/2018	A	1,970
40460	Merchandise Mart	05/28/2018	U	1,075
40460	Merchandise Mart	04/16/2018	W	8,797
40460	Merchandise Mart	05/23/2018	W	8,913
40460	Merchandise Mart	06/21/2018	W	8,842
40460	Merchandise Mart	05/24/2018	W	8,426
40460	Merchandise Mart	06/07/2018	W	9,193
40460	Merchandise Mart	04/29/2018	U	1,810
40460	Merchandise Mart	04/28/2018	A	2,789
40460	Merchandise Mart	06/12/2018	W	10,333
40460	Merchandise Mart	04/13/2018	W	7,754
40460	Merchandise Mart	05/27/2018	U	1,328
40460	Merchandise Mart	05/05/2018	A	1,750
40460	Merchandise Mart	06/24/2018	U	1,502
40460	Merchandise Mart	05/31/2018	W	8,904
40460	Merchandise Mart	05/17/2018	W	8,690
40460	Merchandise Mart	05/02/2018	W	8,544
40460	Merchandise Mart	06/14/2018	W	8,924
40460	Merchandise Mart	04/05/2018	W	9,062
40460	Merchandise Mart	06/16/2018	A	1,745
40460	Merchandise Mart	04/03/2018	W	8,780
40460	Merchandise Mart	05/18/2018	W	7,762
40460	Merchandise Mart	05/01/2018	W	8,714
40460	Merchandise Mart	04/12/2018	W	8,655
40460	Merchandise Mart	06/25/2018	W	8,746
40460	Merchandise Mart	06/26/2018	W	8,935
40460	Merchandise Mart	06/03/2018	U	1,240
40460	Merchandise Mart	05/04/2018	W	7,341
40460	Merchandise Mart	04/04/2018	W	8,950
40460	Merchandise Mart	07/01/2018	U	1,263
40460	Merchandise Mart	07/02/2018	W	7,976
40460	Merchandise Mart	07/03/2018	W	7,412
40460	Merchandise Mart	07/04/2018	U	1,230
40460	Merchandise Mart	07/05/2018	W	6,297
40460	Merchandise Mart	07/06/2018	W	6,218
40460	Merchandise Mart	07/07/2018	A	1,819
40460	Merchandise Mart	07/08/2018	U	1,193
40460	Merchandise Mart	07/09/2018	W	8,731
40460	Merchandise Mart	07/10/2018	W	8,854
40460	Merchandise Mart	07/11/2018	W	8,723
40460	Merchandise Mart	07/12/2018	W	8,411
40460	Merchandise Mart	07/13/2018	W	8,239
40460	Merchandise Mart	07/14/2018	A	2,000
40460	Merchandise Mart	07/15/2018	U	1,572
40460	Merchandise Mart	07/16/2018	W	8,899
40460	Merchandise Mart	07/17/2018	W	8,829
40460	Merchandise Mart	07/18/2018	W	8,858
40460	Merchandise Mart	07/19/2018	W	8,817
40460	Merchandise Mart	07/20/2018	W	7,823
40460	Merchandise Mart	07/21/2018	A	2,036
40460	Merchandise Mart	07/22/2018	U	1,303
40460	Merchandise Mart	07/23/2018	W	8,593
40460	Merchandise Mart	07/24/2018	W	8,804
40460	Merchandise Mart	07/25/2018	W	8,837
40460	Merchandise Mart	07/26/2018	W	8,653
40460	Merchandise Mart	07/27/2018	W	7,894
40460	Merchandise Mart	07/28/2018	A	1,821
40460	Merchandise Mart	07/29/2018	U	1,649
40460	Merchandise Mart	07/30/2018	W	8,678
40460	Merchandise Mart	07/31/2018	W	8,709
40460	Merchandise Mart	08/01/2018	W	8,829
40460	Merchandise Mart	08/02/2018	W	9,176
40460	Merchandise Mart	08/03/2018	W	7,879
40460	Merchandise Mart	08/04/2018	A	2,102
40460	Merchandise Mart	08/05/2018	U	1,605
40460	Merchandise Mart	08/06/2018	W	8,452
40460	Merchandise Mart	08/07/2018	W	8,891
40460	Merchandise Mart	08/08/2018	W	8,350
40460	Merchandise Mart	08/09/2018	W	8,442
40460	Merchandise Mart	08/10/2018	W	7,597
40460	Merchandise Mart	08/11/2018	A	2,218
40460	Merchandise Mart	08/12/2018	U	1,404
40460	Merchandise Mart	08/13/2018	W	8,202
40460	Merchandise Mart	08/14/2018	W	8,570
40460	Merchandise Mart	08/15/2018	W	8,490
40460	Merchandise Mart	08/16/2018	W	8,261
40460	Merchandise Mart	08/17/2018	W	7,372
40460	Merchandise Mart	08/18/2018	A	2,069
40460	Merchandise Mart	08/19/2018	U	1,281
40460	Merchandise Mart	08/20/2018	W	8,527
40460	Merchandise Mart	08/21/2018	W	8,402
40460	Merchandise Mart	08/22/2018	W	8,247
40460	Merchandise Mart	08/23/2018	W	8,733
40460	Merchandise Mart	08/24/2018	W	7,630
40460	Merchandise Mart	08/25/2018	A	1,752
40460	Merchandise Mart	08/26/2018	U	1,205
40460	Merchandise Mart	08/27/2018	W	8,674
40460	Merchandise Mart	08/28/2018	W	9,027
40460	Merchandise Mart	08/29/2018	W	8,899
40460	Merchandise Mart	08/30/2018	W	8,321
40460	Merchandise Mart	08/31/2018	W	6,383
40460	Merchandise Mart	09/01/2018	A	1,578
40460	Merchandise Mart	09/02/2018	U	1,266
40460	Merchandise Mart	09/03/2018	U	982
40460	Merchandise Mart	09/04/2018	W	8,483
40460	Merchandise Mart	09/05/2018	W	8,979
40460	Merchandise Mart	09/06/2018	W	8,914
40460	Merchandise Mart	09/07/2018	W	8,357
40460	Merchandise Mart	09/08/2018	A	1,948
40460	Merchandise Mart	09/09/2018	U	1,177
40460	Merchandise Mart	09/10/2018	W	8,871
