ï..station_id	stationname	date	daytype	rides
40930	Midway Airport	12/27/2017	W	6,658
40930	Midway Airport	12/07/2017	W	9,034
40930	Midway Airport	12/28/2017	W	6,639
40930	Midway Airport	12/08/2017	W	9,393
40930	Midway Airport	12/13/2017	W	8,337
40930	Midway Airport	12/31/2017	U	2,643
40930	Midway Airport	12/29/2017	W	7,018
40930	Midway Airport	12/17/2017	U	3,165
40930	Midway Airport	12/06/2017	W	8,887
40930	Midway Airport	12/19/2017	W	8,509
40930	Midway Airport	12/16/2017	A	4,353
40930	Midway Airport	12/24/2017	U	2,185
40930	Midway Airport	12/03/2017	U	4,122
40930	Midway Airport	12/12/2017	W	8,151
40930	Midway Airport	12/25/2017	U	1,884
40930	Midway Airport	12/15/2017	W	8,375
40930	Midway Airport	12/11/2017	W	8,381
40930	Midway Airport	12/22/2017	W	7,186
40930	Midway Airport	12/04/2017	W	9,031
40930	Midway Airport	12/26/2017	W	6,221
40930	Midway Airport	12/02/2017	A	5,723
40930	Midway Airport	12/01/2017	W	9,723
40930	Midway Airport	12/23/2017	A	3,488
40930	Midway Airport	12/09/2017	A	4,092
40930	Midway Airport	12/30/2017	A	3,594
40930	Midway Airport	12/20/2017	W	8,134
40930	Midway Airport	12/21/2017	W	8,018
40930	Midway Airport	12/10/2017	U	3,116
40930	Midway Airport	12/18/2017	W	8,164
40930	Midway Airport	12/14/2017	W	8,682
40930	Midway Airport	12/05/2017	W	8,632
40930	Midway Airport	01/08/2018	W	7,478
40930	Midway Airport	02/03/2018	A	3,037
40930	Midway Airport	03/21/2018	W	8,242
40930	Midway Airport	03/19/2018	W	8,581
40930	Midway Airport	03/12/2018	W	8,550
40930	Midway Airport	03/23/2018	W	8,555
40930	Midway Airport	01/18/2018	W	8,218
40930	Midway Airport	02/27/2018	W	8,266
40930	Midway Airport	03/26/2018	W	7,612
40930	Midway Airport	02/08/2018	W	8,353
40930	Midway Airport	03/04/2018	U	2,947
40930	Midway Airport	03/03/2018	A	3,608
40930	Midway Airport	02/10/2018	A	3,090
40930	Midway Airport	03/02/2018	W	8,411
40930	Midway Airport	01/29/2018	W	8,144
40930	Midway Airport	03/11/2018	U	3,454
40930	Midway Airport	02/06/2018	W	7,880
40930	Midway Airport	02/14/2018	W	8,137
40930	Midway Airport	02/28/2018	W	8,297
40930	Midway Airport	01/02/2018	W	6,545
40930	Midway Airport	03/13/2018	W	8,393
40930	Midway Airport	01/24/2018	W	8,093
40930	Midway Airport	01/26/2018	W	8,418
40930	Midway Airport	01/16/2018	W	8,233
40930	Midway Airport	02/04/2018	U	2,304
40930	Midway Airport	01/11/2018	W	7,821
40930	Midway Airport	01/06/2018	A	2,773
40930	Midway Airport	01/05/2018	W	6,374
40930	Midway Airport	03/20/2018	W	8,109
40930	Midway Airport	02/26/2018	W	8,455
40930	Midway Airport	01/31/2018	W	7,929
40930	Midway Airport	02/20/2018	W	7,988
40930	Midway Airport	02/21/2018	W	8,428
40930	Midway Airport	02/11/2018	U	2,118
40930	Midway Airport	03/05/2018	W	8,026
40930	Midway Airport	02/23/2018	W	8,401
40930	Midway Airport	03/10/2018	A	3,943
40930	Midway Airport	01/09/2018	W	7,458
40930	Midway Airport	03/01/2018	W	8,285
40930	Midway Airport	03/18/2018	U	3,574
40930	Midway Airport	03/31/2018	A	3,280
40930	Midway Airport	03/14/2018	W	8,621
40930	Midway Airport	03/30/2018	W	6,837
40930	Midway Airport	03/16/2018	W	9,980
40930	Midway Airport	03/09/2018	W	8,532
40930	Midway Airport	01/01/2018	U	2,601
40930	Midway Airport	01/23/2018	W	8,161
40930	Midway Airport	03/06/2018	W	8,166
40930	Midway Airport	03/29/2018	W	8,426
40930	Midway Airport	02/17/2018	A	3,584
40930	Midway Airport	02/24/2018	A	3,285
40930	Midway Airport	01/12/2018	W	8,018
40930	Midway Airport	02/12/2018	W	8,298
40930	Midway Airport	02/05/2018	W	7,983
40930	Midway Airport	02/22/2018	W	8,391
40930	Midway Airport	01/14/2018	U	2,433
40930	Midway Airport	01/10/2018	W	7,635
40930	Midway Airport	01/28/2018	U	2,776
40930	Midway Airport	01/13/2018	A	3,237
40930	Midway Airport	02/25/2018	U	2,900
40930	Midway Airport	03/07/2018	W	8,134
40930	Midway Airport	01/17/2018	W	7,907
40930	Midway Airport	02/13/2018	W	8,197
40930	Midway Airport	01/20/2018	A	3,783
40930	Midway Airport	02/16/2018	W	8,905
40930	Midway Airport	02/01/2018	W	8,249
40930	Midway Airport	01/03/2018	W	6,752
40930	Midway Airport	01/07/2018	U	2,482
40930	Midway Airport	02/18/2018	U	2,777
40930	Midway Airport	03/15/2018	W	9,618
40930	Midway Airport	03/27/2018	W	7,533
40930	Midway Airport	01/22/2018	W	8,474
40930	Midway Airport	02/09/2018	W	5,098
40930	Midway Airport	02/15/2018	W	8,195
40930	Midway Airport	03/22/2018	W	8,395
40930	Midway Airport	03/17/2018	A	6,407
40930	Midway Airport	01/21/2018	U	2,594
40930	Midway Airport	03/08/2018	W	8,433
40930	Midway Airport	02/07/2018	W	7,850
40930	Midway Airport	01/25/2018	W	8,372
40930	Midway Airport	01/30/2018	W	7,910
40930	Midway Airport	03/25/2018	U	3,568
40930	Midway Airport	01/27/2018	A	3,444
40930	Midway Airport	02/19/2018	W	6,129
40930	Midway Airport	01/04/2018	W	6,360
40930	Midway Airport	02/02/2018	W	7,598
40930	Midway Airport	01/15/2018	W	5,210
40930	Midway Airport	03/24/2018	A	3,763
40930	Midway Airport	03/28/2018	W	7,904
40930	Midway Airport	01/19/2018	W	8,359
40930	Midway Airport	04/16/2018	W	8,332
40930	Midway Airport	05/27/2018	U	3,709
40930	Midway Airport	05/23/2018	W	9,096
40930	Midway Airport	04/23/2018	W	8,319
40930	Midway Airport	06/22/2018	W	8,661
40930	Midway Airport	04/05/2018	W	8,734
40930	Midway Airport	04/30/2018	W	8,932
40930	Midway Airport	05/13/2018	U	3,727
40930	Midway Airport	05/12/2018	A	3,994
40930	Midway Airport	06/07/2018	W	9,607
40930	Midway Airport	05/14/2018	W	8,253
40930	Midway Airport	06/26/2018	W	7,960
40930	Midway Airport	04/20/2018	W	8,906
40930	Midway Airport	05/26/2018	A	5,385
