"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40790	"Monroe/Dearborn"	"12/04/2017"	"W"	"8,266"
40790	"Monroe/Dearborn"	"12/21/2017"	"W"	"7,520"
40790	"Monroe/Dearborn"	"12/19/2017"	"W"	"7,961"
40790	"Monroe/Dearborn"	"12/27/2017"	"W"	"4,738"
40790	"Monroe/Dearborn"	"12/18/2017"	"W"	"7,894"
40790	"Monroe/Dearborn"	"12/03/2017"	"U"	"2,110"
40790	"Monroe/Dearborn"	"12/02/2017"	"A"	"2,701"
40790	"Monroe/Dearborn"	"12/22/2017"	"W"	"5,931"
40790	"Monroe/Dearborn"	"12/20/2017"	"W"	"7,794"
40790	"Monroe/Dearborn"	"12/07/2017"	"W"	"8,752"
40790	"Monroe/Dearborn"	"12/29/2017"	"W"	"4,921"
40790	"Monroe/Dearborn"	"12/10/2017"	"U"	"1,828"
40790	"Monroe/Dearborn"	"12/09/2017"	"A"	"2,418"
40790	"Monroe/Dearborn"	"12/30/2017"	"A"	"1,564"
40790	"Monroe/Dearborn"	"12/06/2017"	"W"	"8,490"
40790	"Monroe/Dearborn"	"12/16/2017"	"A"	"2,426"
40790	"Monroe/Dearborn"	"12/14/2017"	"W"	"8,456"
40790	"Monroe/Dearborn"	"12/25/2017"	"U"	"543"
40790	"Monroe/Dearborn"	"12/13/2017"	"W"	"8,334"
40790	"Monroe/Dearborn"	"12/08/2017"	"W"	"8,009"
40790	"Monroe/Dearborn"	"12/15/2017"	"W"	"7,779"
40790	"Monroe/Dearborn"	"12/23/2017"	"A"	"1,857"
40790	"Monroe/Dearborn"	"12/28/2017"	"W"	"5,214"
40790	"Monroe/Dearborn"	"12/31/2017"	"U"	"1,199"
40790	"Monroe/Dearborn"	"12/17/2017"	"U"	"1,805"
40790	"Monroe/Dearborn"	"12/05/2017"	"W"	"8,445"
40790	"Monroe/Dearborn"	"12/24/2017"	"U"	"1,121"
40790	"Monroe/Dearborn"	"12/26/2017"	"W"	"3,247"
40790	"Monroe/Dearborn"	"12/11/2017"	"W"	"8,324"
40790	"Monroe/Dearborn"	"12/12/2017"	"W"	"8,332"
40790	"Monroe/Dearborn"	"12/01/2017"	"W"	"8,500"
40790	"Monroe/Dearborn"	"03/31/2018"	"A"	"2,014"
40790	"Monroe/Dearborn"	"03/20/2018"	"W"	"8,551"
40790	"Monroe/Dearborn"	"01/03/2018"	"W"	"7,120"
40790	"Monroe/Dearborn"	"03/10/2018"	"A"	"2,178"
40790	"Monroe/Dearborn"	"01/31/2018"	"W"	"8,736"
40790	"Monroe/Dearborn"	"03/16/2018"	"W"	"8,149"
