ï..station_id	stationname	date	daytype	rides
41090	Monroe/State	12/03/2017	U	3,127
41090	Monroe/State	12/23/2017	A	3,525
41090	Monroe/State	12/02/2017	A	4,629
41090	Monroe/State	12/27/2017	W	6,216
41090	Monroe/State	12/18/2017	W	10,761
41090	Monroe/State	12/04/2017	W	10,901
41090	Monroe/State	12/31/2017	U	2,611
41090	Monroe/State	12/19/2017	W	10,753
41090	Monroe/State	12/22/2017	W	8,184
41090	Monroe/State	12/20/2017	W	10,431
41090	Monroe/State	12/11/2017	W	10,807
41090	Monroe/State	12/21/2017	W	9,990
41090	Monroe/State	12/30/2017	A	3,185
41090	Monroe/State	12/29/2017	W	7,029
41090	Monroe/State	12/06/2017	W	10,858
41090	Monroe/State	12/16/2017	A	4,442
41090	Monroe/State	12/05/2017	W	10,972
41090	Monroe/State	12/28/2017	W	7,007
41090	Monroe/State	12/24/2017	U	2,060
41090	Monroe/State	12/14/2017	W	11,310
41090	Monroe/State	12/12/2017	W	11,040
41090	Monroe/State	12/13/2017	W	10,714
41090	Monroe/State	12/15/2017	W	10,474
41090	Monroe/State	12/10/2017	U	2,891
41090	Monroe/State	12/08/2017	W	10,231
41090	Monroe/State	12/26/2017	W	4,427
41090	Monroe/State	12/25/2017	U	770
41090	Monroe/State	12/09/2017	A	4,460
41090	Monroe/State	12/17/2017	U	2,939
41090	Monroe/State	12/01/2017	W	10,913
41090	Monroe/State	12/07/2017	W	11,207
41090	Monroe/State	01/28/2018	U	2,509
41090	Monroe/State	03/26/2018	W	10,177
41090	Monroe/State	03/09/2018	W	10,477
41090	Monroe/State	02/21/2018	W	11,081
41090	Monroe/State	01/01/2018	U	1,863
41090	Monroe/State	02/08/2018	W	10,944
41090	Monroe/State	01/24/2018	W	10,402
41090	Monroe/State	01/12/2018	W	9,384
41090	Monroe/State	01/14/2018	U	2,377
41090	Monroe/State	01/17/2018	W	10,407
41090	Monroe/State	02/14/2018	W	11,537
41090	Monroe/State	02/03/2018	A	3,697
41090	Monroe/State	03/08/2018	W	10,569
41090	Monroe/State	02/13/2018	W	11,294
41090	Monroe/State	03/18/2018	U	2,908
41090	Monroe/State	02/16/2018	W	10,386
41090	Monroe/State	03/14/2018	W	10,939
41090	Monroe/State	01/16/2018	W	10,141
41090	Monroe/State	01/23/2018	W	10,583
41090	Monroe/State	01/25/2018	W	10,922
41090	Monroe/State	01/29/2018	W	10,365
41090	Monroe/State	02/11/2018	U	2,366
41090	Monroe/State	03/23/2018	W	9,973
41090	Monroe/State	02/15/2018	W	10,635
41090	Monroe/State	03/04/2018	U	2,790
41090	Monroe/State	02/28/2018	W	10,567
41090	Monroe/State	01/26/2018	W	10,396
41090	Monroe/State	01/13/2018	A	3,087
41090	Monroe/State	02/04/2018	U	2,233
41090	Monroe/State	03/01/2018	W	10,520
41090	Monroe/State	03/28/2018	W	10,580
41090	Monroe/State	02/05/2018	W	10,681
41090	Monroe/State	03/15/2018	W	11,055
41090	Monroe/State	01/27/2018	A	3,859
41090	Monroe/State	01/22/2018	W	10,402
41090	Monroe/State	02/27/2018	W	10,661
41090	Monroe/State	01/08/2018	W	10,131
41090	Monroe/State	02/23/2018	W	10,394
41090	Monroe/State	03/25/2018	U	3,164
41090	Monroe/State	02/20/2018	W	10,387
41090	Monroe/State	03/31/2018	A	3,670
41090	Monroe/State	02/12/2018	W	10,534
41090	Monroe/State	02/06/2018	W	10,684
41090	Monroe/State	03/12/2018	W	10,677
41090	Monroe/State	01/31/2018	W	10,697
41090	Monroe/State	03/29/2018	W	10,472
41090	Monroe/State	02/17/2018	A	4,062
41090	Monroe/State	03/24/2018	A	3,779
41090	Monroe/State	03/03/2018	A	4,195
41090	Monroe/State	01/19/2018	W	10,257
41090	Monroe/State	01/05/2018	W	9,104
41090	Monroe/State	03/16/2018	W	10,377
41090	Monroe/State	02/09/2018	W	6,948
41090	Monroe/State	03/27/2018	W	10,469
41090	Monroe/State	02/07/2018	W	10,865
41090	Monroe/State	01/09/2018	W	10,129
41090	Monroe/State	03/22/2018	W	10,534
41090	Monroe/State	01/10/2018	W	10,152
41090	Monroe/State	03/17/2018	A	6,830
41090	Monroe/State	01/15/2018	W	5,590
41090	Monroe/State	02/19/2018	W	6,694
41090	Monroe/State	02/01/2018	W	10,880
41090	Monroe/State	01/07/2018	U	1,990
41090	Monroe/State	01/21/2018	U	2,377
41090	Monroe/State	01/03/2018	W	9,537
41090	Monroe/State	02/02/2018	W	9,946
41090	Monroe/State	02/26/2018	W	10,547
41090	Monroe/State	03/30/2018	W	8,804
41090	Monroe/State	03/11/2018	U	2,863
41090	Monroe/State	03/21/2018	W	10,478
41090	Monroe/State	03/05/2018	W	10,216
41090	Monroe/State	03/06/2018	W	10,620
41090	Monroe/State	03/02/2018	W	10,132
41090	Monroe/State	01/18/2018	W	10,419
41090	Monroe/State	01/30/2018	W	10,856
41090	Monroe/State	03/20/2018	W	10,477
41090	Monroe/State	02/24/2018	A	4,111
41090	Monroe/State	01/11/2018	W	10,301
41090	Monroe/State	02/18/2018	U	3,091
41090	Monroe/State	01/20/2018	A	7,385
41090	Monroe/State	01/04/2018	W	9,625
41090	Monroe/State	03/19/2018	W	10,619
41090	Monroe/State	02/10/2018	A	3,594
41090	Monroe/State	03/07/2018	W	10,767
41090	Monroe/State	01/02/2018	W	8,273
41090	Monroe/State	03/10/2018	A	4,214
41090	Monroe/State	02/22/2018	W	10,831
41090	Monroe/State	02/25/2018	U	2,907
41090	Monroe/State	01/06/2018	A	2,958
41090	Monroe/State	03/13/2018	W	10,869
41090	Monroe/State	06/12/2018	W	11,008
41090	Monroe/State	05/23/2018	W	11,269
41090	Monroe/State	05/26/2018	A	5,735
41090	Monroe/State	04/28/2018	A	4,464
41090	Monroe/State	06/07/2018	W	11,675
41090	Monroe/State	06/30/2018	A	5,951
41090	Monroe/State	05/29/2018	W	10,272
41090	Monroe/State	06/02/2018	A	4,188
41090	Monroe/State	05/02/2018	W	10,799
41090	Monroe/State	04/03/2018	W	10,696
41090	Monroe/State	04/21/2018	A	3,943
41090	Monroe/State	06/10/2018	U	3,115
41090	Monroe/State	06/13/2018	W	10,857
41090	Monroe/State	04/19/2018	W	10,738
41090	Monroe/State	05/24/2018	W	10,477
41090	Monroe/State	05/16/2018	W	10,475
41090	Monroe/State	06/06/2018	W	11,444
41090	Monroe/State	04/20/2018	W	10,306
41090	Monroe/State	04/11/2018	W	11,080
41090	Monroe/State	05/21/2018	W	9,906
41090	Monroe/State	05/20/2018	U	2,576
41090	Monroe/State	05/08/2018	W	11,598
41090	Monroe/State	06/11/2018	W	11,505
41090	Monroe/State	05/03/2018	W	10,485
41090	Monroe/State	04/14/2018	A	4,119
41090	Monroe/State	06/18/2018	W	11,110
41090	Monroe/State	05/31/2018	W	10,452
41090	Monroe/State	06/01/2018	W	10,725
41090	Monroe/State	04/13/2018	W	10,402
41090	Monroe/State	06/26/2018	W	10,667
41090	Monroe/State	05/15/2018	W	10,658
41090	Monroe/State	06/15/2018	W	10,379
41090	Monroe/State	04/26/2018	W	11,055
41090	Monroe/State	05/25/2018	W	10,159
41090	Monroe/State	04/24/2018	W	10,387
41090	Monroe/State	04/12/2018	W	10,953
41090	Monroe/State	06/23/2018	A	4,087
41090	Monroe/State	05/04/2018	W	10,060
41090	Monroe/State	04/04/2018	W	10,797
41090	Monroe/State	06/08/2018	W	11,156
41090	Monroe/State	06/03/2018	U	2,961
41090	Monroe/State	04/27/2018	W	10,711
41090	Monroe/State	04/30/2018	W	10,843
41090	Monroe/State	04/15/2018	U	2,555
41090	Monroe/State	06/28/2018	W	11,010
41090	Monroe/State	04/06/2018	W	10,547
41090	Monroe/State	05/19/2018	A	3,891
41090	Monroe/State	06/09/2018	A	4,845
41090	Monroe/State	04/17/2018	W	11,181
41090	Monroe/State	04/07/2018	A	4,398
41090	Monroe/State	05/11/2018	W	10,896
41090	Monroe/State	05/07/2018	W	10,864
41090	Monroe/State	06/27/2018	W	11,053
41090	Monroe/State	06/17/2018	U	3,073
41090	Monroe/State	06/05/2018	W	11,393
41090	Monroe/State	04/22/2018	U	2,828
41090	Monroe/State	06/21/2018	W	10,334
41090	Monroe/State	04/01/2018	U	2,102
41090	Monroe/State	05/06/2018	U	2,876
41090	Monroe/State	04/02/2018	W	10,172
41090	Monroe/State	06/29/2018	W	11,272
41090	Monroe/State	05/27/2018	U	3,892
41090	Monroe/State	04/29/2018	U	3,124
41090	Monroe/State	06/22/2018	W	10,037
41090	Monroe/State	05/22/2018	W	11,446
41090	Monroe/State	04/08/2018	U	2,665
41090	Monroe/State	06/25/2018	W	10,233
41090	Monroe/State	06/24/2018	U	4,722
41090	Monroe/State	06/14/2018	W	11,068
41090	Monroe/State	04/25/2018	W	10,646
41090	Monroe/State	04/10/2018	W	11,085
41090	Monroe/State	05/12/2018	A	4,222
41090	Monroe/State	05/09/2018	W	10,998
41090	Monroe/State	05/14/2018	W	10,139
41090	Monroe/State	06/16/2018	A	4,472
41090	Monroe/State	05/17/2018	W	10,545
41090	Monroe/State	04/16/2018	W	10,235
41090	Monroe/State	04/05/2018	W	11,253
41090	Monroe/State	06/20/2018	W	11,669
41090	Monroe/State	04/09/2018	W	10,437
41090	Monroe/State	05/01/2018	W	11,392
41090	Monroe/State	05/30/2018	W	10,451
41090	Monroe/State	05/05/2018	A	4,277
41090	Monroe/State	04/18/2018	W	10,543
41090	Monroe/State	05/18/2018	W	9,916
41090	Monroe/State	06/04/2018	W	10,482
41090	Monroe/State	06/19/2018	W	12,021
41090	Monroe/State	04/23/2018	W	10,342
41090	Monroe/State	05/13/2018	U	2,964
41090	Monroe/State	05/28/2018	U	2,817
41090	Monroe/State	05/10/2018	W	10,854
41090	Monroe/State	07/01/2018	U	3,263
41090	Monroe/State	07/02/2018	W	9,970
41090	Monroe/State	07/03/2018	W	10,696
41090	Monroe/State	07/04/2018	U	3,745
41090	Monroe/State	07/05/2018	W	9,078
41090	Monroe/State	07/06/2018	W	10,258
41090	Monroe/State	07/07/2018	A	4,841
41090	Monroe/State	07/08/2018	U	3,361
41090	Monroe/State	07/09/2018	W	10,559
41090	Monroe/State	07/10/2018	W	11,063
41090	Monroe/State	07/11/2018	W	11,445
41090	Monroe/State	07/12/2018	W	11,402
41090	Monroe/State	07/13/2018	W	11,651
41090	Monroe/State	07/14/2018	A	5,327
41090	Monroe/State	07/15/2018	U	3,956
41090	Monroe/State	07/16/2018	W	10,559
41090	Monroe/State	07/17/2018	W	10,829
41090	Monroe/State	07/18/2018	W	10,990
41090	Monroe/State	07/19/2018	W	11,908
41090	Monroe/State	07/20/2018	W	11,209
41090	Monroe/State	07/21/2018	A	5,584
41090	Monroe/State	07/22/2018	U	3,608
41090	Monroe/State	07/23/2018	W	11,297
41090	Monroe/State	07/24/2018	W	12,008
41090	Monroe/State	07/25/2018	W	11,538
41090	Monroe/State	07/26/2018	W	11,662
41090	Monroe/State	07/27/2018	W	10,462
41090	Monroe/State	07/28/2018	A	4,242
41090	Monroe/State	07/29/2018	U	2,354
41090	Monroe/State	07/30/2018	W	10,947
41090	Monroe/State	07/31/2018	W	11,045
41090	Monroe/State	08/01/2018	W	11,168
41090	Monroe/State	08/02/2018	W	14,174
41090	Monroe/State	08/03/2018	W	12,231
41090	Monroe/State	08/04/2018	A	6,438
41090	Monroe/State	08/05/2018	U	5,631
41090	Monroe/State	08/06/2018	W	10,525
41090	Monroe/State	08/07/2018	W	10,558
41090	Monroe/State	08/08/2018	W	10,841
41090	Monroe/State	08/09/2018	W	10,633
41090	Monroe/State	08/10/2018	W	11,601
41090	Monroe/State	08/11/2018	A	4,899
41090	Monroe/State	08/12/2018	U	3,528
41090	Monroe/State	08/13/2018	W	10,296
41090	Monroe/State	08/14/2018	W	11,300
41090	Monroe/State	08/15/2018	W	11,026
41090	Monroe/State	08/16/2018	W	10,417
41090	Monroe/State	08/17/2018	W	9,782
41090	Monroe/State	08/18/2018	A	4,571
41090	Monroe/State	08/19/2018	U	2,912
41090	Monroe/State	08/20/2018	W	10,640
41090	Monroe/State	08/21/2018	W	10,549
41090	Monroe/State	08/22/2018	W	10,371
41090	Monroe/State	08/23/2018	W	11,235
41090	Monroe/State	08/24/2018	W	10,126
41090	Monroe/State	08/25/2018	A	4,289
41090	Monroe/State	08/26/2018	U	3,449
41090	Monroe/State	08/27/2018	W	10,854
41090	Monroe/State	08/28/2018	W	11,463
41090	Monroe/State	08/29/2018	W	11,312
41090	Monroe/State	08/30/2018	W	10,952
41090	Monroe/State	08/31/2018	W	9,725
