"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41500	"Montrose-Brown"	"12/07/2017"	"W"	"2,966"
41500	"Montrose-Brown"	"12/23/2017"	"A"	"1,039"
41500	"Montrose-Brown"	"12/11/2017"	"W"	"2,781"
41500	"Montrose-Brown"	"12/01/2017"	"W"	"3,114"
41500	"Montrose-Brown"	"12/10/2017"	"U"	"1,109"
41500	"Montrose-Brown"	"12/27/2017"	"W"	"1,416"
41500	"Montrose-Brown"	"12/06/2017"	"W"	"2,905"
41500	"Montrose-Brown"	"12/05/2017"	"W"	"2,941"
41500	"Montrose-Brown"	"12/16/2017"	"A"	"1,601"
41500	"Montrose-Brown"	"12/19/2017"	"W"	"2,787"
41500	"Montrose-Brown"	"12/09/2017"	"A"	"1,595"
41500	"Montrose-Brown"	"12/30/2017"	"A"	"917"
41500	"Montrose-Brown"	"12/04/2017"	"W"	"2,858"
41500	"Montrose-Brown"	"12/20/2017"	"W"	"2,853"
41500	"Montrose-Brown"	"12/24/2017"	"U"	"563"
41500	"Montrose-Brown"	"12/28/2017"	"W"	"1,681"
41500	"Montrose-Brown"	"12/14/2017"	"W"	"2,897"
41500	"Montrose-Brown"	"12/26/2017"	"W"	"956"
41500	"Montrose-Brown"	"12/21/2017"	"W"	"2,607"
41500	"Montrose-Brown"	"12/08/2017"	"W"	"2,884"
41500	"Montrose-Brown"	"12/22/2017"	"W"	"2,094"
41500	"Montrose-Brown"	"12/15/2017"	"W"	"2,770"
41500	"Montrose-Brown"	"12/12/2017"	"W"	"2,905"
41500	"Montrose-Brown"	"12/29/2017"	"W"	"1,706"
41500	"Montrose-Brown"	"12/25/2017"	"U"	"245"
41500	"Montrose-Brown"	"12/17/2017"	"U"	"1,056"
41500	"Montrose-Brown"	"12/13/2017"	"W"	"2,979"
41500	"Montrose-Brown"	"12/31/2017"	"U"	"925"
41500	"Montrose-Brown"	"12/18/2017"	"W"	"2,713"
41500	"Montrose-Brown"	"12/02/2017"	"A"	"1,742"
41500	"Montrose-Brown"	"12/03/2017"	"U"	"1,132"
41500	"Montrose-Brown"	"02/25/2018"	"U"	"1,015"
41500	"Montrose-Brown"	"03/10/2018"	"A"	"1,648"
41500	"Montrose-Brown"	"03/18/2018"	"U"	"1,058"
41500	"Montrose-Brown"	"01/10/2018"	"W"	"2,877"
41500	"Montrose-Brown"	"01/11/2018"	"W"	"2,849"
41500	"Montrose-Brown"	"01/03/2018"	"W"	"2,415"
41500	"Montrose-Brown"	"01/04/2018"	"W"	"2,415"
41500	"Montrose-Brown"	"02/24/2018"	"A"	"1,350"
41500	"Montrose-Brown"	"03/12/2018"	"W"	"2,736"
41500	"Montrose-Brown"	"02/05/2018"	"W"	"2,614"
41500	"Montrose-Brown"	"03/11/2018"	"U"	"1,045"
41500	"Montrose-Brown"	"02/01/2018"	"W"	"2,840"
41500	"Montrose-Brown"	"03/07/2018"	"W"	"2,858"
41500	"Montrose-Brown"	"01/01/2018"	"U"	"531"
41500	"Montrose-Brown"	"01/15/2018"	"W"	"1,657"
41500	"Montrose-Brown"	"02/03/2018"	"A"	"1,335"
