ï..station_id	stationname	date	daytype	rides
41330	Montrose-O'Hare	12/21/2017	W	2,522
41330	Montrose-O'Hare	12/03/2017	U	1,052
41330	Montrose-O'Hare	12/13/2017	W	2,758
41330	Montrose-O'Hare	12/20/2017	W	2,567
41330	Montrose-O'Hare	12/10/2017	U	847
41330	Montrose-O'Hare	12/25/2017	U	513
41330	Montrose-O'Hare	12/15/2017	W	2,592
41330	Montrose-O'Hare	12/08/2017	W	2,701
41330	Montrose-O'Hare	12/16/2017	A	1,359
41330	Montrose-O'Hare	12/02/2017	A	1,435
41330	Montrose-O'Hare	12/31/2017	U	750
41330	Montrose-O'Hare	12/18/2017	W	2,533
41330	Montrose-O'Hare	12/23/2017	A	1,182
41330	Montrose-O'Hare	12/05/2017	W	2,781
41330	Montrose-O'Hare	12/17/2017	U	983
41330	Montrose-O'Hare	12/09/2017	A	1,353
41330	Montrose-O'Hare	12/29/2017	W	1,629
41330	Montrose-O'Hare	12/28/2017	W	1,714
41330	Montrose-O'Hare	12/22/2017	W	2,318
41330	Montrose-O'Hare	12/11/2017	W	2,709
41330	Montrose-O'Hare	12/01/2017	W	2,836
41330	Montrose-O'Hare	12/04/2017	W	2,820
41330	Montrose-O'Hare	12/30/2017	A	903
41330	Montrose-O'Hare	12/06/2017	W	2,872
41330	Montrose-O'Hare	12/27/2017	W	1,599
41330	Montrose-O'Hare	12/12/2017	W	2,681
41330	Montrose-O'Hare	12/14/2017	W	2,777
41330	Montrose-O'Hare	12/24/2017	U	826
41330	Montrose-O'Hare	12/26/2017	W	1,302
41330	Montrose-O'Hare	12/07/2017	W	2,935
41330	Montrose-O'Hare	12/19/2017	W	2,565
41330	Montrose-O'Hare	02/01/2018	W	2,660
41330	Montrose-O'Hare	03/23/2018	W	2,557
41330	Montrose-O'Hare	02/07/2018	W	2,760
41330	Montrose-O'Hare	03/17/2018	A	1,847
41330	Montrose-O'Hare	01/03/2018	W	2,178
41330	Montrose-O'Hare	03/04/2018	U	845
41330	Montrose-O'Hare	03/20/2018	W	2,747
41330	Montrose-O'Hare	03/18/2018	U	915
41330	Montrose-O'Hare	01/19/2018	W	2,531
41330	Montrose-O'Hare	02/28/2018	W	2,767
41330	Montrose-O'Hare	03/28/2018	W	2,535
