"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41510	"Morgan-Lake"	"12/22/2017"	"W"	"2,425"
41510	"Morgan-Lake"	"12/06/2017"	"W"	"3,045"
41510	"Morgan-Lake"	"12/02/2017"	"A"	"1,947"
41510	"Morgan-Lake"	"12/15/2017"	"W"	"2,978"
41510	"Morgan-Lake"	"12/23/2017"	"A"	"1,290"
41510	"Morgan-Lake"	"12/04/2017"	"W"	"2,777"
41510	"Morgan-Lake"	"12/03/2017"	"U"	"1,498"
41510	"Morgan-Lake"	"12/05/2017"	"W"	"2,876"
41510	"Morgan-Lake"	"12/17/2017"	"U"	"1,298"
41510	"Morgan-Lake"	"12/01/2017"	"W"	"3,336"
41510	"Morgan-Lake"	"12/29/2017"	"W"	"2,011"
41510	"Morgan-Lake"	"12/16/2017"	"A"	"1,689"
41510	"Morgan-Lake"	"12/28/2017"	"W"	"1,934"
41510	"Morgan-Lake"	"12/24/2017"	"U"	"522"
41510	"Morgan-Lake"	"12/26/2017"	"W"	"1,215"
41510	"Morgan-Lake"	"12/12/2017"	"W"	"2,900"
41510	"Morgan-Lake"	"12/11/2017"	"W"	"2,763"
41510	"Morgan-Lake"	"12/08/2017"	"W"	"3,081"
41510	"Morgan-Lake"	"12/27/2017"	"W"	"1,639"
41510	"Morgan-Lake"	"12/14/2017"	"W"	"3,012"
41510	"Morgan-Lake"	"12/20/2017"	"W"	"2,896"
41510	"Morgan-Lake"	"12/10/2017"	"U"	"1,450"
41510	"Morgan-Lake"	"12/25/2017"	"U"	"265"
41510	"Morgan-Lake"	"12/18/2017"	"W"	"2,779"
41510	"Morgan-Lake"	"12/09/2017"	"A"	"1,742"
41510	"Morgan-Lake"	"12/07/2017"	"W"	"2,928"
41510	"Morgan-Lake"	"12/30/2017"	"A"	"1,305"
41510	"Morgan-Lake"	"12/19/2017"	"W"	"2,831"
41510	"Morgan-Lake"	"12/13/2017"	"W"	"3,010"
41510	"Morgan-Lake"	"12/31/2017"	"U"	"847"
41510	"Morgan-Lake"	"12/21/2017"	"W"	"2,667"
41510	"Morgan-Lake"	"01/08/2018"	"W"	"2,536"
41510	"Morgan-Lake"	"03/18/2018"	"U"	"1,530"
41510	"Morgan-Lake"	"03/04/2018"	"U"	"1,423"
41510	"Morgan-Lake"	"03/29/2018"	"W"	"3,026"
41510	"Morgan-Lake"	"02/11/2018"	"U"	"1,339"
41510	"Morgan-Lake"	"03/03/2018"	"A"	"1,947"
41510	"Morgan-Lake"	"01/15/2018"	"W"	"1,971"
41510	"Morgan-Lake"	"01/04/2018"	"W"	"2,481"
41510	"Morgan-Lake"	"02/17/2018"	"A"	"1,733"
41510	"Morgan-Lake"	"02/24/2018"	"A"	"1,771"
41510	"Morgan-Lake"	"01/18/2018"	"W"	"2,844"
41510	"Morgan-Lake"	"01/14/2018"	"U"	"1,158"
41510	"Morgan-Lake"	"03/26/2018"	"W"	"2,863"
41510	"Morgan-Lake"	"01/13/2018"	"A"	"1,412"
41510	"Morgan-Lake"	"03/09/2018"	"W"	"3,065"
41510	"Morgan-Lake"	"02/10/2018"	"A"	"1,657"
41510	"Morgan-Lake"	"01/26/2018"	"W"	"3,072"
41510	"Morgan-Lake"	"01/24/2018"	"W"	"2,877"
41510	"Morgan-Lake"	"03/01/2018"	"W"	"2,994"
41510	"Morgan-Lake"	"03/24/2018"	"A"	"4,228"
41510	"Morgan-Lake"	"01/21/2018"	"U"	"1,207"
41510	"Morgan-Lake"	"01/29/2018"	"W"	"2,605"
41510	"Morgan-Lake"	"02/02/2018"	"W"	"2,824"
41510	"Morgan-Lake"	"01/20/2018"	"A"	"1,995"
41510	"Morgan-Lake"	"02/12/2018"	"W"	"2,770"
41510	"Morgan-Lake"	"02/03/2018"	"A"	"1,607"
41510	"Morgan-Lake"	"01/06/2018"	"A"	"1,375"
41510	"Morgan-Lake"	"01/25/2018"	"W"	"2,999"
41510	"Morgan-Lake"	"02/07/2018"	"W"	"2,973"
41510	"Morgan-Lake"	"03/21/2018"	"W"	"3,251"
41510	"Morgan-Lake"	"01/31/2018"	"W"	"2,918"
41510	"Morgan-Lake"	"03/16/2018"	"W"	"3,465"
41510	"Morgan-Lake"	"02/16/2018"	"W"	"3,156"
41510	"Morgan-Lake"	"03/08/2018"	"W"	"3,165"
41510	"Morgan-Lake"	"03/22/2018"	"W"	"3,047"
41510	"Morgan-Lake"	"02/01/2018"	"W"	"2,896"
41510	"Morgan-Lake"	"03/17/2018"	"A"	"2,490"
41510	"Morgan-Lake"	"02/18/2018"	"U"	"1,462"
41510	"Morgan-Lake"	"03/23/2018"	"W"	"3,142"
41510	"Morgan-Lake"	"01/05/2018"	"W"	"2,464"
41510	"Morgan-Lake"	"03/19/2018"	"W"	"3,001"
41510	"Morgan-Lake"	"02/23/2018"	"W"	"3,099"
41510	"Morgan-Lake"	"02/13/2018"	"W"	"3,094"
41510	"Morgan-Lake"	"01/28/2018"	"U"	"1,368"
41510	"Morgan-Lake"	"03/13/2018"	"W"	"3,076"
41510	"Morgan-Lake"	"02/14/2018"	"W"	"3,127"
41510	"Morgan-Lake"	"01/10/2018"	"W"	"2,848"
41510	"Morgan-Lake"	"01/30/2018"	"W"	"2,822"
