ï..station_id	stationname	date	daytype	rides
40100	Morse	12/31/2017	U	2,486
40100	Morse	12/06/2017	W	4,575
40100	Morse	12/10/2017	U	2,526
40100	Morse	12/22/2017	W	3,760
40100	Morse	12/28/2017	W	3,146
40100	Morse	12/18/2017	W	4,058
40100	Morse	12/07/2017	W	4,645
40100	Morse	12/02/2017	A	3,655
40100	Morse	12/23/2017	A	2,535
40100	Morse	12/16/2017	A	3,393
40100	Morse	12/25/2017	U	1,053
40100	Morse	12/29/2017	W	3,223
40100	Morse	12/20/2017	W	4,201
40100	Morse	12/14/2017	W	4,653
40100	Morse	12/19/2017	W	4,307
40100	Morse	12/05/2017	W	4,685
40100	Morse	12/04/2017	W	4,590
40100	Morse	12/03/2017	U	2,803
40100	Morse	12/27/2017	W	2,802
40100	Morse	12/11/2017	W	4,256
40100	Morse	12/08/2017	W	4,680
40100	Morse	12/09/2017	A	3,291
40100	Morse	12/30/2017	A	2,378
40100	Morse	12/15/2017	W	4,577
40100	Morse	12/24/2017	U	1,883
40100	Morse	12/01/2017	W	4,881
40100	Morse	12/13/2017	W	4,593
40100	Morse	12/12/2017	W	4,491
40100	Morse	12/17/2017	U	2,565
40100	Morse	12/26/2017	W	2,201
40100	Morse	12/21/2017	W	4,194
40100	Morse	02/27/2018	W	4,666
40100	Morse	02/06/2018	W	4,525
40100	Morse	02/28/2018	W	4,584
40100	Morse	03/21/2018	W	4,521
40100	Morse	03/08/2018	W	4,632
40100	Morse	02/10/2018	A	3,194
40100	Morse	01/28/2018	U	2,389
40100	Morse	01/13/2018	A	2,839
40100	Morse	02/04/2018	U	2,334
40100	Morse	01/21/2018	U	2,418
40100	Morse	02/18/2018	U	2,636
40100	Morse	02/03/2018	A	3,057
40100	Morse	03/24/2018	A	3,139
40100	Morse	01/11/2018	W	4,384
40100	Morse	01/09/2018	W	4,236
40100	Morse	03/31/2018	A	3,023
40100	Morse	02/07/2018	W	4,533
40100	Morse	01/20/2018	A	3,491
40100	Morse	03/02/2018	W	4,681
40100	Morse	02/08/2018	W	4,681
40100	Morse	03/26/2018	W	4,016
40100	Morse	01/19/2018	W	4,649
40100	Morse	01/29/2018	W	4,318
40100	Morse	03/03/2018	A	3,158
40100	Morse	02/22/2018	W	4,714
40100	Morse	03/25/2018	U	2,522
40100	Morse	01/27/2018	A	3,161
40100	Morse	03/12/2018	W	4,470
40100	Morse	01/25/2018	W	4,768
40100	Morse	03/04/2018	U	2,548
40100	Morse	01/08/2018	W	4,169
40100	Morse	01/06/2018	A	2,655
40100	Morse	01/02/2018	W	3,319
40100	Morse	02/05/2018	W	4,192
40100	Morse	02/20/2018	W	4,519
40100	Morse	02/25/2018	U	2,561
40100	Morse	01/16/2018	W	4,560
40100	Morse	03/14/2018	W	4,712
40100	Morse	03/18/2018	U	2,707
40100	Morse	03/10/2018	A	3,343
40100	Morse	03/16/2018	W	4,664
40100	Morse	02/17/2018	A	3,216
40100	Morse	03/09/2018	W	4,647
40100	Morse	03/13/2018	W	4,465
40100	Morse	02/13/2018	W	4,609
40100	Morse	03/05/2018	W	4,294
40100	Morse	03/22/2018	W	4,658
40100	Morse	02/12/2018	W	4,392
40100	Morse	01/04/2018	W	3,723
40100	Morse	03/07/2018	W	4,536
40100	Morse	02/26/2018	W	4,495
40100	Morse	01/24/2018	W	4,705
40100	Morse	03/19/2018	W	4,309
40100	Morse	01/22/2018	W	4,547
40100	Morse	02/15/2018	W	4,769
40100	Morse	03/15/2018	W	4,738
40100	Morse	01/10/2018	W	4,340
40100	Morse	02/09/2018	W	3,863
40100	Morse	01/01/2018	U	1,643
40100	Morse	01/18/2018	W	4,687
40100	Morse	02/19/2018	W	3,620
40100	Morse	02/01/2018	W	4,630
40100	Morse	03/17/2018	A	3,937
40100	Morse	03/06/2018	W	4,379
40100	Morse	01/23/2018	W	4,628
40100	Morse	01/03/2018	W	3,641
40100	Morse	03/11/2018	U	2,488
40100	Morse	01/31/2018	W	4,519
40100	Morse	01/30/2018	W	4,589
40100	Morse	01/05/2018	W	3,796
40100	Morse	03/30/2018	W	4,037
40100	Morse	03/20/2018	W	4,508
40100	Morse	02/16/2018	W	4,617
40100	Morse	03/28/2018	W	4,223
40100	Morse	02/11/2018	U	2,528
40100	Morse	01/07/2018	U	2,184
40100	Morse	03/27/2018	W	4,253
40100	Morse	01/14/2018	U	2,359
40100	Morse	03/29/2018	W	4,398
40100	Morse	02/14/2018	W	4,716
40100	Morse	01/15/2018	W	3,062
40100	Morse	02/21/2018	W	4,683
40100	Morse	01/17/2018	W	4,477
40100	Morse	02/23/2018	W	4,660
40100	Morse	01/26/2018	W	4,618
40100	Morse	03/23/2018	W	4,490
40100	Morse	03/01/2018	W	4,694
40100	Morse	02/02/2018	W	4,319
40100	Morse	02/24/2018	A	3,245
40100	Morse	01/12/2018	W	3,770
40100	Morse	04/15/2018	U	2,192
40100	Morse	06/06/2018	W	4,680
40100	Morse	05/10/2018	W	4,715
40100	Morse	06/19/2018	W	4,533
40100	Morse	05/11/2018	W	4,642
40100	Morse	05/30/2018	W	4,553
40100	Morse	06/07/2018	W	4,729
40100	Morse	04/05/2018	W	4,636
40100	Morse	04/24/2018	W	4,422
40100	Morse	04/08/2018	U	2,503
40100	Morse	05/12/2018	A	3,101
40100	Morse	04/30/2018	W	4,348
40100	Morse	06/23/2018	A	3,568
40100	Morse	04/10/2018	W	4,541
40100	Morse	05/16/2018	W	4,568
40100	Morse	05/29/2018	W	4,442
40100	Morse	05/21/2018	W	4,148
40100	Morse	04/17/2018	W	4,406
40100	Morse	06/18/2018	W	4,416
40100	Morse	06/12/2018	W	4,633
40100	Morse	05/08/2018	W	4,700
40100	Morse	05/15/2018	W	4,409
40100	Morse	04/11/2018	W	4,686
40100	Morse	06/21/2018	W	4,420
40100	Morse	05/27/2018	U	3,012
40100	Morse	04/14/2018	A	2,989
40100	Morse	04/07/2018	A	3,242
40100	Morse	05/07/2018	W	4,520
40100	Morse	04/27/2018	W	4,546
40100	Morse	06/01/2018	W	4,789
40100	Morse	06/08/2018	W	4,664
40100	Morse	05/19/2018	A	3,216
40100	Morse	04/12/2018	W	4,762
40100	Morse	06/20/2018	W	4,639
40100	Morse	05/18/2018	W	4,361
40100	Morse	05/23/2018	W	4,695
40100	Morse	05/03/2018	W	4,549
40100	Morse	06/29/2018	W	4,605
40100	Morse	06/27/2018	W	4,614
40100	Morse	06/02/2018	A	3,354
40100	Morse	06/22/2018	W	4,487
40100	Morse	06/17/2018	U	2,842
40100	Morse	05/01/2018	W	4,521
40100	Morse	05/20/2018	U	2,382
40100	Morse	04/25/2018	W	4,475
40100	Morse	05/14/2018	W	4,236
40100	Morse	06/15/2018	W	4,705
40100	Morse	04/06/2018	W	4,608
40100	Morse	06/10/2018	U	2,764
40100	Morse	05/02/2018	W	4,484
40100	Morse	05/26/2018	A	3,353
40100	Morse	06/30/2018	A	3,565
40100	Morse	05/31/2018	W	4,675
40100	Morse	04/29/2018	U	2,553
40100	Morse	06/16/2018	A	3,599
40100	Morse	04/19/2018	W	4,539
40100	Morse	06/03/2018	U	2,835
40100	Morse	06/13/2018	W	4,696
40100	Morse	05/28/2018	U	2,598
40100	Morse	04/20/2018	W	4,536
40100	Morse	06/09/2018	A	3,521
40100	Morse	04/03/2018	W	4,500
40100	Morse	04/09/2018	W	4,451
40100	Morse	05/09/2018	W	4,535
40100	Morse	05/13/2018	U	2,482
40100	Morse	04/02/2018	W	4,205
40100	Morse	05/24/2018	W	4,662
40100	Morse	05/22/2018	W	4,583
