"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40650	"North/Clybourn"	"12/01/2017"	"W"	"6,229"
40650	"North/Clybourn"	"12/07/2017"	"W"	"5,708"
40650	"North/Clybourn"	"12/03/2017"	"U"	"3,883"
40650	"North/Clybourn"	"12/26/2017"	"W"	"2,704"
40650	"North/Clybourn"	"12/04/2017"	"W"	"5,622"
40650	"North/Clybourn"	"12/08/2017"	"W"	"5,883"
40650	"North/Clybourn"	"12/15/2017"	"W"	"6,201"
40650	"North/Clybourn"	"12/22/2017"	"W"	"5,387"
40650	"North/Clybourn"	"12/19/2017"	"W"	"5,823"
40650	"North/Clybourn"	"12/17/2017"	"U"	"4,158"
40650	"North/Clybourn"	"12/18/2017"	"W"	"5,605"
40650	"North/Clybourn"	"12/02/2017"	"A"	"5,094"
40650	"North/Clybourn"	"12/13/2017"	"W"	"5,846"
40650	"North/Clybourn"	"12/31/2017"	"U"	"2,609"
40650	"North/Clybourn"	"12/24/2017"	"U"	"1,902"
40650	"North/Clybourn"	"12/05/2017"	"W"	"5,614"
40650	"North/Clybourn"	"12/09/2017"	"A"	"4,731"
40650	"North/Clybourn"	"12/20/2017"	"W"	"5,893"
40650	"North/Clybourn"	"12/29/2017"	"W"	"4,290"
40650	"North/Clybourn"	"12/28/2017"	"W"	"3,898"
40650	"North/Clybourn"	"12/25/2017"	"U"	"683"
40650	"North/Clybourn"	"12/23/2017"	"A"	"3,540"
40650	"North/Clybourn"	"12/10/2017"	"U"	"3,632"
40650	"North/Clybourn"	"12/14/2017"	"W"	"6,118"
40650	"North/Clybourn"	"12/11/2017"	"W"	"5,666"
40650	"North/Clybourn"	"12/12/2017"	"W"	"5,496"
40650	"North/Clybourn"	"12/21/2017"	"W"	"5,807"
40650	"North/Clybourn"	"12/27/2017"	"W"	"3,437"
40650	"North/Clybourn"	"12/06/2017"	"W"	"5,878"
40650	"North/Clybourn"	"12/30/2017"	"A"	"3,514"
40650	"North/Clybourn"	"12/16/2017"	"A"	"5,657"
40650	"North/Clybourn"	"01/19/2018"	"W"	"5,835"
40650	"North/Clybourn"	"03/28/2018"	"W"	"5,320"
40650	"North/Clybourn"	"03/12/2018"	"W"	"5,461"
40650	"North/Clybourn"	"02/18/2018"	"U"	"4,001"
40650	"North/Clybourn"	"03/08/2018"	"W"	"5,720"
40650	"North/Clybourn"	"03/06/2018"	"W"	"5,495"
40650	"North/Clybourn"	"03/01/2018"	"W"	"5,604"
40650	"North/Clybourn"	"01/30/2018"	"W"	"5,486"
40650	"North/Clybourn"	"02/20/2018"	"W"	"5,365"
