"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41350	"Oak Park-Lake"	"12/21/2017"	"W"	"1,532"
41350	"Oak Park-Lake"	"12/12/2017"	"W"	"1,558"
41350	"Oak Park-Lake"	"12/26/2017"	"W"	"631"
41350	"Oak Park-Lake"	"12/24/2017"	"U"	"342"
41350	"Oak Park-Lake"	"12/17/2017"	"U"	"490"
41350	"Oak Park-Lake"	"12/20/2017"	"W"	"1,547"
41350	"Oak Park-Lake"	"12/05/2017"	"W"	"1,570"
41350	"Oak Park-Lake"	"12/13/2017"	"W"	"1,607"
41350	"Oak Park-Lake"	"12/11/2017"	"W"	"1,504"
41350	"Oak Park-Lake"	"12/10/2017"	"U"	"504"
41350	"Oak Park-Lake"	"12/31/2017"	"U"	"418"
41350	"Oak Park-Lake"	"12/06/2017"	"W"	"1,599"
41350	"Oak Park-Lake"	"12/29/2017"	"W"	"1,001"
41350	"Oak Park-Lake"	"12/07/2017"	"W"	"1,638"
41350	"Oak Park-Lake"	"12/02/2017"	"A"	"769"
41350	"Oak Park-Lake"	"12/08/2017"	"W"	"1,583"
41350	"Oak Park-Lake"	"12/23/2017"	"A"	"600"
41350	"Oak Park-Lake"	"12/03/2017"	"U"	"549"
41350	"Oak Park-Lake"	"12/19/2017"	"W"	"1,620"
41350	"Oak Park-Lake"	"12/09/2017"	"A"	"790"
41350	"Oak Park-Lake"	"12/15/2017"	"W"	"1,541"
41350	"Oak Park-Lake"	"12/14/2017"	"W"	"1,658"
41350	"Oak Park-Lake"	"12/18/2017"	"W"	"1,540"
41350	"Oak Park-Lake"	"12/01/2017"	"W"	"1,598"
41350	"Oak Park-Lake"	"12/28/2017"	"W"	"980"
41350	"Oak Park-Lake"	"12/04/2017"	"W"	"1,626"
41350	"Oak Park-Lake"	"12/22/2017"	"W"	"1,249"
41350	"Oak Park-Lake"	"12/25/2017"	"U"	"156"
41350	"Oak Park-Lake"	"12/27/2017"	"W"	"883"
41350	"Oak Park-Lake"	"12/30/2017"	"A"	"420"
41350	"Oak Park-Lake"	"12/16/2017"	"A"	"752"
41350	"Oak Park-Lake"	"02/07/2018"	"W"	"1,570"
41350	"Oak Park-Lake"	"02/20/2018"	"W"	"1,485"
41350	"Oak Park-Lake"	"03/28/2018"	"W"	"1,535"
41350	"Oak Park-Lake"	"01/03/2018"	"W"	"1,267"
41350	"Oak Park-Lake"	"01/09/2018"	"W"	"1,509"
41350	"Oak Park-Lake"	"03/06/2018"	"W"	"1,485"
41350	"Oak Park-Lake"	"01/21/2018"	"U"	"407"
41350	"Oak Park-Lake"	"01/27/2018"	"A"	"723"
41350	"Oak Park-Lake"	"02/09/2018"	"W"	"990"
41350	"Oak Park-Lake"	"03/21/2018"	"W"	"1,633"
41350	"Oak Park-Lake"	"02/08/2018"	"W"	"1,512"
41350	"Oak Park-Lake"	"03/31/2018"	"A"	"621"
41350	"Oak Park-Lake"	"02/15/2018"	"W"	"1,575"
41350	"Oak Park-Lake"	"03/17/2018"	"A"	"1,238"
41350	"Oak Park-Lake"	"01/16/2018"	"W"	"1,584"
41350	"Oak Park-Lake"	"01/18/2018"	"W"	"1,547"
41350	"Oak Park-Lake"	"03/19/2018"	"W"	"1,461"
41350	"Oak Park-Lake"	"03/08/2018"	"W"	"1,584"
41350	"Oak Park-Lake"	"03/24/2018"	"A"	"1,276"
41350	"Oak Park-Lake"	"01/31/2018"	"W"	"1,540"
41350	"Oak Park-Lake"	"01/15/2018"	"W"	"806"
