"ï..station_id","stationname","date","daytype","rides"
41310,"Paulina","12/10/2017","U","1,001"
41310,"Paulina","12/13/2017","W","2,805"
41310,"Paulina","12/08/2017","W","2,858"
41310,"Paulina","12/21/2017","W","2,616"
41310,"Paulina","12/24/2017","U","513"
41310,"Paulina","12/31/2017","U","800"
41310,"Paulina","12/28/2017","W","1,583"
41310,"Paulina","12/20/2017","W","2,760"
41310,"Paulina","12/12/2017","W","2,825"
41310,"Paulina","12/02/2017","A","1,897"
41310,"Paulina","12/06/2017","W","2,842"
41310,"Paulina","12/23/2017","A","1,066"
41310,"Paulina","12/25/2017","U","205"
41310,"Paulina","12/29/2017","W","1,649"
41310,"Paulina","12/18/2017","W","2,677"
41310,"Paulina","12/09/2017","A","1,622"
41310,"Paulina","12/27/2017","W","1,364"
41310,"Paulina","12/15/2017","W","2,724"
41310,"Paulina","12/03/2017","U","1,085"
41310,"Paulina","12/17/2017","U","997"
41310,"Paulina","12/26/2017","W","904"
41310,"Paulina","12/07/2017","W","2,805"
41310,"Paulina","12/30/2017","A","945"
41310,"Paulina","12/01/2017","W","3,031"
41310,"Paulina","12/11/2017","W","2,755"
41310,"Paulina","12/14/2017","W","2,781"
41310,"Paulina","12/05/2017","W","2,875"
41310,"Paulina","12/22/2017","W","2,083"
41310,"Paulina","12/16/2017","A","1,624"
41310,"Paulina","12/19/2017","W","2,863"
41310,"Paulina","12/04/2017","W","2,871"
41310,"Paulina","03/22/2018","W","2,785"
41310,"Paulina","01/20/2018","A","1,855"
41310,"Paulina","01/22/2018","W","2,662"
41310,"Paulina","02/23/2018","W","2,824"
41310,"Paulina","01/26/2018","W","2,745"
41310,"Paulina","02/19/2018","W","1,970"
41310,"Paulina","03/27/2018","W","2,697"
41310,"Paulina","01/25/2018","W","2,899"
41310,"Paulina","03/11/2018","U","979"
41310,"Paulina","03/25/2018","U","989"
41310,"Paulina","03/07/2018","W","2,904"
41310,"Paulina","02/06/2018","W","2,796"
41310,"Paulina","01/15/2018","W","1,792"
41310,"Paulina","03/06/2018","W","2,871"
41310,"Paulina","02/18/2018","U","1,035"
41310,"Paulina","01/03/2018","W","2,471"
41310,"Paulina","03/19/2018","W","2,738"
41310,"Paulina","01/06/2018","A","1,192"
41310,"Paulina","03/31/2018","A","1,230"
41310,"Paulina","01/17/2018","W","2,839"
41310,"Paulina","01/05/2018","W","2,290"
41310,"Paulina","01/01/2018","U","595"
41310,"Paulina","03/14/2018","W","2,960"
41310,"Paulina","03/20/2018","W","2,792"
41310,"Paulina","01/31/2018","W","2,913"
41310,"Paulina","02/09/2018","W","2,016"
41310,"Paulina","01/14/2018","U","840"
41310,"Paulina","02/07/2018","W","2,837"
41310,"Paulina","03/02/2018","W","2,816"
41310,"Paulina","02/11/2018","U","1,017"
41310,"Paulina","01/08/2018","W","2,622"
41310,"Paulina","02/04/2018","U","880"
41310,"Paulina","02/05/2018","W","2,564"
41310,"Paulina","02/21/2018","W","2,904"
41310,"Paulina","03/01/2018","W","2,801"
41310,"Paulina","02/20/2018","W","2,710"
41310,"Paulina","03/23/2018","W","2,606"
41310,"Paulina","01/13/2018","A","1,222"
41310,"Paulina","02/22/2018","W","2,991"
41310,"Paulina","02/08/2018","W","2,805"
41310,"Paulina","03/08/2018","W","2,894"
41310,"Paulina","03/17/2018","A","2,510"
41310,"Paulina","03/12/2018","W","2,712"
41310,"Paulina","01/12/2018","W","2,617"
41310,"Paulina","03/29/2018","W","2,658"
41310,"Paulina","03/15/2018","W","2,923"
41310,"Paulina","03/28/2018","W","2,721"
41310,"Paulina","02/12/2018","W","2,850"
41310,"Paulina","02/01/2018","W","2,724"
41310,"Paulina","01/04/2018","W","2,448"
41310,"Paulina","01/21/2018","U","918"
41310,"Paulina","02/16/2018","W","2,731"
41310,"Paulina","02/10/2018","A","1,578"
41310,"Paulina","03/24/2018","A","1,363"
41310,"Paulina","01/30/2018","W","2,792"
41310,"Paulina","01/28/2018","U","926"
41310,"Paulina","03/05/2018","W","2,700"
41310,"Paulina","03/16/2018","W","2,801"
41310,"Paulina","03/26/2018","W","2,625"
41310,"Paulina","02/27/2018","W","2,942"
41310,"Paulina","02/15/2018","W","2,979"
41310,"Paulina","02/28/2018","W","2,901"
41310,"Paulina","02/13/2018","W","3,101"
41310,"Paulina","01/19/2018","W","2,806"
41310,"Paulina","02/17/2018","A","1,425"
41310,"Paulina","03/13/2018","W","2,911"
41310,"Paulina","01/16/2018","W","2,841"
41310,"Paulina","03/21/2018","W","2,809"
41310,"Paulina","02/26/2018","W","2,739"
41310,"Paulina","01/09/2018","W","2,780"
41310,"Paulina","02/25/2018","U","1,022"
41310,"Paulina","01/11/2018","W","2,826"
41310,"Paulina","01/02/2018","W","1,987"
41310,"Paulina","01/18/2018","W","2,812"
41310,"Paulina","02/14/2018","W","2,983"
41310,"Paulina","01/23/2018","W","2,862"
41310,"Paulina","03/30/2018","W","2,254"
41310,"Paulina","01/24/2018","W","2,920"
41310,"Paulina","03/04/2018","U","1,041"
41310,"Paulina","02/24/2018","A","1,451"
41310,"Paulina","01/27/2018","A","1,506"
41310,"Paulina","02/02/2018","W","2,422"
41310,"Paulina","01/07/2018","U","793"
41310,"Paulina","03/10/2018","A","1,610"
41310,"Paulina","03/18/2018","U","1,048"
41310,"Paulina","03/03/2018","A","1,544"
41310,"Paulina","03/09/2018","W","2,707"
41310,"Paulina","01/10/2018","W","2,875"
41310,"Paulina","02/03/2018","A","1,354"
41310,"Paulina","01/29/2018","W","2,670"
41310,"Paulina","06/30/2018","A","1,552"
41310,"Paulina","05/01/2018","W","2,905"
41310,"Paulina","04/29/2018","U","1,009"
41310,"Paulina","05/16/2018","W","2,993"
41310,"Paulina","06/08/2018","W","2,908"
41310,"Paulina","06/12/2018","W","3,018"
41310,"Paulina","04/28/2018","A","1,544"
41310,"Paulina","05/06/2018","U","1,001"
41310,"Paulina","04/12/2018","W","2,905"
41310,"Paulina","06/06/2018","W","3,100"
41310,"Paulina","05/21/2018","W","2,466"
41310,"Paulina","05/11/2018","W","2,829"
41310,"Paulina","05/27/2018","U","1,183"
41310,"Paulina","06/22/2018","W","2,633"
41310,"Paulina","05/02/2018","W","2,868"
41310,"Paulina","06/04/2018","W","2,938"
41310,"Paulina","06/13/2018","W","3,085"
41310,"Paulina","06/19/2018","W","2,975"
41310,"Paulina","05/04/2018","W","2,708"
41310,"Paulina","04/04/2018","W","2,883"
41310,"Paulina","06/25/2018","W","2,814"
