"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41030	"Polk"	"12/23/2017"	"A"	"510"
41030	"Polk"	"12/07/2017"	"W"	"3,358"
41030	"Polk"	"12/17/2017"	"U"	"496"
41030	"Polk"	"12/29/2017"	"W"	"1,485"
41030	"Polk"	"12/08/2017"	"W"	"3,222"
41030	"Polk"	"12/09/2017"	"A"	"718"
41030	"Polk"	"12/30/2017"	"A"	"411"
41030	"Polk"	"12/06/2017"	"W"	"3,644"
41030	"Polk"	"12/18/2017"	"W"	"3,017"
41030	"Polk"	"12/16/2017"	"A"	"732"
41030	"Polk"	"12/04/2017"	"W"	"3,623"
41030	"Polk"	"12/15/2017"	"W"	"2,825"
41030	"Polk"	"12/12/2017"	"W"	"3,438"
41030	"Polk"	"12/31/2017"	"U"	"355"
41030	"Polk"	"12/25/2017"	"U"	"277"
41030	"Polk"	"12/05/2017"	"W"	"3,585"
41030	"Polk"	"12/13/2017"	"W"	"3,346"
41030	"Polk"	"12/21/2017"	"W"	"2,650"
41030	"Polk"	"12/03/2017"	"U"	"582"
41030	"Polk"	"12/02/2017"	"A"	"771"
41030	"Polk"	"12/11/2017"	"W"	"3,445"
41030	"Polk"	"12/10/2017"	"U"	"530"
41030	"Polk"	"12/27/2017"	"W"	"1,381"
41030	"Polk"	"12/14/2017"	"W"	"3,234"
41030	"Polk"	"12/22/2017"	"W"	"2,111"
41030	"Polk"	"12/01/2017"	"W"	"3,439"
41030	"Polk"	"12/26/2017"	"W"	"1,013"
41030	"Polk"	"12/28/2017"	"W"	"1,517"
41030	"Polk"	"12/19/2017"	"W"	"2,978"
41030	"Polk"	"12/24/2017"	"U"	"327"
41030	"Polk"	"12/20/2017"	"W"	"2,846"
41030	"Polk"	"02/21/2018"	"W"	"3,382"
41030	"Polk"	"01/19/2018"	"W"	"3,197"
41030	"Polk"	"03/07/2018"	"W"	"3,393"
41030	"Polk"	"03/25/2018"	"U"	"477"
41030	"Polk"	"02/02/2018"	"W"	"2,994"
41030	"Polk"	"03/04/2018"	"U"	"530"
41030	"Polk"	"03/09/2018"	"W"	"3,149"
41030	"Polk"	"03/11/2018"	"U"	"451"
41030	"Polk"	"02/16/2018"	"W"	"3,257"
41030	"Polk"	"03/05/2018"	"W"	"3,262"
41030	"Polk"	"03/18/2018"	"U"	"529"
41030	"Polk"	"03/20/2018"	"W"	"3,361"
41030	"Polk"	"02/27/2018"	"W"	"3,424"
41030	"Polk"	"02/22/2018"	"W"	"3,351"
41030	"Polk"	"01/26/2018"	"W"	"3,209"
41030	"Polk"	"01/04/2018"	"W"	"2,493"
