"ï..station_id","stationname","date","daytype","rides"
40960,"Pulaski-Orange","12/20/2017","W","5,037"
40960,"Pulaski-Orange","12/25/2017","U","528"
40960,"Pulaski-Orange","12/30/2017","A","1,507"
40960,"Pulaski-Orange","12/05/2017","W","5,591"
40960,"Pulaski-Orange","12/27/2017","W","2,923"
40960,"Pulaski-Orange","12/18/2017","W","4,829"
40960,"Pulaski-Orange","12/26/2017","W","2,573"
40960,"Pulaski-Orange","12/24/2017","U","1,163"
40960,"Pulaski-Orange","12/11/2017","W","5,206"
40960,"Pulaski-Orange","12/29/2017","W","3,033"
40960,"Pulaski-Orange","12/28/2017","W","3,084"
40960,"Pulaski-Orange","12/17/2017","U","1,505"
40960,"Pulaski-Orange","12/07/2017","W","5,611"
40960,"Pulaski-Orange","12/22/2017","W","4,606"
40960,"Pulaski-Orange","12/15/2017","W","4,963"
40960,"Pulaski-Orange","12/16/2017","A","2,380"
40960,"Pulaski-Orange","12/06/2017","W","5,692"
40960,"Pulaski-Orange","12/10/2017","U","1,491"
40960,"Pulaski-Orange","12/03/2017","U","2,031"
40960,"Pulaski-Orange","12/14/2017","W","5,228"
40960,"Pulaski-Orange","12/31/2017","U","1,213"
40960,"Pulaski-Orange","12/21/2017","W","4,927"
40960,"Pulaski-Orange","12/02/2017","A","2,885"
40960,"Pulaski-Orange","12/08/2017","W","5,309"
40960,"Pulaski-Orange","12/13/2017","W","5,290"
40960,"Pulaski-Orange","12/04/2017","W","5,562"
40960,"Pulaski-Orange","12/12/2017","W","5,169"
40960,"Pulaski-Orange","12/23/2017","A","2,103"
40960,"Pulaski-Orange","12/01/2017","W","5,689"
40960,"Pulaski-Orange","12/09/2017","A","2,193"
40960,"Pulaski-Orange","12/19/2017","W","5,123"
40960,"Pulaski-Orange","02/20/2018","W","5,289"
40960,"Pulaski-Orange","03/07/2018","W","5,322"
40960,"Pulaski-Orange","02/01/2018","W","5,299"
40960,"Pulaski-Orange","02/15/2018","W","5,351"
40960,"Pulaski-Orange","03/28/2018","W","4,563"
40960,"Pulaski-Orange","03/29/2018","W","4,192"
40960,"Pulaski-Orange","03/26/2018","W","4,167"
40960,"Pulaski-Orange","03/31/2018","A","1,720"
40960,"Pulaski-Orange","02/21/2018","W","5,460"
40960,"Pulaski-Orange","01/03/2018","W","3,383"
40960,"Pulaski-Orange","01/23/2018","W","5,304"
40960,"Pulaski-Orange","01/13/2018","A","1,767"
40960,"Pulaski-Orange","01/09/2018","W","4,767"
40960,"Pulaski-Orange","02/03/2018","A","1,800"
40960,"Pulaski-Orange","03/10/2018","A","2,238"
40960,"Pulaski-Orange","03/14/2018","W","5,455"
40960,"Pulaski-Orange","02/24/2018","A","2,066"
40960,"Pulaski-Orange","03/12/2018","W","5,151"
40960,"Pulaski-Orange","01/24/2018","W","5,292"
40960,"Pulaski-Orange","03/16/2018","W","5,117"
40960,"Pulaski-Orange","01/31/2018","W","5,324"
40960,"Pulaski-Orange","02/11/2018","U","1,148"
40960,"Pulaski-Orange","01/07/2018","U","1,080"
40960,"Pulaski-Orange","02/06/2018","W","5,007"
40960,"Pulaski-Orange","03/13/2018","W","5,305"
40960,"Pulaski-Orange","02/09/2018","W","2,701"
40960,"Pulaski-Orange","01/05/2018","W","3,328"
40960,"Pulaski-Orange","03/15/2018","W","5,415"
40960,"Pulaski-Orange","03/04/2018","U","1,452"
40960,"Pulaski-Orange","01/21/2018","U","1,238"
40960,"Pulaski-Orange","02/02/2018","W","4,165"
40960,"Pulaski-Orange","01/11/2018","W","4,885"
40960,"Pulaski-Orange","03/24/2018","A","1,933"
40960,"Pulaski-Orange","03/02/2018","W","4,988"
40960,"Pulaski-Orange","01/02/2018","W","2,761"
40960,"Pulaski-Orange","02/26/2018","W","5,184"
40960,"Pulaski-Orange","02/04/2018","U","990"
40960,"Pulaski-Orange","02/08/2018","W","5,006"
40960,"Pulaski-Orange","01/14/2018","U","1,142"
40960,"Pulaski-Orange","02/23/2018","W","5,123"
40960,"Pulaski-Orange","01/12/2018","W","4,386"
40960,"Pulaski-Orange","02/14/2018","W","5,487"
40960,"Pulaski-Orange","02/18/2018","U","1,456"
40960,"Pulaski-Orange","01/27/2018","A","2,018"
40960,"Pulaski-Orange","03/21/2018","W","5,358"
40960,"Pulaski-Orange","01/08/2018","W","4,509"
40960,"Pulaski-Orange","01/10/2018","W","4,842"
40960,"Pulaski-Orange","02/12/2018","W","4,818"
40960,"Pulaski-Orange","02/16/2018","W","5,069"
40960,"Pulaski-Orange","01/15/2018","W","2,489"
40960,"Pulaski-Orange","02/07/2018","W","5,009"
40960,"Pulaski-Orange","01/25/2018","W","5,350"
40960,"Pulaski-Orange","01/17/2018","W","5,133"
40960,"Pulaski-Orange","01/29/2018","W","5,121"
40960,"Pulaski-Orange","01/01/2018","U","789"
40960,"Pulaski-Orange","03/20/2018","W","5,135"
40960,"Pulaski-Orange","01/06/2018","A","1,464"
40960,"Pulaski-Orange","01/22/2018","W","5,137"
40960,"Pulaski-Orange","03/11/2018","U","1,371"
40960,"Pulaski-Orange","02/27/2018","W","5,502"
40960,"Pulaski-Orange","02/17/2018","A","1,869"
40960,"Pulaski-Orange","01/18/2018","W","5,148"
40960,"Pulaski-Orange","03/17/2018","A","2,913"
40960,"Pulaski-Orange","03/08/2018","W","5,333"
40960,"Pulaski-Orange","03/23/2018","W","5,208"
40960,"Pulaski-Orange","03/27/2018","W","4,236"
40960,"Pulaski-Orange","03/05/2018","W","4,890"
40960,"Pulaski-Orange","02/19/2018","W","3,189"
40960,"Pulaski-Orange","03/06/2018","W","5,272"
40960,"Pulaski-Orange","01/04/2018","W","3,506"
40960,"Pulaski-Orange","01/30/2018","W","5,227"
40960,"Pulaski-Orange","02/22/2018","W","5,254"
40960,"Pulaski-Orange","03/18/2018","U","1,568"
40960,"Pulaski-Orange","01/19/2018","W","4,918"
40960,"Pulaski-Orange","03/25/2018","U","1,499"
40960,"Pulaski-Orange","01/26/2018","W","5,064"
40960,"Pulaski-Orange","03/03/2018","A","2,211"
40960,"Pulaski-Orange","02/28/2018","W","5,558"
40960,"Pulaski-Orange","01/20/2018","A","2,047"
40960,"Pulaski-Orange","02/25/2018","U","1,401"
40960,"Pulaski-Orange","02/05/2018","W","4,511"
40960,"Pulaski-Orange","03/22/2018","W","5,413"
40960,"Pulaski-Orange","03/19/2018","W","5,167"
40960,"Pulaski-Orange","02/10/2018","A","1,631"
40960,"Pulaski-Orange","03/09/2018","W","4,952"
40960,"Pulaski-Orange","03/30/2018","W","3,648"
40960,"Pulaski-Orange","03/01/2018","W","5,183"
40960,"Pulaski-Orange","02/13/2018","W","5,372"
40960,"Pulaski-Orange","01/16/2018","W","5,056"
40960,"Pulaski-Orange","01/28/2018","U","1,337"
40960,"Pulaski-Orange","05/05/2018","A","2,471"
40960,"Pulaski-Orange","05/27/2018","U","1,956"
40960,"Pulaski-Orange","05/14/2018","W","4,806"
40960,"Pulaski-Orange","05/25/2018","W","5,367"
40960,"Pulaski-Orange","06/01/2018","W","5,537"
40960,"Pulaski-Orange","04/20/2018","W","5,137"
40960,"Pulaski-Orange","04/02/2018","W","4,921"
40960,"Pulaski-Orange","06/28/2018","W","5,088"
40960,"Pulaski-Orange","06/21/2018","W","4,167"
40960,"Pulaski-Orange","05/13/2018","U","1,443"
40960,"Pulaski-Orange","05/10/2018","W","5,559"
40960,"Pulaski-Orange","06/04/2018","W","5,304"
40960,"Pulaski-Orange","05/04/2018","W","5,338"
40960,"Pulaski-Orange","06/30/2018","A","2,253"
40960,"Pulaski-Orange","06/29/2018","W","4,714"
40960,"Pulaski-Orange","06/11/2018","W","4,969"
40960,"Pulaski-Orange","05/29/2018","W","5,299"
40960,"Pulaski-Orange","05/03/2018","W","5,406"
40960,"Pulaski-Orange","05/19/2018","A","2,299"
40960,"Pulaski-Orange","06/16/2018","A","2,302"
40960,"Pulaski-Orange","05/22/2018","W","5,216"
40960,"Pulaski-Orange","06/05/2018","W","5,373"
40960,"Pulaski-Orange","06/22/2018","W","4,302"
40960,"Pulaski-Orange","04/29/2018","U","1,546"
40960,"Pulaski-Orange","04/17/2018","W","5,282"
40960,"Pulaski-Orange","06/26/2018","W","4,716"
40960,"Pulaski-Orange","06/17/2018","U","1,541"
40960,"Pulaski-Orange","06/02/2018","A","2,446"
40960,"Pulaski-Orange","06/27/2018","W","4,844"
40960,"Pulaski-Orange","05/02/2018","W","5,302"
40960,"Pulaski-Orange","04/30/2018","W","5,379"
40960,"Pulaski-Orange","06/15/2018","W","5,199"
40960,"Pulaski-Orange","04/03/2018","W","5,094"
40960,"Pulaski-Orange","04/14/2018","A","1,969"
40960,"Pulaski-Orange","04/05/2018","W","5,209"
40960,"Pulaski-Orange","06/08/2018","W","5,224"
40960,"Pulaski-Orange","04/28/2018","A","2,131"
40960,"Pulaski-Orange","05/26/2018","A","2,616"
40960,"Pulaski-Orange","05/12/2018","A","2,099"
40960,"Pulaski-Orange","06/20/2018","W","4,957"
40960,"Pulaski-Orange","04/18/2018","W","5,188"
40960,"Pulaski-Orange","05/21/2018","W","4,659"
40960,"Pulaski-Orange","04/23/2018","W","5,057"
40960,"Pulaski-Orange","04/25/2018","W","5,463"
40960,"Pulaski-Orange","04/27/2018","W","5,220"
