"ï..station_id","stationname","date","daytype","rides"
40040,"Quincy/Wells","12/03/2017","U","1,142"
40040,"Quincy/Wells","12/19/2017","W","8,056"
40040,"Quincy/Wells","12/28/2017","W","5,122"
40040,"Quincy/Wells","12/07/2017","W","8,099"
40040,"Quincy/Wells","12/13/2017","W","8,000"
40040,"Quincy/Wells","12/06/2017","W","8,346"
40040,"Quincy/Wells","12/27/2017","W","4,917"
40040,"Quincy/Wells","12/24/2017","U","578"
40040,"Quincy/Wells","12/15/2017","W","6,924"
40040,"Quincy/Wells","12/05/2017","W","8,513"
40040,"Quincy/Wells","12/14/2017","W","7,892"
40040,"Quincy/Wells","12/25/2017","U","658"
40040,"Quincy/Wells","12/20/2017","W","7,734"
40040,"Quincy/Wells","12/01/2017","W","7,666"
40040,"Quincy/Wells","12/21/2017","W","6,974"
40040,"Quincy/Wells","12/26/2017","W","3,326"
40040,"Quincy/Wells","12/23/2017","A","1,028"
40040,"Quincy/Wells","12/11/2017","W","8,324"
40040,"Quincy/Wells","12/18/2017","W","7,866"
40040,"Quincy/Wells","12/04/2017","W","8,357"
40040,"Quincy/Wells","12/22/2017","W","4,538"
40040,"Quincy/Wells","12/08/2017","W","7,291"
40040,"Quincy/Wells","12/02/2017","A","1,322"
40040,"Quincy/Wells","12/09/2017","A","1,263"
40040,"Quincy/Wells","12/17/2017","U","974"
40040,"Quincy/Wells","12/31/2017","U","1,082"
40040,"Quincy/Wells","12/16/2017","A","1,219"
40040,"Quincy/Wells","12/29/2017","W","4,404"
40040,"Quincy/Wells","12/12/2017","W","8,381"
40040,"Quincy/Wells","12/30/2017","A","1,377"
40040,"Quincy/Wells","12/10/2017","U","920"
40040,"Quincy/Wells","03/04/2018","U","1,084"
40040,"Quincy/Wells","02/23/2018","W","7,327"
40040,"Quincy/Wells","01/01/2018","U","873"
40040,"Quincy/Wells","03/01/2018","W","7,678"
40040,"Quincy/Wells","01/09/2018","W","8,331"
40040,"Quincy/Wells","02/09/2018","W","4,694"
40040,"Quincy/Wells","01/04/2018","W","8,106"
40040,"Quincy/Wells","01/30/2018","W","8,168"
40040,"Quincy/Wells","03/29/2018","W","7,682"
40040,"Quincy/Wells","02/16/2018","W","7,263"
40040,"Quincy/Wells","02/14/2018","W","8,201"
40040,"Quincy/Wells","02/02/2018","W","7,169"
40040,"Quincy/Wells","02/18/2018","U","1,331"
40040,"Quincy/Wells","02/11/2018","U","976"
40040,"Quincy/Wells","01/25/2018","W","8,154"
40040,"Quincy/Wells","02/06/2018","W","7,942"
40040,"Quincy/Wells","02/25/2018","U","1,071"
40040,"Quincy/Wells","03/02/2018","W","7,144"
40040,"Quincy/Wells","01/02/2018","W","7,196"
40040,"Quincy/Wells","03/28/2018","W","8,132"
40040,"Quincy/Wells","01/03/2018","W","7,864"
40040,"Quincy/Wells","03/30/2018","W","5,980"
40040,"Quincy/Wells","03/17/2018","A","2,174"
40040,"Quincy/Wells","02/22/2018","W","8,030"
40040,"Quincy/Wells","03/18/2018","U","1,317"
40040,"Quincy/Wells","03/19/2018","W","8,377"
40040,"Quincy/Wells","01/31/2018","W","7,870"
40040,"Quincy/Wells","03/24/2018","A","1,458"
40040,"Quincy/Wells","03/31/2018","A","1,367"
40040,"Quincy/Wells","03/14/2018","W","8,122"
40040,"Quincy/Wells","01/24/2018","W","8,219"
40040,"Quincy/Wells","01/28/2018","U","995"
40040,"Quincy/Wells","03/27/2018","W","8,065"
40040,"Quincy/Wells","02/20/2018","W","7,997"
40040,"Quincy/Wells","03/16/2018","W","7,842"
40040,"Quincy/Wells","01/06/2018","A","1,011"
40040,"Quincy/Wells","03/25/2018","U","1,298"
40040,"Quincy/Wells","01/23/2018","W","8,245"
40040,"Quincy/Wells","01/10/2018","W","8,170"
40040,"Quincy/Wells","03/06/2018","W","8,120"
40040,"Quincy/Wells","02/04/2018","U","846"
40040,"Quincy/Wells","01/11/2018","W","8,166"
40040,"Quincy/Wells","01/22/2018","W","7,945"
40040,"Quincy/Wells","02/26/2018","W","8,067"
40040,"Quincy/Wells","02/19/2018","W","4,706"
40040,"Quincy/Wells","01/08/2018","W","8,267"
40040,"Quincy/Wells","01/26/2018","W","7,378"
40040,"Quincy/Wells","03/08/2018","W","8,072"
40040,"Quincy/Wells","03/22/2018","W","8,014"
40040,"Quincy/Wells","02/28/2018","W","8,105"
40040,"Quincy/Wells","01/07/2018","U","804"
40040,"Quincy/Wells","02/10/2018","A","1,140"
40040,"Quincy/Wells","03/26/2018","W","8,235"
40040,"Quincy/Wells","03/11/2018","U","1,201"
40040,"Quincy/Wells","03/20/2018","W","8,328"
40040,"Quincy/Wells","03/09/2018","W","7,371"
40040,"Quincy/Wells","01/12/2018","W","7,472"
40040,"Quincy/Wells","01/21/2018","U","878"
40040,"Quincy/Wells","03/12/2018","W","8,190"
40040,"Quincy/Wells","01/16/2018","W","8,329"
40040,"Quincy/Wells","02/27/2018","W","8,108"
40040,"Quincy/Wells","01/17/2018","W","8,245"
40040,"Quincy/Wells","02/24/2018","A","1,292"
40040,"Quincy/Wells","02/03/2018","A","1,114"
40040,"Quincy/Wells","01/18/2018","W","7,783"
40040,"Quincy/Wells","02/07/2018","W","8,086"
40040,"Quincy/Wells","02/05/2018","W","8,324"
40040,"Quincy/Wells","02/08/2018","W","8,378"
40040,"Quincy/Wells","02/12/2018","W","8,295"
40040,"Quincy/Wells","01/20/2018","A","1,792"
40040,"Quincy/Wells","02/21/2018","W","8,148"
40040,"Quincy/Wells","03/05/2018","W","8,233"
40040,"Quincy/Wells","03/15/2018","W","8,177"
40040,"Quincy/Wells","03/03/2018","A","1,361"
40040,"Quincy/Wells","01/15/2018","W","3,922"
40040,"Quincy/Wells","02/13/2018","W","8,362"
40040,"Quincy/Wells","01/19/2018","W","7,433"
40040,"Quincy/Wells","03/13/2018","W","8,304"
40040,"Quincy/Wells","03/07/2018","W","8,143"
40040,"Quincy/Wells","02/17/2018","A","1,172"
40040,"Quincy/Wells","01/13/2018","A","1,323"
40040,"Quincy/Wells","03/23/2018","W","7,324"
40040,"Quincy/Wells","01/05/2018","W","7,328"
40040,"Quincy/Wells","03/10/2018","A","1,430"
40040,"Quincy/Wells","02/01/2018","W","7,913"
40040,"Quincy/Wells","02/15/2018","W","7,833"
40040,"Quincy/Wells","01/14/2018","U","1,062"
40040,"Quincy/Wells","03/21/2018","W","8,130"
40040,"Quincy/Wells","01/29/2018","W","8,195"
40040,"Quincy/Wells","01/27/2018","A","1,214"
40040,"Quincy/Wells","04/05/2018","W","8,273"
