ï..station_id	stationname	date	daytype	rides
40470	Racine	12/04/2017	W	2,611
40470	Racine	12/07/2017	W	2,571
40470	Racine	12/25/2017	U	249
40470	Racine	12/19/2017	W	2,540
40470	Racine	12/08/2017	W	2,644
40470	Racine	12/14/2017	W	2,494
40470	Racine	12/09/2017	A	1,043
40470	Racine	12/05/2017	W	2,612
40470	Racine	12/06/2017	W	2,630
40470	Racine	12/26/2017	W	673
40470	Racine	12/11/2017	W	2,525
40470	Racine	12/31/2017	U	522
40470	Racine	12/13/2017	W	2,540
40470	Racine	12/16/2017	A	1,123
40470	Racine	12/15/2017	W	2,614
40470	Racine	12/30/2017	A	544
40470	Racine	12/24/2017	U	453
40470	Racine	12/28/2017	W	975
40470	Racine	12/23/2017	A	740
40470	Racine	12/29/2017	W	1,014
40470	Racine	12/12/2017	W	2,556
40470	Racine	12/20/2017	W	2,582
40470	Racine	12/21/2017	W	2,494
40470	Racine	12/02/2017	A	1,216
40470	Racine	12/22/2017	W	2,316
40470	Racine	12/27/2017	W	876
40470	Racine	12/18/2017	W	2,563
40470	Racine	12/17/2017	U	783
40470	Racine	12/10/2017	U	685
40470	Racine	12/01/2017	W	3,025
40470	Racine	12/03/2017	U	729
40470	Racine	02/12/2018	W	2,502
40470	Racine	03/17/2018	A	1,555
40470	Racine	01/20/2018	A	1,086
40470	Racine	02/25/2018	U	739
40470	Racine	02/23/2018	W	2,600
40470	Racine	03/09/2018	W	2,491
40470	Racine	01/31/2018	W	2,562
40470	Racine	01/08/2018	W	2,342
40470	Racine	01/02/2018	W	1,084
40470	Racine	03/18/2018	U	706
40470	Racine	01/16/2018	W	2,528
40470	Racine	03/21/2018	W	2,534
40470	Racine	01/09/2018	W	2,329
40470	Racine	03/04/2018	U	637
40470	Racine	02/27/2018	W	2,590
40470	Racine	03/19/2018	W	2,463
40470	Racine	01/26/2018	W	2,574
40470	Racine	03/27/2018	W	1,603
40470	Racine	03/22/2018	W	2,531
40470	Racine	02/13/2018	W	2,545
40470	Racine	03/20/2018	W	2,515
40470	Racine	01/19/2018	W	2,481
40470	Racine	02/11/2018	U	574
40470	Racine	02/05/2018	W	2,344
40470	Racine	02/04/2018	U	545
40470	Racine	02/07/2018	W	2,481
40470	Racine	01/14/2018	U	599
40470	Racine	02/02/2018	W	1,587
40470	Racine	02/03/2018	A	848
40470	Racine	03/05/2018	W	2,377
40470	Racine	02/10/2018	A	905
40470	Racine	03/12/2018	W	2,473
40470	Racine	01/11/2018	W	2,553
40470	Racine	01/10/2018	W	2,493
40470	Racine	01/03/2018	W	1,304
40470	Racine	02/14/2018	W	2,633
40470	Racine	03/01/2018	W	2,596
40470	Racine	02/15/2018	W	2,673
40470	Racine	03/15/2018	W	2,539
40470	Racine	03/30/2018	W	1,392
40470	Racine	03/28/2018	W	1,629
40470	Racine	02/24/2018	A	1,318
40470	Racine	03/16/2018	W	2,517
40470	Racine	03/25/2018	U	808
40470	Racine	02/16/2018	W	2,637
40470	Racine	03/14/2018	W	2,489
40470	Racine	01/18/2018	W	2,477
40470	Racine	03/08/2018	W	2,590
40470	Racine	03/10/2018	A	960
40470	Racine	03/13/2018	W	2,436
40470	Racine	03/06/2018	W	2,513
40470	Racine	02/22/2018	W	2,548
40470	Racine	02/19/2018	W	1,329
40470	Racine	03/02/2018	W	2,580
40470	Racine	03/23/2018	W	2,467
40470	Racine	01/17/2018	W	2,527
40470	Racine	01/25/2018	W	2,616
40470	Racine	02/08/2018	W	2,520
40470	Racine	02/01/2018	W	2,623
40470	Racine	01/24/2018	W	2,550
40470	Racine	01/30/2018	W	2,638
40470	Racine	03/24/2018	A	1,097
40470	Racine	02/09/2018	W	1,231
40470	Racine	03/31/2018	A	705
40470	Racine	03/03/2018	A	919
40470	Racine	01/13/2018	A	766
40470	Racine	02/28/2018	W	2,583
40470	Racine	01/01/2018	U	401
40470	Racine	01/06/2018	A	518
40470	Racine	03/07/2018	W	2,533
40470	Racine	02/26/2018	W	2,427
40470	Racine	03/26/2018	W	1,587
40470	Racine	03/11/2018	U	642
40470	Racine	01/21/2018	U	653
40470	Racine	01/22/2018	W	2,502
40470	Racine	01/29/2018	W	2,435
40470	Racine	01/04/2018	W	1,263
40470	Racine	02/20/2018	W	2,455
40470	Racine	01/28/2018	U	632
40470	Racine	01/07/2018	U	427
40470	Racine	01/12/2018	W	2,277
40470	Racine	02/21/2018	W	2,593
40470	Racine	01/05/2018	W	1,273
40470	Racine	01/15/2018	W	1,053
40470	Racine	02/17/2018	A	940
40470	Racine	01/27/2018	A	999
40470	Racine	01/23/2018	W	2,501
40470	Racine	02/18/2018	U	698
40470	Racine	02/06/2018	W	2,371
40470	Racine	03/29/2018	W	1,541
40470	Racine	06/22/2018	W	1,693
40470	Racine	06/18/2018	W	2,268
40470	Racine	04/30/2018	W	2,463
40470	Racine	06/03/2018	U	771
40470	Racine	04/06/2018	W	2,574
40470	Racine	06/13/2018	W	2,679
40470	Racine	04/03/2018	W	2,385
40470	Racine	04/19/2018	W	2,006
40470	Racine	04/13/2018	W	1,979
40470	Racine	04/04/2018	W	2,463
40470	Racine	05/14/2018	W	2,546
40470	Racine	04/26/2018	W	2,565
40470	Racine	04/29/2018	U	722
40470	Racine	05/21/2018	W	2,296
40470	Racine	04/11/2018	W	2,507
40470	Racine	04/27/2018	W	2,481
40470	Racine	05/17/2018	W	2,641
40470	Racine	05/22/2018	W	2,506
40470	Racine	05/09/2018	W	2,702
40470	Racine	06/02/2018	A	933
40470	Racine	04/20/2018	W	2,664
40470	Racine	06/07/2018	W	2,647
40470	Racine	05/23/2018	W	2,694
40470	Racine	05/05/2018	A	1,019
40470	Racine	04/28/2018	A	995
40470	Racine	05/19/2018	A	960
40470	Racine	06/14/2018	W	2,628
40470	Racine	06/04/2018	W	2,540
40470	Racine	06/29/2018	W	1,821
40470	Racine	04/17/2018	W	2,451
40470	Racine	06/26/2018	W	1,839
40470	Racine	06/27/2018	W	1,889
40470	Racine	06/25/2018	W	1,864
40470	Racine	05/29/2018	W	2,500
40470	Racine	04/23/2018	W	2,404
40470	Racine	05/03/2018	W	2,552
40470	Racine	06/16/2018	A	884
40470	Racine	04/21/2018	A	1,176
40470	Racine	06/09/2018	A	2,767
40470	Racine	06/01/2018	W	2,664
40470	Racine	06/23/2018	A	889
40470	Racine	04/22/2018	U	680
40470	Racine	06/10/2018	U	1,999
40470	Racine	06/11/2018	W	2,510
