ï..station_id	stationname	date	daytype	rides
40200	Randolph/Wabash	12/25/2017	U	0
40200	Randolph/Wabash	12/27/2017	W	0
40200	Randolph/Wabash	12/21/2017	W	0
40200	Randolph/Wabash	12/26/2017	W	0
40200	Randolph/Wabash	12/24/2017	U	0
40200	Randolph/Wabash	12/12/2017	W	0
40200	Randolph/Wabash	12/22/2017	W	0
40200	Randolph/Wabash	12/31/2017	U	0
40200	Randolph/Wabash	12/18/2017	W	0
40200	Randolph/Wabash	12/13/2017	W	0
40200	Randolph/Wabash	12/29/2017	W	0
40200	Randolph/Wabash	12/03/2017	U	0
40200	Randolph/Wabash	12/16/2017	A	0
40200	Randolph/Wabash	12/07/2017	W	0
40200	Randolph/Wabash	12/30/2017	A	0
40200	Randolph/Wabash	12/19/2017	W	0
40200	Randolph/Wabash	12/04/2017	W	0
40200	Randolph/Wabash	12/28/2017	W	0
40200	Randolph/Wabash	12/09/2017	A	0
40200	Randolph/Wabash	12/08/2017	W	0
40200	Randolph/Wabash	12/20/2017	W	0
40200	Randolph/Wabash	12/02/2017	A	0
40200	Randolph/Wabash	12/06/2017	W	0
40200	Randolph/Wabash	12/10/2017	U	0
40200	Randolph/Wabash	12/01/2017	W	0
40200	Randolph/Wabash	12/17/2017	U	0
40200	Randolph/Wabash	12/05/2017	W	0
40200	Randolph/Wabash	12/14/2017	W	0
40200	Randolph/Wabash	12/15/2017	W	0
40200	Randolph/Wabash	12/11/2017	W	0
40200	Randolph/Wabash	12/23/2017	A	0
40200	Randolph/Wabash	01/17/2018	W	0
40200	Randolph/Wabash	02/07/2018	W	0
40200	Randolph/Wabash	03/30/2018	W	0
40200	Randolph/Wabash	01/01/2018	U	0
40200	Randolph/Wabash	03/24/2018	A	0
40200	Randolph/Wabash	03/01/2018	W	0
40200	Randolph/Wabash	01/07/2018	U	0
40200	Randolph/Wabash	02/24/2018	A	0
40200	Randolph/Wabash	02/15/2018	W	0
40200	Randolph/Wabash	02/26/2018	W	0
40200	Randolph/Wabash	01/05/2018	W	0
40200	Randolph/Wabash	02/03/2018	A	0
40200	Randolph/Wabash	02/14/2018	W	0
40200	Randolph/Wabash	02/21/2018	W	0
40200	Randolph/Wabash	02/28/2018	W	0
40200	Randolph/Wabash	01/12/2018	W	0
40200	Randolph/Wabash	01/15/2018	W	0
40200	Randolph/Wabash	01/16/2018	W	0
40200	Randolph/Wabash	01/03/2018	W	0
40200	Randolph/Wabash	03/18/2018	U	0
40200	Randolph/Wabash	01/30/2018	W	0
40200	Randolph/Wabash	03/16/2018	W	0
40200	Randolph/Wabash	02/16/2018	W	0
40200	Randolph/Wabash	02/02/2018	W	0
40200	Randolph/Wabash	02/20/2018	W	0
40200	Randolph/Wabash	02/22/2018	W	0
40200	Randolph/Wabash	03/25/2018	U	0
40200	Randolph/Wabash	03/17/2018	A	0
40200	Randolph/Wabash	03/27/2018	W	0
40200	Randolph/Wabash	02/01/2018	W	0
40200	Randolph/Wabash	01/14/2018	U	0
40200	Randolph/Wabash	01/21/2018	U	0
40200	Randolph/Wabash	02/04/2018	U	0
40200	Randolph/Wabash	01/19/2018	W	0
40200	Randolph/Wabash	03/11/2018	U	0
40200	Randolph/Wabash	02/19/2018	W	0
40200	Randolph/Wabash	01/20/2018	A	0
40200	Randolph/Wabash	03/02/2018	W	0
40200	Randolph/Wabash	02/17/2018	A	0
40200	Randolph/Wabash	01/02/2018	W	0
40200	Randolph/Wabash	03/06/2018	W	0
40200	Randolph/Wabash	03/10/2018	A	0
40200	Randolph/Wabash	03/05/2018	W	0
40200	Randolph/Wabash	02/12/2018	W	0
40200	Randolph/Wabash	02/23/2018	W	0
40200	Randolph/Wabash	01/08/2018	W	0
40200	Randolph/Wabash	01/28/2018	U	0
40200	Randolph/Wabash	03/13/2018	W	0
40200	Randolph/Wabash	03/29/2018	W	0
40200	Randolph/Wabash	03/20/2018	W	0
40200	Randolph/Wabash	01/26/2018	W	0
40200	Randolph/Wabash	01/27/2018	A	0
40200	Randolph/Wabash	01/23/2018	W	0
40200	Randolph/Wabash	03/04/2018	U	0
40200	Randolph/Wabash	03/21/2018	W	0
40200	Randolph/Wabash	03/22/2018	W	0
40200	Randolph/Wabash	03/09/2018	W	0
40200	Randolph/Wabash	03/26/2018	W	0
40200	Randolph/Wabash	02/27/2018	W	0
40200	Randolph/Wabash	02/25/2018	U	0
40200	Randolph/Wabash	03/15/2018	W	136
40200	Randolph/Wabash	03/14/2018	W	0
40200	Randolph/Wabash	01/24/2018	W	0
40200	Randolph/Wabash	01/10/2018	W	0
40200	Randolph/Wabash	03/19/2018	W	0
40200	Randolph/Wabash	02/18/2018	U	0
40200	Randolph/Wabash	01/18/2018	W	0
40200	Randolph/Wabash	02/05/2018	W	0
40200	Randolph/Wabash	03/31/2018	A	0
40200	Randolph/Wabash	01/31/2018	W	0
40200	Randolph/Wabash	01/11/2018	W	0
40200	Randolph/Wabash	01/04/2018	W	0
40200	Randolph/Wabash	03/23/2018	W	0
40200	Randolph/Wabash	01/22/2018	W	0
40200	Randolph/Wabash	03/03/2018	A	0
40200	Randolph/Wabash	01/25/2018	W	0
40200	Randolph/Wabash	03/12/2018	W	0
40200	Randolph/Wabash	02/11/2018	U	0
40200	Randolph/Wabash	01/09/2018	W	0
40200	Randolph/Wabash	02/08/2018	W	0
40200	Randolph/Wabash	03/07/2018	W	0
40200	Randolph/Wabash	02/06/2018	W	0
40200	Randolph/Wabash	01/06/2018	A	0
40200	Randolph/Wabash	02/10/2018	A	0
40200	Randolph/Wabash	02/09/2018	W	0
40200	Randolph/Wabash	02/13/2018	W	0
40200	Randolph/Wabash	01/29/2018	W	0
40200	Randolph/Wabash	03/08/2018	W	0
40200	Randolph/Wabash	01/13/2018	A	0
40200	Randolph/Wabash	03/28/2018	W	0
40200	Randolph/Wabash	06/04/2018	W	0
40200	Randolph/Wabash	04/22/2018	U	0
40200	Randolph/Wabash	06/29/2018	W	0
40200	Randolph/Wabash	04/03/2018	W	0
40200	Randolph/Wabash	05/16/2018	W	0
40200	Randolph/Wabash	06/24/2018	U	0
40200	Randolph/Wabash	06/18/2018	W	0
40200	Randolph/Wabash	06/25/2018	W	0
40200	Randolph/Wabash	04/12/2018	W	0
40200	Randolph/Wabash	04/17/2018	W	0
40200	Randolph/Wabash	04/24/2018	W	0
40200	Randolph/Wabash	04/02/2018	W	0
40200	Randolph/Wabash	06/11/2018	W	0
40200	Randolph/Wabash	06/17/2018	U	0
40200	Randolph/Wabash	06/03/2018	U	0
40200	Randolph/Wabash	04/11/2018	W	0
