"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40610	"Ridgeland"	"12/25/2017"	"U"	"134"
40610	"Ridgeland"	"12/28/2017"	"W"	"789"
40610	"Ridgeland"	"12/22/2017"	"W"	"1,117"
40610	"Ridgeland"	"12/21/2017"	"W"	"1,310"
40610	"Ridgeland"	"12/24/2017"	"U"	"285"
40610	"Ridgeland"	"12/16/2017"	"A"	"590"
40610	"Ridgeland"	"12/06/2017"	"W"	"1,424"
40610	"Ridgeland"	"12/05/2017"	"W"	"1,408"
40610	"Ridgeland"	"12/26/2017"	"W"	"491"
40610	"Ridgeland"	"12/15/2017"	"W"	"1,341"
40610	"Ridgeland"	"12/07/2017"	"W"	"1,466"
40610	"Ridgeland"	"12/27/2017"	"W"	"774"
40610	"Ridgeland"	"12/29/2017"	"W"	"767"
40610	"Ridgeland"	"12/10/2017"	"U"	"350"
40610	"Ridgeland"	"12/03/2017"	"U"	"400"
40610	"Ridgeland"	"12/04/2017"	"W"	"1,458"
40610	"Ridgeland"	"12/20/2017"	"W"	"1,429"
40610	"Ridgeland"	"12/14/2017"	"W"	"1,417"
40610	"Ridgeland"	"12/01/2017"	"W"	"1,432"
40610	"Ridgeland"	"12/18/2017"	"W"	"1,349"
40610	"Ridgeland"	"12/17/2017"	"U"	"360"
40610	"Ridgeland"	"12/08/2017"	"W"	"1,434"
40610	"Ridgeland"	"12/19/2017"	"W"	"1,426"
40610	"Ridgeland"	"12/12/2017"	"W"	"1,425"
40610	"Ridgeland"	"12/09/2017"	"A"	"482"
40610	"Ridgeland"	"12/13/2017"	"W"	"1,427"
40610	"Ridgeland"	"12/30/2017"	"A"	"287"
40610	"Ridgeland"	"12/23/2017"	"A"	"534"
40610	"Ridgeland"	"12/31/2017"	"U"	"324"
40610	"Ridgeland"	"12/11/2017"	"W"	"1,396"
40610	"Ridgeland"	"12/02/2017"	"A"	"569"
40610	"Ridgeland"	"03/29/2018"	"W"	"1,153"
40610	"Ridgeland"	"01/19/2018"	"W"	"1,327"
40610	"Ridgeland"	"02/01/2018"	"W"	"1,399"
40610	"Ridgeland"	"03/24/2018"	"A"	"924"
