"ï..station_id","stationname","date","daytype","rides"
41010,"Rockwell","12/15/2017","W","1,923"
41010,"Rockwell","12/01/2017","W","2,067"
41010,"Rockwell","12/24/2017","U","379"
41010,"Rockwell","12/17/2017","U","670"
41010,"Rockwell","12/23/2017","A","655"
41010,"Rockwell","12/05/2017","W","1,931"
41010,"Rockwell","12/20/2017","W","1,910"
41010,"Rockwell","12/03/2017","U","674"
41010,"Rockwell","12/02/2017","A","1,226"
41010,"Rockwell","12/25/2017","U","172"
41010,"Rockwell","12/22/2017","W","1,471"
41010,"Rockwell","12/11/2017","W","1,893"
41010,"Rockwell","12/30/2017","A","564"
41010,"Rockwell","12/04/2017","W","1,912"
41010,"Rockwell","12/16/2017","A","953"
41010,"Rockwell","12/26/2017","W","666"
41010,"Rockwell","12/29/2017","W","1,123"
41010,"Rockwell","12/21/2017","W","1,847"
41010,"Rockwell","12/07/2017","W","1,947"
41010,"Rockwell","12/08/2017","W","1,954"
41010,"Rockwell","12/09/2017","A","933"
41010,"Rockwell","12/19/2017","W","1,894"
41010,"Rockwell","12/12/2017","W","1,974"
41010,"Rockwell","12/10/2017","U","621"
41010,"Rockwell","12/28/2017","W","1,132"
41010,"Rockwell","12/18/2017","W","1,776"
41010,"Rockwell","12/31/2017","U","605"
41010,"Rockwell","12/13/2017","W","1,952"
41010,"Rockwell","12/06/2017","W","1,962"
41010,"Rockwell","12/14/2017","W","1,969"
41010,"Rockwell","12/27/2017","W","998"
41010,"Rockwell","02/16/2018","W","1,824"
41010,"Rockwell","01/10/2018","W","1,903"
41010,"Rockwell","02/08/2018","W","1,966"
41010,"Rockwell","03/16/2018","W","1,862"
41010,"Rockwell","01/14/2018","U","560"
41010,"Rockwell","03/05/2018","W","1,823"
41010,"Rockwell","03/21/2018","W","1,881"
41010,"Rockwell","01/07/2018","U","554"
41010,"Rockwell","03/26/2018","W","1,728"
41010,"Rockwell","01/09/2018","W","1,890"
41010,"Rockwell","02/06/2018","W","1,940"
41010,"Rockwell","02/28/2018","W","1,934"
41010,"Rockwell","03/07/2018","W","1,989"
41010,"Rockwell","02/13/2018","W","1,967"
41010,"Rockwell","02/14/2018","W","1,987"
41010,"Rockwell","02/10/2018","A","901"
41010,"Rockwell","02/25/2018","U","627"
41010,"Rockwell","01/26/2018","W","1,875"
41010,"Rockwell","02/24/2018","A","901"
41010,"Rockwell","03/30/2018","W","1,465"
41010,"Rockwell","01/22/2018","W","1,821"
41010,"Rockwell","03/24/2018","A","862"
41010,"Rockwell","01/31/2018","W","1,926"
41010,"Rockwell","03/28/2018","W","1,794"
41010,"Rockwell","03/08/2018","W","1,888"
41010,"Rockwell","02/03/2018","A","790"
41010,"Rockwell","02/11/2018","U","615"
41010,"Rockwell","03/17/2018","A","1,179"
41010,"Rockwell","03/22/2018","W","1,915"
41010,"Rockwell","01/16/2018","W","1,868"
41010,"Rockwell","01/03/2018","W","1,688"
41010,"Rockwell","03/11/2018","U","573"
41010,"Rockwell","01/29/2018","W","1,795"
41010,"Rockwell","03/02/2018","W","1,808"
41010,"Rockwell","03/19/2018","W","1,782"
41010,"Rockwell","03/29/2018","W","1,779"
41010,"Rockwell","01/28/2018","U","581"
41010,"Rockwell","02/15/2018","W","2,029"
41010,"Rockwell","02/22/2018","W","1,879"
41010,"Rockwell","02/26/2018","W","1,851"
41010,"Rockwell","03/20/2018","W","1,815"
41010,"Rockwell","03/14/2018","W","1,924"
41010,"Rockwell","01/15/2018","W","1,106"
41010,"Rockwell","03/18/2018","U","616"
41010,"Rockwell","01/12/2018","W","1,796"
41010,"Rockwell","01/30/2018","W","1,896"
41010,"Rockwell","01/11/2018","W","1,915"
41010,"Rockwell","01/18/2018","W","1,894"
41010,"Rockwell","02/17/2018","A","864"
41010,"Rockwell","02/20/2018","W","1,861"
41010,"Rockwell","02/12/2018","W","1,812"
41010,"Rockwell","01/17/2018","W","1,900"
41010,"Rockwell","03/03/2018","A","887"
41010,"Rockwell","01/25/2018","W","1,966"
41010,"Rockwell","01/08/2018","W","1,857"
41010,"Rockwell","02/09/2018","W","1,434"
41010,"Rockwell","01/01/2018","U","333"
41010,"Rockwell","02/05/2018","W","1,826"
41010,"Rockwell","02/07/2018","W","1,909"
41010,"Rockwell","01/13/2018","A","753"
41010,"Rockwell","01/02/2018","W","1,456"
41010,"Rockwell","01/23/2018","W","1,923"
41010,"Rockwell","03/13/2018","W","1,878"
41010,"Rockwell","03/15/2018","W","1,918"
41010,"Rockwell","01/21/2018","U","546"
41010,"Rockwell","03/04/2018","U","603"
41010,"Rockwell","03/31/2018","A","718"
41010,"Rockwell","03/09/2018","W","1,855"
41010,"Rockwell","02/18/2018","U","639"
41010,"Rockwell","03/25/2018","U","581"
41010,"Rockwell","01/19/2018","W","1,817"
41010,"Rockwell","01/05/2018","W","1,565"
41010,"Rockwell","02/02/2018","W","1,744"
41010,"Rockwell","03/01/2018","W","1,826"
41010,"Rockwell","02/19/2018","W","1,267"
41010,"Rockwell","02/01/2018","W","1,909"
41010,"Rockwell","02/27/2018","W","1,890"
41010,"Rockwell","03/23/2018","W","1,835"
41010,"Rockwell","03/12/2018","W","1,817"
41010,"Rockwell","01/04/2018","W","1,637"
41010,"Rockwell","01/27/2018","A","909"
41010,"Rockwell","03/10/2018","A","868"
41010,"Rockwell","02/21/2018","W","1,962"
41010,"Rockwell","01/06/2018","A","687"
41010,"Rockwell","01/20/2018","A","1,154"
41010,"Rockwell","02/04/2018","U","516"
41010,"Rockwell","03/06/2018","W","1,911"
41010,"Rockwell","03/27/2018","W","1,839"
41010,"Rockwell","02/23/2018","W","1,858"
41010,"Rockwell","01/24/2018","W","1,943"
41010,"Rockwell","06/20/2018","W","1,998"
41010,"Rockwell","04/09/2018","W","1,818"
41010,"Rockwell","04/23/2018","W","1,816"
41010,"Rockwell","06/12/2018","W","1,939"
41010,"Rockwell","05/14/2018","W","1,759"
41010,"Rockwell","06/08/2018","W","1,911"
41010,"Rockwell","05/24/2018","W","2,039"
41010,"Rockwell","04/12/2018","W","1,960"
41010,"Rockwell","05/19/2018","A","906"
41010,"Rockwell","06/06/2018","W","2,018"
41010,"Rockwell","06/07/2018","W","2,040"
41010,"Rockwell","05/16/2018","W","1,942"
41010,"Rockwell","05/10/2018","W","1,982"
41010,"Rockwell","04/07/2018","A","814"
41010,"Rockwell","05/03/2018","W","1,934"
41010,"Rockwell","04/26/2018","W","1,991"
41010,"Rockwell","04/21/2018","A","845"
41010,"Rockwell","05/22/2018","W","1,968"
41010,"Rockwell","04/18/2018","W","1,834"
41010,"Rockwell","04/22/2018","U","554"
41010,"Rockwell","05/26/2018","A","989"
41010,"Rockwell","06/17/2018","U","567"
41010,"Rockwell","06/26/2018","W","1,849"
41010,"Rockwell","04/27/2018","W","1,956"
41010,"Rockwell","06/01/2018","W","2,002"
41010,"Rockwell","05/27/2018","U","701"
41010,"Rockwell","06/22/2018","W","1,732"
41010,"Rockwell","06/15/2018","W","2,009"
41010,"Rockwell","05/21/2018","W","1,729"
41010,"Rockwell","04/29/2018","U","678"
41010,"Rockwell","06/28/2018","W","1,956"
41010,"Rockwell","06/25/2018","W","1,799"
41010,"Rockwell","05/06/2018","U","613"
41010,"Rockwell","05/04/2018","W","1,920"
41010,"Rockwell","05/02/2018","W","1,924"
41010,"Rockwell","04/30/2018","W","1,877"
41010,"Rockwell","05/12/2018","A","777"
41010,"Rockwell","04/19/2018","W","1,920"
41010,"Rockwell","06/05/2018","W","2,010"
41010,"Rockwell","06/13/2018","W","1,981"
41010,"Rockwell","04/08/2018","U","616"
41010,"Rockwell","06/02/2018","A","909"
41010,"Rockwell","05/23/2018","W","1,993"
41010,"Rockwell","05/17/2018","W","1,938"
41010,"Rockwell","05/30/2018","W","1,937"
41010,"Rockwell","06/11/2018","W","1,870"
41010,"Rockwell","04/03/2018","W","1,908"
41010,"Rockwell","04/10/2018","W","1,913"
41010,"Rockwell","05/07/2018","W","1,893"
41010,"Rockwell","04/04/2018","W","1,870"
41010,"Rockwell","05/29/2018","W","1,880"
41010,"Rockwell","05/25/2018","W","1,834"
41010,"Rockwell","05/31/2018","W","1,981"
41010,"Rockwell","04/01/2018","U","420"
41010,"Rockwell","06/18/2018","W","1,881"
41010,"Rockwell","06/30/2018","A","1,029"
41010,"Rockwell","06/14/2018","W","1,996"
41010,"Rockwell","05/18/2018","W","1,884"
41010,"Rockwell","05/01/2018","W","1,949"
41010,"Rockwell","05/20/2018","U","601"
41010,"Rockwell","04/02/2018","W","1,717"
41010,"Rockwell","04/13/2018","W","1,824"
41010,"Rockwell","04/15/2018","U","509"
