"ï..station_id","stationname","date","daytype","rides"
40800,"Sedgwick","12/11/2017","W","3,825"
40800,"Sedgwick","12/04/2017","W","3,878"
40800,"Sedgwick","12/16/2017","A","2,278"
40800,"Sedgwick","12/20/2017","W","3,613"
40800,"Sedgwick","12/14/2017","W","3,759"
40800,"Sedgwick","12/09/2017","A","2,248"
40800,"Sedgwick","12/22/2017","W","2,780"
40800,"Sedgwick","12/30/2017","A","1,129"
40800,"Sedgwick","12/21/2017","W","3,447"
40800,"Sedgwick","12/06/2017","W","3,935"
40800,"Sedgwick","12/26/2017","W","1,095"
40800,"Sedgwick","12/12/2017","W","3,688"
40800,"Sedgwick","12/17/2017","U","1,625"
40800,"Sedgwick","12/05/2017","W","3,848"
40800,"Sedgwick","12/15/2017","W","3,812"
40800,"Sedgwick","12/31/2017","U","1,019"
40800,"Sedgwick","12/25/2017","U","418"
40800,"Sedgwick","12/10/2017","U","1,636"
40800,"Sedgwick","12/03/2017","U","1,887"
40800,"Sedgwick","12/01/2017","W","4,259"
40800,"Sedgwick","12/07/2017","W","3,783"
40800,"Sedgwick","12/24/2017","U","685"
40800,"Sedgwick","12/28/2017","W","1,799"
40800,"Sedgwick","12/29/2017","W","2,058"
40800,"Sedgwick","12/13/2017","W","3,951"
40800,"Sedgwick","12/08/2017","W","3,900"
40800,"Sedgwick","12/23/2017","A","1,301"
40800,"Sedgwick","12/02/2017","A","2,865"
40800,"Sedgwick","12/27/2017","W","1,610"
40800,"Sedgwick","12/18/2017","W","3,781"
40800,"Sedgwick","12/19/2017","W","3,906"
40800,"Sedgwick","02/28/2018","W","3,682"
40800,"Sedgwick","02/06/2018","W","3,509"
40800,"Sedgwick","03/04/2018","U","1,654"
40800,"Sedgwick","01/31/2018","W","3,697"
40800,"Sedgwick","03/15/2018","W","3,842"
40800,"Sedgwick","02/14/2018","W","3,795"
40800,"Sedgwick","02/25/2018","U","1,557"
40800,"Sedgwick","01/06/2018","A","1,403"
40800,"Sedgwick","03/18/2018","U","1,719"
40800,"Sedgwick","02/22/2018","W","3,684"
40800,"Sedgwick","03/09/2018","W","3,710"
40800,"Sedgwick","02/10/2018","A","1,938"
40800,"Sedgwick","02/02/2018","W","3,209"
40800,"Sedgwick","01/28/2018","U","1,492"
40800,"Sedgwick","02/13/2018","W","3,847"
40800,"Sedgwick","01/27/2018","A","2,059"
40800,"Sedgwick","01/24/2018","W","3,720"
40800,"Sedgwick","03/13/2018","W","3,805"
40800,"Sedgwick","01/22/2018","W","3,521"
40800,"Sedgwick","01/04/2018","W","2,957"
40800,"Sedgwick","03/01/2018","W","3,630"
40800,"Sedgwick","02/09/2018","W","2,642"
40800,"Sedgwick","03/06/2018","W","3,626"
40800,"Sedgwick","03/08/2018","W","3,674"
40800,"Sedgwick","03/10/2018","A","1,996"
40800,"Sedgwick","02/05/2018","W","3,313"
40800,"Sedgwick","03/27/2018","W","3,548"
40800,"Sedgwick","02/03/2018","A","1,742"
40800,"Sedgwick","03/20/2018","W","3,761"
40800,"Sedgwick","01/20/2018","A","2,368"
40800,"Sedgwick","01/13/2018","A","1,694"
40800,"Sedgwick","03/25/2018","U","1,582"
40800,"Sedgwick","03/12/2018","W","3,783"
40800,"Sedgwick","03/16/2018","W","3,775"
40800,"Sedgwick","03/30/2018","W","3,109"
40800,"Sedgwick","02/12/2018","W","3,600"
40800,"Sedgwick","01/14/2018","U","1,376"
40800,"Sedgwick","03/21/2018","W","3,552"
40800,"Sedgwick","03/05/2018","W","3,499"
40800,"Sedgwick","02/15/2018","W","3,794"
