"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40080	"Sheridan"	"12/07/2017"	"W"	"5,232"
40080	"Sheridan"	"12/05/2017"	"W"	"5,105"
40080	"Sheridan"	"12/30/2017"	"A"	"2,127"
40080	"Sheridan"	"12/02/2017"	"A"	"3,588"
40080	"Sheridan"	"12/29/2017"	"W"	"2,994"
40080	"Sheridan"	"12/25/2017"	"U"	"720"
40080	"Sheridan"	"12/17/2017"	"U"	"2,397"
40080	"Sheridan"	"12/15/2017"	"W"	"4,934"
40080	"Sheridan"	"12/03/2017"	"U"	"2,517"
40080	"Sheridan"	"12/31/2017"	"U"	"2,040"
40080	"Sheridan"	"12/23/2017"	"A"	"2,026"
40080	"Sheridan"	"12/09/2017"	"A"	"3,145"
40080	"Sheridan"	"12/12/2017"	"W"	"4,975"
40080	"Sheridan"	"12/24/2017"	"U"	"1,242"
40080	"Sheridan"	"12/10/2017"	"U"	"2,245"
40080	"Sheridan"	"12/04/2017"	"W"	"4,988"
40080	"Sheridan"	"12/01/2017"	"W"	"5,531"
40080	"Sheridan"	"12/14/2017"	"W"	"5,073"
40080	"Sheridan"	"12/16/2017"	"A"	"3,451"
40080	"Sheridan"	"12/06/2017"	"W"	"5,015"
40080	"Sheridan"	"12/27/2017"	"W"	"2,517"
40080	"Sheridan"	"12/13/2017"	"W"	"5,005"
40080	"Sheridan"	"12/22/2017"	"W"	"3,785"
40080	"Sheridan"	"12/21/2017"	"W"	"4,463"
40080	"Sheridan"	"12/28/2017"	"W"	"2,975"
40080	"Sheridan"	"12/08/2017"	"W"	"5,209"
40080	"Sheridan"	"12/19/2017"	"W"	"4,924"
40080	"Sheridan"	"12/11/2017"	"W"	"4,870"
40080	"Sheridan"	"12/18/2017"	"W"	"4,659"
40080	"Sheridan"	"12/26/2017"	"W"	"1,730"
40080	"Sheridan"	"12/20/2017"	"W"	"4,579"
40080	"Sheridan"	"02/22/2018"	"W"	"5,180"
40080	"Sheridan"	"03/06/2018"	"W"	"4,883"
40080	"Sheridan"	"01/15/2018"	"W"	"2,994"
40080	"Sheridan"	"01/19/2018"	"W"	"5,023"
40080	"Sheridan"	"03/26/2018"	"W"	"4,592"
40080	"Sheridan"	"01/29/2018"	"W"	"4,872"
40080	"Sheridan"	"01/24/2018"	"W"	"5,159"
40080	"Sheridan"	"03/30/2018"	"W"	"4,225"
40080	"Sheridan"	"03/12/2018"	"W"	"4,904"
40080	"Sheridan"	"02/18/2018"	"U"	"2,391"
40080	"Sheridan"	"01/26/2018"	"W"	"5,098"
40080	"Sheridan"	"02/23/2018"	"W"	"5,057"
40080	"Sheridan"	"03/31/2018"	"A"	"2,712"
40080	"Sheridan"	"03/24/2018"	"A"	"2,786"
40080	"Sheridan"	"03/20/2018"	"W"	"4,803"
40080	"Sheridan"	"01/21/2018"	"U"	"2,068"
40080	"Sheridan"	"02/01/2018"	"W"	"4,987"
40080	"Sheridan"	"03/14/2018"	"W"	"5,166"
40080	"Sheridan"	"01/11/2018"	"W"	"4,894"
40080	"Sheridan"	"03/05/2018"	"W"	"4,735"
40080	"Sheridan"	"02/11/2018"	"U"	"2,178"
40080	"Sheridan"	"03/21/2018"	"W"	"4,858"
40080	"Sheridan"	"02/12/2018"	"W"	"4,987"
40080	"Sheridan"	"02/13/2018"	"W"	"5,215"
40080	"Sheridan"	"03/11/2018"	"U"	"2,203"
40080	"Sheridan"	"02/04/2018"	"U"	"2,004"
40080	"Sheridan"	"02/05/2018"	"W"	"4,726"
40080	"Sheridan"	"02/16/2018"	"W"	"5,011"
40080	"Sheridan"	"03/01/2018"	"W"	"5,032"
40080	"Sheridan"	"01/04/2018"	"W"	"4,257"
40080	"Sheridan"	"01/02/2018"	"W"	"3,714"
40080	"Sheridan"	"01/18/2018"	"W"	"5,198"
40080	"Sheridan"	"03/02/2018"	"W"	"5,210"
40080	"Sheridan"	"01/27/2018"	"A"	"3,171"
40080	"Sheridan"	"02/14/2018"	"W"	"5,328"
40080	"Sheridan"	"01/05/2018"	"W"	"4,223"
40080	"Sheridan"	"03/28/2018"	"W"	"4,860"
40080	"Sheridan"	"02/03/2018"	"A"	"2,745"
40080	"Sheridan"	"03/19/2018"	"W"	"4,731"
40080	"Sheridan"	"03/10/2018"	"A"	"3,217"
40080	"Sheridan"	"01/08/2018"	"W"	"4,704"
40080	"Sheridan"	"01/12/2018"	"W"	"3,970"
40080	"Sheridan"	"01/30/2018"	"W"	"5,155"
40080	"Sheridan"	"02/26/2018"	"W"	"4,911"
40080	"Sheridan"	"01/23/2018"	"W"	"5,200"
40080	"Sheridan"	"03/22/2018"	"W"	"4,911"
40080	"Sheridan"	"01/06/2018"	"A"	"2,441"
40080	"Sheridan"	"02/08/2018"	"W"	"4,935"
40080	"Sheridan"	"01/13/2018"	"A"	"2,780"
40080	"Sheridan"	"01/16/2018"	"W"	"5,001"
40080	"Sheridan"	"03/03/2018"	"A"	"3,160"
40080	"Sheridan"	"03/18/2018"	"U"	"2,548"
40080	"Sheridan"	"01/22/2018"	"W"	"5,003"
40080	"Sheridan"	"03/08/2018"	"W"	"5,112"
40080	"Sheridan"	"02/15/2018"	"W"	"5,172"
40080	"Sheridan"	"03/16/2018"	"W"	"5,140"
40080	"Sheridan"	"03/07/2018"	"W"	"5,110"
40080	"Sheridan"	"03/29/2018"	"W"	"4,795"
40080	"Sheridan"	"02/10/2018"	"A"	"2,982"
40080	"Sheridan"	"01/10/2018"	"W"	"5,006"
40080	"Sheridan"	"01/14/2018"	"U"	"1,988"
40080	"Sheridan"	"03/13/2018"	"W"	"5,070"
40080	"Sheridan"	"02/25/2018"	"U"	"2,269"
40080	"Sheridan"	"02/17/2018"	"A"	"3,034"
40080	"Sheridan"	"03/09/2018"	"W"	"4,988"
40080	"Sheridan"	"02/20/2018"	"W"	"4,951"
40080	"Sheridan"	"02/24/2018"	"A"	"3,168"
40080	"Sheridan"	"02/09/2018"	"W"	"3,790"
40080	"Sheridan"	"03/25/2018"	"U"	"2,330"
40080	"Sheridan"	"01/28/2018"	"U"	"2,105"
40080	"Sheridan"	"01/01/2018"	"U"	"1,565"
40080	"Sheridan"	"01/07/2018"	"U"	"1,809"
40080	"Sheridan"	"02/28/2018"	"W"	"5,076"
40080	"Sheridan"	"03/15/2018"	"W"	"5,154"
40080	"Sheridan"	"02/06/2018"	"W"	"4,949"
40080	"Sheridan"	"03/27/2018"	"W"	"4,858"
40080	"Sheridan"	"01/17/2018"	"W"	"4,963"
40080	"Sheridan"	"02/07/2018"	"W"	"5,085"
40080	"Sheridan"	"03/04/2018"	"U"	"2,159"
40080	"Sheridan"	"01/31/2018"	"W"	"5,171"
40080	"Sheridan"	"01/25/2018"	"W"	"5,215"
40080	"Sheridan"	"02/21/2018"	"W"	"5,150"
40080	"Sheridan"	"01/09/2018"	"W"	"5,016"
40080	"Sheridan"	"02/19/2018"	"W"	"3,764"
40080	"Sheridan"	"03/17/2018"	"A"	"4,757"
40080	"Sheridan"	"02/02/2018"	"W"	"4,665"
40080	"Sheridan"	"01/03/2018"	"W"	"4,226"
40080	"Sheridan"	"02/27/2018"	"W"	"5,094"
40080	"Sheridan"	"01/20/2018"	"A"	"3,386"
40080	"Sheridan"	"03/23/2018"	"W"	"4,709"
40080	"Sheridan"	"05/01/2018"	"W"	"5,464"
40080	"Sheridan"	"04/18/2018"	"W"	"4,985"
40080	"Sheridan"	"04/25/2018"	"W"	"5,201"
40080	"Sheridan"	"06/14/2018"	"W"	"5,023"
40080	"Sheridan"	"05/05/2018"	"A"	"3,415"
40080	"Sheridan"	"04/27/2018"	"W"	"5,134"
40080	"Sheridan"	"06/17/2018"	"U"	"2,523"
40080	"Sheridan"	"05/26/2018"	"A"	"3,693"
40080	"Sheridan"	"04/15/2018"	"U"	"1,847"
40080	"Sheridan"	"05/23/2018"	"W"	"5,508"
40080	"Sheridan"	"05/03/2018"	"W"	"5,163"
40080	"Sheridan"	"04/14/2018"	"A"	"2,813"
40080	"Sheridan"	"05/27/2018"	"U"	"3,102"
40080	"Sheridan"	"06/27/2018"	"W"	"4,899"
40080	"Sheridan"	"05/31/2018"	"W"	"5,182"
40080	"Sheridan"	"04/01/2018"	"U"	"1,687"
40080	"Sheridan"	"06/12/2018"	"W"	"4,961"
40080	"Sheridan"	"05/20/2018"	"U"	"2,071"
