"ï..station_id","stationname","date","daytype","rides"
40140,"Skokie","02/01/2003","A","0"
40140,"Skokie","02/20/2001","W","2,651"
40140,"Skokie","05/05/2004","W","2,636"
40140,"Skokie","04/22/2006","A","0"
40140,"Skokie","10/26/2001","W","2,587"
40140,"Skokie","11/25/2005","W","1,113"
40140,"Skokie","07/10/2008","W","3,244"
40140,"Skokie","03/20/2010","A","803"
40140,"Skokie","03/11/2004","W","2,207"
40140,"Skokie","03/05/2011","A","827"
40140,"Skokie","08/02/2009","U","874"
40140,"Skokie","11/09/2006","W","2,558"
40140,"Skokie","01/10/2005","W","2,151"
40140,"Skokie","04/11/2011","W","2,585"
40140,"Skokie","10/11/2001","W","2,919"
40140,"Skokie","09/14/2001","W","2,644"
40140,"Skokie","07/21/2011","W","2,629"
40140,"Skokie","07/02/2005","A","1,195"
40140,"Skokie","11/06/2004","A","0"
40140,"Skokie","08/22/2003","W","2,096"
40140,"Skokie","07/28/2011","W","2,274"
40140,"Skokie","03/05/2008","W","2,162"
40140,"Skokie","04/25/2006","W","2,614"
40140,"Skokie","11/05/2002","W","2,699"
40140,"Skokie","10/17/2001","W","2,893"
40140,"Skokie","06/01/2009","W","2,243"
40140,"Skokie","03/24/2010","W","2,314"
40140,"Skokie","10/04/2002","W","2,654"
40140,"Skokie","04/18/2009","A","1,271"
40140,"Skokie","03/24/2007","A","0"
40140,"Skokie","09/11/2006","W","2,552"
40140,"Skokie","09/02/2011","W","2,866"
40140,"Skokie","08/03/2006","W","3,077"
40140,"Skokie","11/21/2007","W","1,850"
40140,"Skokie","11/03/2011","W","2,713"
40140,"Skokie","06/28/2008","A","1,296"
40140,"Skokie","08/12/2008","W","2,529"
40140,"Skokie","09/04/2001","W","2,590"
40140,"Skokie","11/16/2005","W","2,291"
40140,"Skokie","07/30/2009","W","3,304"
40140,"Skokie","11/02/2001","W","2,745"
40140,"Skokie","05/21/2009","W","2,360"
40140,"Skokie","10/25/2004","W","2,508"
40140,"Skokie","12/23/2008","W","2,015"
40140,"Skokie","09/03/2008","W","3,178"
40140,"Skokie","07/06/2004","W","2,190"
40140,"Skokie","01/31/2001","W","2,692"
40140,"Skokie","01/31/2005","W","2,262"
40140,"Skokie","01/25/2008","W","1,958"
40140,"Skokie","08/23/2003","A","0"
40140,"Skokie","09/25/2003","W","2,600"
40140,"Skokie","03/08/2001","W","2,551"
40140,"Skokie","06/29/2001","W","2,751"
40140,"Skokie","10/20/2006","W","2,365"
40140,"Skokie","05/09/2001","W","2,594"
40140,"Skokie","10/02/2001","W","3,050"
40140,"Skokie","02/26/2008","W","2,185"
40140,"Skokie","06/12/2006","W","2,364"
40140,"Skokie","05/24/2005","W","2,789"
40140,"Skokie","11/06/2002","W","2,887"
40140,"Skokie","07/19/2007","W","2,965"
40140,"Skokie","11/24/2001","A","0"
40140,"Skokie","03/29/2008","A","0"
40140,"Skokie","10/29/2005","A","0"
40140,"Skokie","11/23/2006","U","0"
40140,"Skokie","12/03/2003","W","2,259"
40140,"Skokie","08/06/2010","W","3,621"
40140,"Skokie","06/03/2007","U","0"
40140,"Skokie","02/28/2005","W","2,187"
40140,"Skokie","02/24/2003","W","2,416"
40140,"Skokie","07/09/2009","W","2,471"
40140,"Skokie","04/18/2004","U","0"
40140,"Skokie","01/20/2009","W","2,323"
40140,"Skokie","11/13/2003","W","2,381"
40140,"Skokie","02/06/2011","U","649"
40140,"Skokie","03/03/2009","W","2,195"
40140,"Skokie","05/22/2003","W","2,471"
40140,"Skokie","12/16/2010","W","2,253"
40140,"Skokie","04/03/2006","W","2,284"
40140,"Skokie","04/05/2006","W","2,475"
40140,"Skokie","11/01/2010","W","2,628"
40140,"Skokie","06/14/2001","W","2,583"
40140,"Skokie","08/26/2006","A","0"
40140,"Skokie","04/18/2011","W","2,586"
40140,"Skokie","10/09/2003","W","2,589"
40140,"Skokie","12/19/2007","W","1,916"
40140,"Skokie","01/19/2001","W","2,495"
40140,"Skokie","02/14/2007","W","2,165"
40140,"Skokie","10/23/2006","W","2,335"
40140,"Skokie","07/23/2006","U","0"
40140,"Skokie","01/24/2010","U","583"
40140,"Skokie","01/09/2010","A","785"
40140,"Skokie","08/06/2003","W","2,332"
40140,"Skokie","09/10/2008","W","2,812"
40140,"Skokie","09/03/2005","A","0"
40140,"Skokie","07/21/2001","A","0"
40140,"Skokie","04/03/2007","W","2,088"
40140,"Skokie","09/22/2001","A","0"
40140,"Skokie","11/16/2001","W","2,562"
40140,"Skokie","08/01/2003","W","2,860"
40140,"Skokie","02/06/2002","W","2,581"
40140,"Skokie","03/31/2005","W","2,257"
40140,"Skokie","08/30/2007","W","3,124"
40140,"Skokie","07/12/2008","A","1,574"
40140,"Skokie","06/02/2006","W","2,159"
40140,"Skokie","02/03/2004","W","2,277"
