"ï..station_id","stationname","date","daytype","rides"
40190,"Sox-35th-Dan Ryan","12/27/2017","W","2,141"
40190,"Sox-35th-Dan Ryan","12/06/2017","W","4,324"
40190,"Sox-35th-Dan Ryan","12/28/2017","W","2,382"
40190,"Sox-35th-Dan Ryan","12/23/2017","A","2,148"
40190,"Sox-35th-Dan Ryan","12/20/2017","W","3,791"
40190,"Sox-35th-Dan Ryan","12/15/2017","W","3,978"
40190,"Sox-35th-Dan Ryan","12/09/2017","A","2,435"
40190,"Sox-35th-Dan Ryan","12/18/2017","W","3,663"
40190,"Sox-35th-Dan Ryan","12/07/2017","W","4,167"
40190,"Sox-35th-Dan Ryan","12/03/2017","U","2,351"
40190,"Sox-35th-Dan Ryan","12/29/2017","W","2,515"
40190,"Sox-35th-Dan Ryan","12/13/2017","W","3,864"
40190,"Sox-35th-Dan Ryan","12/05/2017","W","4,181"
40190,"Sox-35th-Dan Ryan","12/31/2017","U","1,603"
40190,"Sox-35th-Dan Ryan","12/02/2017","A","3,047"
40190,"Sox-35th-Dan Ryan","12/22/2017","W","3,518"
40190,"Sox-35th-Dan Ryan","12/10/2017","U","1,839"
40190,"Sox-35th-Dan Ryan","12/11/2017","W","3,808"
40190,"Sox-35th-Dan Ryan","12/14/2017","W","3,868"
40190,"Sox-35th-Dan Ryan","12/24/2017","U","1,485"
40190,"Sox-35th-Dan Ryan","12/12/2017","W","3,769"
40190,"Sox-35th-Dan Ryan","12/26/2017","W","1,769"
40190,"Sox-35th-Dan Ryan","12/04/2017","W","4,511"
40190,"Sox-35th-Dan Ryan","12/19/2017","W","4,129"
40190,"Sox-35th-Dan Ryan","12/21/2017","W","3,825"
40190,"Sox-35th-Dan Ryan","12/16/2017","A","2,579"
40190,"Sox-35th-Dan Ryan","12/08/2017","W","4,334"
40190,"Sox-35th-Dan Ryan","12/30/2017","A","1,755"
40190,"Sox-35th-Dan Ryan","12/01/2017","W","4,581"
40190,"Sox-35th-Dan Ryan","12/17/2017","U","1,945"
40190,"Sox-35th-Dan Ryan","12/25/2017","U","1,009"
40190,"Sox-35th-Dan Ryan","01/13/2018","A","2,011"
40190,"Sox-35th-Dan Ryan","03/21/2018","W","3,940"
40190,"Sox-35th-Dan Ryan","02/04/2018","U","1,548"
40190,"Sox-35th-Dan Ryan","03/10/2018","A","2,438"
40190,"Sox-35th-Dan Ryan","01/17/2018","W","3,806"
40190,"Sox-35th-Dan Ryan","02/01/2018","W","4,014"
40190,"Sox-35th-Dan Ryan","02/25/2018","U","2,080"
40190,"Sox-35th-Dan Ryan","03/18/2018","U","1,896"
40190,"Sox-35th-Dan Ryan","03/22/2018","W","4,136"
40190,"Sox-35th-Dan Ryan","02/02/2018","W","3,562"
40190,"Sox-35th-Dan Ryan","01/25/2018","W","4,167"
40190,"Sox-35th-Dan Ryan","02/24/2018","A","2,365"
40190,"Sox-35th-Dan Ryan","02/18/2018","U","1,930"
40190,"Sox-35th-Dan Ryan","01/26/2018","W","4,311"
40190,"Sox-35th-Dan Ryan","01/30/2018","W","3,907"
40190,"Sox-35th-Dan Ryan","01/21/2018","U","1,828"
40190,"Sox-35th-Dan Ryan","03/20/2018","W","4,070"
40190,"Sox-35th-Dan Ryan","01/02/2018","W","2,273"
40190,"Sox-35th-Dan Ryan","03/27/2018","W","3,560"
40190,"Sox-35th-Dan Ryan","02/09/2018","W","2,485"
40190,"Sox-35th-Dan Ryan","03/23/2018","W","3,993"
40190,"Sox-35th-Dan Ryan","01/28/2018","U","1,842"
40190,"Sox-35th-Dan Ryan","02/12/2018","W","3,754"
40190,"Sox-35th-Dan Ryan","03/06/2018","W","4,002"
40190,"Sox-35th-Dan Ryan","02/21/2018","W","4,163"
40190,"Sox-35th-Dan Ryan","01/06/2018","A","1,826"
40190,"Sox-35th-Dan Ryan","01/08/2018","W","3,717"
40190,"Sox-35th-Dan Ryan","03/14/2018","W","4,067"
40190,"Sox-35th-Dan Ryan","01/16/2018","W","3,823"
40190,"Sox-35th-Dan Ryan","02/06/2018","W","3,967"
40190,"Sox-35th-Dan Ryan","02/27/2018","W","4,233"
40190,"Sox-35th-Dan Ryan","02/13/2018","W","4,121"
40190,"Sox-35th-Dan Ryan","02/07/2018","W","3,966"
40190,"Sox-35th-Dan Ryan","02/10/2018","A","1,965"
40190,"Sox-35th-Dan Ryan","03/11/2018","U","1,836"
40190,"Sox-35th-Dan Ryan","02/05/2018","W","3,594"
40190,"Sox-35th-Dan Ryan","01/27/2018","A","2,601"
40190,"Sox-35th-Dan Ryan","01/04/2018","W","2,890"
40190,"Sox-35th-Dan Ryan","01/20/2018","A","2,509"
40190,"Sox-35th-Dan Ryan","01/15/2018","W","2,230"
40190,"Sox-35th-Dan Ryan","02/15/2018","W","4,191"
40190,"Sox-35th-Dan Ryan","02/03/2018","A","2,311"
40190,"Sox-35th-Dan Ryan","03/29/2018","W","3,640"
40190,"Sox-35th-Dan Ryan","03/17/2018","A","2,804"
40190,"Sox-35th-Dan Ryan","02/22/2018","W","4,228"
40190,"Sox-35th-Dan Ryan","03/03/2018","A","2,581"
40190,"Sox-35th-Dan Ryan","02/28/2018","W","4,195"
40190,"Sox-35th-Dan Ryan","02/26/2018","W","4,030"
