ï..station_id	stationname	date	daytype	rides
40260	State/Lake	12/06/2017	W	12,646
40260	State/Lake	12/11/2017	W	12,074
40260	State/Lake	12/10/2017	U	4,406
40260	State/Lake	12/17/2017	U	4,532
40260	State/Lake	12/22/2017	W	8,874
40260	State/Lake	12/26/2017	W	4,625
40260	State/Lake	12/24/2017	U	2,902
40260	State/Lake	12/07/2017	W	13,473
40260	State/Lake	12/03/2017	U	5,157
40260	State/Lake	12/23/2017	A	5,147
40260	State/Lake	12/14/2017	W	11,971
40260	State/Lake	12/27/2017	W	6,077
40260	State/Lake	12/21/2017	W	9,960
40260	State/Lake	12/04/2017	W	12,710
40260	State/Lake	12/01/2017	W	12,171
40260	State/Lake	12/25/2017	U	1,398
40260	State/Lake	12/08/2017	W	11,728
40260	State/Lake	12/19/2017	W	10,820
40260	State/Lake	12/30/2017	A	4,126
40260	State/Lake	12/15/2017	W	10,625
40260	State/Lake	12/28/2017	W	7,146
40260	State/Lake	12/29/2017	W	7,044
40260	State/Lake	12/20/2017	W	10,301
40260	State/Lake	12/02/2017	A	7,035
40260	State/Lake	12/05/2017	W	12,375
40260	State/Lake	12/09/2017	A	6,153
40260	State/Lake	12/12/2017	W	12,029
40260	State/Lake	12/13/2017	W	12,181
40260	State/Lake	12/31/2017	U	3,250
40260	State/Lake	12/16/2017	A	6,321
40260	State/Lake	12/18/2017	W	10,523
40260	State/Lake	02/01/2018	W	11,591
40260	State/Lake	02/26/2018	W	11,684
40260	State/Lake	01/11/2018	W	10,394
40260	State/Lake	02/10/2018	A	5,088
40260	State/Lake	02/03/2018	A	4,989
40260	State/Lake	01/14/2018	U	3,338
40260	State/Lake	03/22/2018	W	12,155
40260	State/Lake	01/21/2018	U	3,605
40260	State/Lake	03/14/2018	W	12,710
40260	State/Lake	02/12/2018	W	11,662
40260	State/Lake	01/23/2018	W	11,932
40260	State/Lake	03/21/2018	W	12,339
40260	State/Lake	03/09/2018	W	11,005
40260	State/Lake	02/21/2018	W	12,141
40260	State/Lake	03/25/2018	U	4,264
40260	State/Lake	01/10/2018	W	10,182
40260	State/Lake	01/05/2018	W	8,764
40260	State/Lake	03/28/2018	W	11,300
40260	State/Lake	02/11/2018	U	3,336
40260	State/Lake	02/16/2018	W	10,822
40260	State/Lake	03/18/2018	U	5,360
40260	State/Lake	02/06/2018	W	11,413
40260	State/Lake	02/18/2018	U	4,604
40260	State/Lake	01/30/2018	W	11,751
40260	State/Lake	01/29/2018	W	11,181
40260	State/Lake	03/11/2018	U	3,998
40260	State/Lake	03/27/2018	W	10,622
40260	State/Lake	01/08/2018	W	9,850
40260	State/Lake	01/31/2018	W	12,173
40260	State/Lake	01/17/2018	W	11,734
40260	State/Lake	03/13/2018	W	12,312
40260	State/Lake	03/23/2018	W	11,105
40260	State/Lake	01/28/2018	U	3,834
40260	State/Lake	03/06/2018	W	11,896
40260	State/Lake	02/02/2018	W	10,102
40260	State/Lake	03/15/2018	W	12,565
