"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40880	"Thorndale"	"12/17/2017"	"U"	"1,472"
40880	"Thorndale"	"12/16/2017"	"A"	"2,135"
40880	"Thorndale"	"12/24/2017"	"U"	"1,114"
40880	"Thorndale"	"12/06/2017"	"W"	"3,374"
40880	"Thorndale"	"12/04/2017"	"W"	"3,250"
40880	"Thorndale"	"12/12/2017"	"W"	"3,271"
40880	"Thorndale"	"12/25/2017"	"U"	"616"
40880	"Thorndale"	"12/19/2017"	"W"	"3,135"
40880	"Thorndale"	"12/05/2017"	"W"	"3,251"
40880	"Thorndale"	"12/20/2017"	"W"	"3,083"
40880	"Thorndale"	"12/01/2017"	"W"	"3,521"
40880	"Thorndale"	"12/11/2017"	"W"	"3,152"
40880	"Thorndale"	"12/29/2017"	"W"	"1,955"
40880	"Thorndale"	"12/27/2017"	"W"	"1,620"
40880	"Thorndale"	"12/18/2017"	"W"	"3,077"
40880	"Thorndale"	"12/13/2017"	"W"	"3,202"
40880	"Thorndale"	"12/08/2017"	"W"	"3,248"
40880	"Thorndale"	"12/31/2017"	"U"	"1,441"
40880	"Thorndale"	"12/14/2017"	"W"	"3,328"
40880	"Thorndale"	"12/23/2017"	"A"	"1,583"
40880	"Thorndale"	"12/28/2017"	"W"	"1,797"
40880	"Thorndale"	"12/07/2017"	"W"	"3,393"
40880	"Thorndale"	"12/09/2017"	"A"	"2,094"
40880	"Thorndale"	"12/22/2017"	"W"	"2,703"
40880	"Thorndale"	"12/26/2017"	"W"	"1,374"
40880	"Thorndale"	"12/21/2017"	"W"	"3,004"
40880	"Thorndale"	"12/30/2017"	"A"	"1,430"
40880	"Thorndale"	"12/15/2017"	"W"	"3,272"
40880	"Thorndale"	"12/02/2017"	"A"	"2,159"
40880	"Thorndale"	"12/03/2017"	"U"	"1,670"
40880	"Thorndale"	"12/10/2017"	"U"	"1,482"
40880	"Thorndale"	"03/15/2018"	"W"	"3,395"
40880	"Thorndale"	"03/13/2018"	"W"	"3,283"
40880	"Thorndale"	"01/05/2018"	"W"	"2,281"
40880	"Thorndale"	"03/07/2018"	"W"	"3,243"
40880	"Thorndale"	"01/20/2018"	"A"	"2,099"
40880	"Thorndale"	"03/12/2018"	"W"	"3,150"
40880	"Thorndale"	"02/03/2018"	"A"	"1,920"
40880	"Thorndale"	"03/29/2018"	"W"	"2,686"
40880	"Thorndale"	"02/17/2018"	"A"	"2,024"
40880	"Thorndale"	"01/29/2018"	"W"	"3,244"
40880	"Thorndale"	"01/10/2018"	"W"	"3,030"
40880	"Thorndale"	"02/02/2018"	"W"	"2,654"
40880	"Thorndale"	"01/26/2018"	"W"	"3,293"
40880	"Thorndale"	"03/23/2018"	"W"	"3,192"
40880	"Thorndale"	"02/18/2018"	"U"	"1,528"
40880	"Thorndale"	"02/19/2018"	"W"	"2,164"
40880	"Thorndale"	"02/15/2018"	"W"	"3,352"
40880	"Thorndale"	"03/20/2018"	"W"	"3,335"
40880	"Thorndale"	"02/10/2018"	"A"	"2,001"
40880	"Thorndale"	"02/16/2018"	"W"	"3,299"
40880	"Thorndale"	"01/03/2018"	"W"	"2,247"
40880	"Thorndale"	"03/01/2018"	"W"	"3,236"
40880	"Thorndale"	"02/12/2018"	"W"	"3,147"
40880	"Thorndale"	"01/21/2018"	"U"	"1,372"
40880	"Thorndale"	"02/08/2018"	"W"	"3,367"
40880	"Thorndale"	"01/18/2018"	"W"	"3,233"
40880	"Thorndale"	"02/24/2018"	"A"	"2,058"
40880	"Thorndale"	"03/22/2018"	"W"	"3,412"
40880	"Thorndale"	"01/28/2018"	"U"	"1,430"
40880	"Thorndale"	"01/24/2018"	"W"	"3,244"
40880	"Thorndale"	"02/11/2018"	"U"	"1,565"
40880	"Thorndale"	"03/27/2018"	"W"	"2,603"
40880	"Thorndale"	"01/27/2018"	"A"	"2,018"
40880	"Thorndale"	"03/14/2018"	"W"	"3,300"
40880	"Thorndale"	"03/24/2018"	"A"	"1,883"
40880	"Thorndale"	"02/09/2018"	"W"	"2,294"
40880	"Thorndale"	"02/20/2018"	"W"	"3,226"
40880	"Thorndale"	"01/23/2018"	"W"	"3,232"
40880	"Thorndale"	"02/01/2018"	"W"	"3,332"
40880	"Thorndale"	"03/31/2018"	"A"	"1,730"
40880	"Thorndale"	"02/28/2018"	"W"	"3,136"
40880	"Thorndale"	"01/11/2018"	"W"	"3,157"
40880	"Thorndale"	"01/09/2018"	"W"	"3,066"
40880	"Thorndale"	"01/30/2018"	"W"	"3,266"
40880	"Thorndale"	"03/02/2018"	"W"	"3,219"
40880	"Thorndale"	"02/06/2018"	"W"	"3,111"
40880	"Thorndale"	"03/03/2018"	"A"	"2,009"
40880	"Thorndale"	"03/06/2018"	"W"	"3,292"
40880	"Thorndale"	"01/22/2018"	"W"	"3,129"
40880	"Thorndale"	"01/15/2018"	"W"	"1,868"
40880	"Thorndale"	"02/04/2018"	"U"	"1,374"
40880	"Thorndale"	"03/10/2018"	"A"	"1,884"
40880	"Thorndale"	"02/23/2018"	"W"	"3,252"
40880	"Thorndale"	"02/07/2018"	"W"	"3,270"
40880	"Thorndale"	"02/22/2018"	"W"	"3,259"
40880	"Thorndale"	"02/21/2018"	"W"	"3,237"
40880	"Thorndale"	"03/21/2018"	"W"	"3,265"
40880	"Thorndale"	"02/25/2018"	"U"	"1,467"
40880	"Thorndale"	"03/09/2018"	"W"	"3,246"
40880	"Thorndale"	"03/08/2018"	"W"	"3,341"
40880	"Thorndale"	"01/17/2018"	"W"	"3,130"
40880	"Thorndale"	"03/25/2018"	"U"	"1,546"
40880	"Thorndale"	"03/11/2018"	"U"	"1,444"
40880	"Thorndale"	"01/04/2018"	"W"	"2,313"
40880	"Thorndale"	"02/13/2018"	"W"	"3,340"
40880	"Thorndale"	"02/05/2018"	"W"	"3,035"
40880	"Thorndale"	"02/14/2018"	"W"	"3,379"
40880	"Thorndale"	"01/14/2018"	"U"	"1,389"
40880	"Thorndale"	"03/18/2018"	"U"	"1,534"
40880	"Thorndale"	"03/30/2018"	"W"	"2,459"
40880	"Thorndale"	"03/19/2018"	"W"	"3,256"
40880	"Thorndale"	"01/08/2018"	"W"	"3,004"
40880	"Thorndale"	"01/13/2018"	"A"	"1,709"
40880	"Thorndale"	"01/31/2018"	"W"	"3,204"
40880	"Thorndale"	"03/16/2018"	"W"	"3,330"
40880	"Thorndale"	"03/26/2018"	"W"	"2,474"
40880	"Thorndale"	"01/07/2018"	"U"	"1,301"
40880	"Thorndale"	"02/27/2018"	"W"	"3,245"
40880	"Thorndale"	"01/19/2018"	"W"	"3,238"
40880	"Thorndale"	"01/06/2018"	"A"	"1,478"
40880	"Thorndale"	"03/28/2018"	"W"	"2,669"
40880	"Thorndale"	"02/26/2018"	"W"	"3,132"
40880	"Thorndale"	"01/12/2018"	"W"	"2,584"
40880	"Thorndale"	"01/25/2018"	"W"	"3,324"
40880	"Thorndale"	"01/02/2018"	"W"	"1,988"
40880	"Thorndale"	"03/04/2018"	"U"	"1,486"
40880	"Thorndale"	"03/17/2018"	"A"	"2,387"
40880	"Thorndale"	"01/01/2018"	"U"	"965"
40880	"Thorndale"	"01/16/2018"	"W"	"3,182"
40880	"Thorndale"	"03/05/2018"	"W"	"3,111"
40880	"Thorndale"	"06/30/2018"	"A"	"2,272"
40880	"Thorndale"	"04/18/2018"	"W"	"3,073"
40880	"Thorndale"	"06/15/2018"	"W"	"3,108"
40880	"Thorndale"	"06/06/2018"	"W"	"3,222"
40880	"Thorndale"	"05/19/2018"	"A"	"1,999"
40880	"Thorndale"	"04/09/2018"	"W"	"3,122"
40880	"Thorndale"	"05/31/2018"	"W"	"3,326"
40880	"Thorndale"	"05/05/2018"	"A"	"2,106"
40880	"Thorndale"	"04/05/2018"	"W"	"3,352"
40880	"Thorndale"	"05/14/2018"	"W"	"2,878"
40880	"Thorndale"	"06/26/2018"	"W"	"2,761"
40880	"Thorndale"	"05/10/2018"	"W"	"3,295"
40880	"Thorndale"	"05/27/2018"	"U"	"1,659"
40880	"Thorndale"	"06/25/2018"	"W"	"2,666"
40880	"Thorndale"	"05/06/2018"	"U"	"1,482"
40880	"Thorndale"	"04/03/2018"	"W"	"3,267"
40880	"Thorndale"	"04/21/2018"	"A"	"1,939"
40880	"Thorndale"	"06/19/2018"	"W"	"3,120"
40880	"Thorndale"	"04/24/2018"	"W"	"3,272"
40880	"Thorndale"	"06/03/2018"	"U"	"1,525"
40880	"Thorndale"	"06/18/2018"	"W"	"2,929"
40880	"Thorndale"	"04/11/2018"	"W"	"3,332"
40880	"Thorndale"	"04/29/2018"	"U"	"1,553"
40880	"Thorndale"	"04/15/2018"	"U"	"1,352"
40880	"Thorndale"	"06/21/2018"	"W"	"2,787"
40880	"Thorndale"	"04/19/2018"	"W"	"2,967"
40880	"Thorndale"	"05/08/2018"	"W"	"3,259"
40880	"Thorndale"	"04/17/2018"	"W"	"3,267"
40880	"Thorndale"	"05/18/2018"	"W"	"3,198"
40880	"Thorndale"	"06/11/2018"	"W"	"3,131"
40880	"Thorndale"	"06/05/2018"	"W"	"3,410"
40880	"Thorndale"	"04/20/2018"	"W"	"3,209"
40880	"Thorndale"	"04/06/2018"	"W"	"3,295"
40880	"Thorndale"	"06/28/2018"	"W"	"2,901"
40880	"Thorndale"	"05/30/2018"	"W"	"3,200"
40880	"Thorndale"	"05/07/2018"	"W"	"3,009"
40880	"Thorndale"	"04/10/2018"	"W"	"2,976"
40880	"Thorndale"	"06/08/2018"	"W"	"3,260"
40880	"Thorndale"	"06/27/2018"	"W"	"2,782"
40880	"Thorndale"	"06/24/2018"	"U"	"2,297"
40880	"Thorndale"	"05/01/2018"	"W"	"3,316"
40880	"Thorndale"	"04/02/2018"	"W"	"3,037"
40880	"Thorndale"	"04/12/2018"	"W"	"3,289"
40880	"Thorndale"	"04/30/2018"	"W"	"3,104"
40880	"Thorndale"	"04/14/2018"	"A"	"1,887"
40880	"Thorndale"	"04/13/2018"	"W"	"2,738"
40880	"Thorndale"	"05/13/2018"	"U"	"1,458"
40880	"Thorndale"	"05/23/2018"	"W"	"3,253"
40880	"Thorndale"	"06/02/2018"	"A"	"2,016"
40880	"Thorndale"	"06/04/2018"	"W"	"3,008"
40880	"Thorndale"	"04/22/2018"	"U"	"1,417"
40880	"Thorndale"	"06/20/2018"	"W"	"2,810"
40880	"Thorndale"	"06/23/2018"	"A"	"2,134"
40880	"Thorndale"	"05/28/2018"	"U"	"1,510"
40880	"Thorndale"	"04/27/2018"	"W"	"3,270"
40880	"Thorndale"	"06/14/2018"	"W"	"3,176"
40880	"Thorndale"	"05/20/2018"	"U"	"1,375"
40880	"Thorndale"	"06/17/2018"	"U"	"1,594"
40880	"Thorndale"	"04/08/2018"	"U"	"1,439"
40880	"Thorndale"	"04/23/2018"	"W"	"3,097"
40880	"Thorndale"	"06/16/2018"	"A"	"2,226"
40880	"Thorndale"	"06/29/2018"	"W"	"2,877"
40880	"Thorndale"	"04/04/2018"	"W"	"3,156"
40880	"Thorndale"	"05/25/2018"	"W"	"3,095"
40880	"Thorndale"	"06/07/2018"	"W"	"3,303"
40880	"Thorndale"	"04/07/2018"	"A"	"1,915"
40880	"Thorndale"	"05/16/2018"	"W"	"3,222"
40880	"Thorndale"	"05/09/2018"	"W"	"3,236"
40880	"Thorndale"	"04/16/2018"	"W"	"3,118"
40880	"Thorndale"	"04/28/2018"	"A"	"2,020"
40880	"Thorndale"	"05/02/2018"	"W"	"3,194"
40880	"Thorndale"	"05/22/2018"	"W"	"3,221"
40880	"Thorndale"	"04/01/2018"	"U"	"1,285"
40880	"Thorndale"	"05/04/2018"	"W"	"3,307"
40880	"Thorndale"	"05/26/2018"	"A"	"2,121"
40880	"Thorndale"	"05/17/2018"	"W"	"3,201"
40880	"Thorndale"	"06/12/2018"	"W"	"3,087"
40880	"Thorndale"	"06/10/2018"	"U"	"1,503"
40880	"Thorndale"	"06/09/2018"	"A"	"2,010"
40880	"Thorndale"	"05/03/2018"	"W"	"3,398"
40880	"Thorndale"	"04/25/2018"	"W"	"3,246"
40880	"Thorndale"	"06/22/2018"	"W"	"2,765"
40880	"Thorndale"	"05/21/2018"	"W"	"2,916"
40880	"Thorndale"	"05/29/2018"	"W"	"3,066"
40880	"Thorndale"	"06/01/2018"	"W"	"3,337"
40880	"Thorndale"	"05/15/2018"	"W"	"3,226"
