"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40350	"UIC-Halsted"	"12/08/2017"	"W"	"7,462"
40350	"UIC-Halsted"	"12/30/2017"	"A"	"837"
40350	"UIC-Halsted"	"12/13/2017"	"W"	"5,828"
40350	"UIC-Halsted"	"12/11/2017"	"W"	"5,614"
40350	"UIC-Halsted"	"12/20/2017"	"W"	"3,072"
40350	"UIC-Halsted"	"12/01/2017"	"W"	"7,718"
40350	"UIC-Halsted"	"12/28/2017"	"W"	"1,575"
40350	"UIC-Halsted"	"12/04/2017"	"W"	"7,800"
40350	"UIC-Halsted"	"12/19/2017"	"W"	"3,306"
40350	"UIC-Halsted"	"12/06/2017"	"W"	"7,813"
40350	"UIC-Halsted"	"12/29/2017"	"W"	"1,472"
40350	"UIC-Halsted"	"12/17/2017"	"U"	"1,321"
40350	"UIC-Halsted"	"12/25/2017"	"U"	"369"
40350	"UIC-Halsted"	"12/15/2017"	"W"	"5,217"
40350	"UIC-Halsted"	"12/27/2017"	"W"	"1,347"
40350	"UIC-Halsted"	"12/05/2017"	"W"	"7,731"
40350	"UIC-Halsted"	"12/02/2017"	"A"	"2,340"
40350	"UIC-Halsted"	"12/31/2017"	"U"	"800"
40350	"UIC-Halsted"	"12/14/2017"	"W"	"5,493"
40350	"UIC-Halsted"	"12/09/2017"	"A"	"1,947"
40350	"UIC-Halsted"	"12/22/2017"	"W"	"2,334"
40350	"UIC-Halsted"	"12/24/2017"	"U"	"659"
40350	"UIC-Halsted"	"12/07/2017"	"W"	"7,661"
40350	"UIC-Halsted"	"12/18/2017"	"W"	"3,216"
40350	"UIC-Halsted"	"12/16/2017"	"A"	"1,915"
40350	"UIC-Halsted"	"12/12/2017"	"W"	"5,553"
40350	"UIC-Halsted"	"12/26/2017"	"W"	"1,019"
40350	"UIC-Halsted"	"12/23/2017"	"A"	"997"
40350	"UIC-Halsted"	"12/10/2017"	"U"	"1,285"
40350	"UIC-Halsted"	"12/21/2017"	"W"	"2,718"
40350	"UIC-Halsted"	"12/03/2017"	"U"	"1,645"
40350	"UIC-Halsted"	"03/07/2018"	"W"	"7,467"
40350	"UIC-Halsted"	"02/04/2018"	"U"	"1,085"
