ï..station_id	stationname	date	daytype	rides
40370	Washington/Dearborn	12/23/2017	A	6,744
40370	Washington/Dearborn	12/25/2017	U	1,696
40370	Washington/Dearborn	12/20/2017	W	13,896
40370	Washington/Dearborn	12/30/2017	A	4,182
40370	Washington/Dearborn	12/16/2017	A	7,984
40370	Washington/Dearborn	12/09/2017	A	7,952
40370	Washington/Dearborn	12/28/2017	W	9,178
40370	Washington/Dearborn	12/11/2017	W	13,784
40370	Washington/Dearborn	12/10/2017	U	5,773
40370	Washington/Dearborn	12/04/2017	W	13,998
40370	Washington/Dearborn	12/15/2017	W	13,368
40370	Washington/Dearborn	12/18/2017	W	13,839
40370	Washington/Dearborn	12/31/2017	U	3,031
40370	Washington/Dearborn	12/02/2017	A	8,565
40370	Washington/Dearborn	12/19/2017	W	14,024
40370	Washington/Dearborn	12/06/2017	W	13,727
40370	Washington/Dearborn	12/22/2017	W	12,316
40370	Washington/Dearborn	12/14/2017	W	13,747
40370	Washington/Dearborn	12/24/2017	U	3,639
40370	Washington/Dearborn	12/12/2017	W	13,845
40370	Washington/Dearborn	12/07/2017	W	13,908
40370	Washington/Dearborn	12/17/2017	U	5,619
40370	Washington/Dearborn	12/03/2017	U	6,392
40370	Washington/Dearborn	12/05/2017	W	13,755
40370	Washington/Dearborn	12/29/2017	W	8,939
40370	Washington/Dearborn	12/08/2017	W	14,275
40370	Washington/Dearborn	12/13/2017	W	13,509
40370	Washington/Dearborn	12/27/2017	W	8,391
40370	Washington/Dearborn	12/01/2017	W	14,817
40370	Washington/Dearborn	12/21/2017	W	13,360
40370	Washington/Dearborn	12/26/2017	W	6,061
40370	Washington/Dearborn	01/26/2018	W	12,597
40370	Washington/Dearborn	03/02/2018	W	12,734
40370	Washington/Dearborn	01/19/2018	W	12,445
40370	Washington/Dearborn	01/14/2018	U	3,383
40370	Washington/Dearborn	03/21/2018	W	13,044
40370	Washington/Dearborn	03/04/2018	U	3,900
40370	Washington/Dearborn	01/24/2018	W	13,003
40370	Washington/Dearborn	03/10/2018	A	5,688
40370	Washington/Dearborn	03/25/2018	U	4,001
40370	Washington/Dearborn	01/12/2018	W	11,945
40370	Washington/Dearborn	03/11/2018	U	3,958
40370	Washington/Dearborn	02/04/2018	U	2,861
40370	Washington/Dearborn	02/28/2018	W	12,978
40370	Washington/Dearborn	02/14/2018	W	13,770
40370	Washington/Dearborn	01/05/2018	W	11,092
40370	Washington/Dearborn	01/08/2018	W	12,094
40370	Washington/Dearborn	03/08/2018	W	13,278
40370	Washington/Dearborn	03/13/2018	W	13,591
