"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41700	"Washington/Wabash"	"12/09/2017"	"A"	"5,749"
41700	"Washington/Wabash"	"12/14/2017"	"W"	"10,228"
41700	"Washington/Wabash"	"12/25/2017"	"U"	"1,205"
41700	"Washington/Wabash"	"12/27/2017"	"W"	"6,092"
41700	"Washington/Wabash"	"12/29/2017"	"W"	"7,313"
41700	"Washington/Wabash"	"12/18/2017"	"W"	"10,378"
41700	"Washington/Wabash"	"12/19/2017"	"W"	"11,253"
41700	"Washington/Wabash"	"12/17/2017"	"U"	"4,031"
41700	"Washington/Wabash"	"12/04/2017"	"W"	"10,619"
41700	"Washington/Wabash"	"12/01/2017"	"W"	"11,381"
41700	"Washington/Wabash"	"12/21/2017"	"W"	"10,799"
41700	"Washington/Wabash"	"12/06/2017"	"W"	"10,271"
41700	"Washington/Wabash"	"12/26/2017"	"W"	"4,725"
41700	"Washington/Wabash"	"12/22/2017"	"W"	"10,513"
41700	"Washington/Wabash"	"12/31/2017"	"U"	"2,881"
41700	"Washington/Wabash"	"12/20/2017"	"W"	"10,591"
41700	"Washington/Wabash"	"12/05/2017"	"W"	"9,968"
41700	"Washington/Wabash"	"12/24/2017"	"U"	"2,935"
41700	"Washington/Wabash"	"12/07/2017"	"W"	"10,266"
41700	"Washington/Wabash"	"12/10/2017"	"U"	"3,958"
41700	"Washington/Wabash"	"12/02/2017"	"A"	"8,106"
41700	"Washington/Wabash"	"12/13/2017"	"W"	"10,252"
41700	"Washington/Wabash"	"12/30/2017"	"A"	"3,400"
41700	"Washington/Wabash"	"12/28/2017"	"W"	"6,798"
41700	"Washington/Wabash"	"12/23/2017"	"A"	"5,777"
41700	"Washington/Wabash"	"12/03/2017"	"U"	"5,048"
41700	"Washington/Wabash"	"12/12/2017"	"W"	"10,088"
41700	"Washington/Wabash"	"12/16/2017"	"A"	"6,904"
41700	"Washington/Wabash"	"12/15/2017"	"W"	"9,987"
41700	"Washington/Wabash"	"12/11/2017"	"W"	"10,059"
41700	"Washington/Wabash"	"12/08/2017"	"W"	"10,835"
41700	"Washington/Wabash"	"01/06/2018"	"A"	"3,473"
41700	"Washington/Wabash"	"01/17/2018"	"W"	"9,165"
41700	"Washington/Wabash"	"02/23/2018"	"W"	"9,862"
41700	"Washington/Wabash"	"02/02/2018"	"W"	"8,857"
41700	"Washington/Wabash"	"01/21/2018"	"U"	"2,776"
41700	"Washington/Wabash"	"01/07/2018"	"U"	"2,399"
41700	"Washington/Wabash"	"02/10/2018"	"A"	"3,970"
41700	"Washington/Wabash"	"03/17/2018"	"A"	"9,627"
41700	"Washington/Wabash"	"02/12/2018"	"W"	"9,116"
41700	"Washington/Wabash"	"02/09/2018"	"W"	"6,159"
41700	"Washington/Wabash"	"01/09/2018"	"W"	"9,033"
41700	"Washington/Wabash"	"01/30/2018"	"W"	"8,811"
41700	"Washington/Wabash"	"03/08/2018"	"W"	"10,001"
41700	"Washington/Wabash"	"01/10/2018"	"W"	"9,588"
41700	"Washington/Wabash"	"03/02/2018"	"W"	"9,248"
41700	"Washington/Wabash"	"03/07/2018"	"W"	"9,898"
41700	"Washington/Wabash"	"02/08/2018"	"W"	"9,490"
41700	"Washington/Wabash"	"01/14/2018"	"U"	"2,640"
41700	"Washington/Wabash"	"02/19/2018"	"W"	"6,805"
41700	"Washington/Wabash"	"02/15/2018"	"W"	"9,930"
41700	"Washington/Wabash"	"03/21/2018"	"W"	"9,984"
41700	"Washington/Wabash"	"01/03/2018"	"W"	"7,723"
41700	"Washington/Wabash"	"03/26/2018"	"W"	"9,143"
41700	"Washington/Wabash"	"01/25/2018"	"W"	"9,846"
41700	"Washington/Wabash"	"01/05/2018"	"W"	"7,725"
41700	"Washington/Wabash"	"03/16/2018"	"W"	"9,919"
41700	"Washington/Wabash"	"02/18/2018"	"U"	"3,613"
41700	"Washington/Wabash"	"01/15/2018"	"W"	"5,728"
41700	"Washington/Wabash"	"02/06/2018"	"W"	"9,073"
41700	"Washington/Wabash"	"01/12/2018"	"W"	"8,901"
41700	"Washington/Wabash"	"02/22/2018"	"W"	"9,937"
41700	"Washington/Wabash"	"01/18/2018"	"W"	"9,653"
41700	"Washington/Wabash"	"02/21/2018"	"W"	"9,721"
41700	"Washington/Wabash"	"03/19/2018"	"W"	"9,851"
41700	"Washington/Wabash"	"03/13/2018"	"W"	"9,696"
41700	"Washington/Wabash"	"03/10/2018"	"A"	"4,802"
41700	"Washington/Wabash"	"03/27/2018"	"W"	"9,457"
41700	"Washington/Wabash"	"02/14/2018"	"W"	"10,303"
41700	"Washington/Wabash"	"02/07/2018"	"W"	"9,290"
41700	"Washington/Wabash"	"01/29/2018"	"W"	"9,206"
41700	"Washington/Wabash"	"03/30/2018"	"W"	"9,305"
41700	"Washington/Wabash"	"02/27/2018"	"W"	"10,432"
41700	"Washington/Wabash"	"01/02/2018"	"W"	"6,581"
41700	"Washington/Wabash"	"02/11/2018"	"U"	"2,583"
