"ï..station_id","stationname","date","daytype","rides"
41210,"Wellington","12/07/2017","W","3,210"
41210,"Wellington","12/03/2017","U","900"
41210,"Wellington","12/09/2017","A","1,455"
41210,"Wellington","12/23/2017","A","776"
41210,"Wellington","12/06/2017","W","3,246"
41210,"Wellington","12/24/2017","U","337"
41210,"Wellington","12/18/2017","W","2,913"
41210,"Wellington","12/13/2017","W","3,153"
41210,"Wellington","12/21/2017","W","2,716"
41210,"Wellington","12/15/2017","W","2,832"
41210,"Wellington","12/29/2017","W","1,568"
41210,"Wellington","12/25/2017","U","195"
41210,"Wellington","12/19/2017","W","3,029"
41210,"Wellington","12/02/2017","A","1,588"
41210,"Wellington","12/05/2017","W","3,137"
41210,"Wellington","12/14/2017","W","3,178"
41210,"Wellington","12/11/2017","W","2,960"
41210,"Wellington","12/20/2017","W","2,984"
41210,"Wellington","12/31/2017","U","706"
41210,"Wellington","12/10/2017","U","859"
41210,"Wellington","12/30/2017","A","775"
41210,"Wellington","12/12/2017","W","3,011"
41210,"Wellington","12/16/2017","A","1,328"
41210,"Wellington","12/27/2017","W","1,422"
41210,"Wellington","12/26/2017","W","885"
41210,"Wellington","12/01/2017","W","3,166"
41210,"Wellington","12/04/2017","W","3,064"
41210,"Wellington","12/17/2017","U","891"
41210,"Wellington","12/22/2017","W","2,085"
41210,"Wellington","12/08/2017","W","3,045"
41210,"Wellington","12/28/2017","W","1,649"
41210,"Wellington","02/28/2018","W","3,306"
41210,"Wellington","03/02/2018","W","2,994"
41210,"Wellington","03/03/2018","A","1,330"
41210,"Wellington","01/20/2018","A","1,552"
41210,"Wellington","03/19/2018","W","3,020"
41210,"Wellington","03/12/2018","W","3,112"
41210,"Wellington","03/11/2018","U","864"
41210,"Wellington","02/26/2018","W","3,126"
41210,"Wellington","02/04/2018","U","856"
41210,"Wellington","02/14/2018","W","3,358"
41210,"Wellington","02/12/2018","W","3,080"
41210,"Wellington","02/11/2018","U","872"
41210,"Wellington","01/15/2018","W","2,017"
41210,"Wellington","01/12/2018","W","2,924"
41210,"Wellington","01/08/2018","W","3,067"
41210,"Wellington","01/05/2018","W","2,654"
41210,"Wellington","02/25/2018","U","843"
41210,"Wellington","02/27/2018","W","3,249"
41210,"Wellington","02/20/2018","W","3,093"
41210,"Wellington","02/01/2018","W","3,212"
41210,"Wellington","02/16/2018","W","2,936"
41210,"Wellington","01/01/2018","U","507"
41210,"Wellington","03/30/2018","W","2,562"
41210,"Wellington","01/27/2018","A","1,417"
41210,"Wellington","03/26/2018","W","2,894"
41210,"Wellington","03/28/2018","W","3,171"
41210,"Wellington","01/26/2018","W","3,106"
41210,"Wellington","02/17/2018","A","1,272"
41210,"Wellington","03/22/2018","W","3,100"
41210,"Wellington","01/23/2018","W","3,253"
41210,"Wellington","01/11/2018","W","3,213"
41210,"Wellington","03/06/2018","W","3,119"
41210,"Wellington","02/08/2018","W","3,207"
41210,"Wellington","01/28/2018","U","850"
41210,"Wellington","03/17/2018","A","2,646"
41210,"Wellington","01/19/2018","W","3,065"
41210,"Wellington","01/07/2018","U","777"
41210,"Wellington","03/31/2018","A","1,085"
41210,"Wellington","01/09/2018","W","3,116"
41210,"Wellington","02/22/2018","W","3,224"
41210,"Wellington","02/02/2018","W","2,887"
41210,"Wellington","03/21/2018","W","3,093"
41210,"Wellington","01/13/2018","A","1,276"
41210,"Wellington","01/29/2018","W","3,053"
41210,"Wellington","01/06/2018","A","1,082"
41210,"Wellington","03/08/2018","W","3,236"
41210,"Wellington","02/15/2018","W","3,243"
41210,"Wellington","03/04/2018","U","863"
41210,"Wellington","01/24/2018","W","3,300"
41210,"Wellington","01/14/2018","U","773"
41210,"Wellington","02/19/2018","W","2,306"
41210,"Wellington","02/09/2018","W","2,325"
41210,"Wellington","03/20/2018","W","3,069"
41210,"Wellington","03/27/2018","W","3,047"
41210,"Wellington","03/05/2018","W","2,958"
41210,"Wellington","01/02/2018","W","2,401"
41210,"Wellington","02/06/2018","W","3,146"
41210,"Wellington","03/01/2018","W","3,226"
41210,"Wellington","03/24/2018","A","1,202"
41210,"Wellington","03/09/2018","W","3,016"
41210,"Wellington","02/03/2018","A","1,171"
41210,"Wellington","01/22/2018","W","3,018"
41210,"Wellington","02/13/2018","W","3,290"
41210,"Wellington","01/03/2018","W","2,804"
41210,"Wellington","01/21/2018","U","829"
41210,"Wellington","02/24/2018","A","1,336"
41210,"Wellington","01/31/2018","W","3,229"
41210,"Wellington","02/23/2018","W","3,098"
41210,"Wellington","01/16/2018","W","3,227"
41210,"Wellington","02/07/2018","W","3,211"
41210,"Wellington","02/18/2018","U","903"
41210,"Wellington","02/10/2018","A","1,332"
41210,"Wellington","01/17/2018","W","3,199"
41210,"Wellington","03/25/2018","U","869"
41210,"Wellington","01/30/2018","W","3,183"
41210,"Wellington","03/29/2018","W","3,097"
41210,"Wellington","03/16/2018","W","3,043"
41210,"Wellington","02/05/2018","W","2,957"
41210,"Wellington","03/07/2018","W","3,197"
41210,"Wellington","03/18/2018","U","956"
41210,"Wellington","03/13/2018","W","3,235"
41210,"Wellington","02/21/2018","W","3,194"
41210,"Wellington","03/14/2018","W","3,243"
41210,"Wellington","01/25/2018","W","3,296"
41210,"Wellington","01/04/2018","W","2,856"
41210,"Wellington","03/15/2018","W","3,272"
41210,"Wellington","01/10/2018","W","3,223"
41210,"Wellington","03/10/2018","A","1,414"
41210,"Wellington","03/23/2018","W","2,987"
41210,"Wellington","01/18/2018","W","3,268"
41210,"Wellington","06/24/2018","U","4,137"
41210,"Wellington","06/20/2018","W","3,142"
41210,"Wellington","04/04/2018","W","3,224"
41210,"Wellington","04/17/2018","W","3,183"
41210,"Wellington","05/28/2018","U","768"
41210,"Wellington","05/09/2018","W","3,164"
41210,"Wellington","06/06/2018","W","3,126"
41210,"Wellington","06/08/2018","W","2,975"
41210,"Wellington","06/25/2018","W","2,940"
41210,"Wellington","06/07/2018","W","3,234"
41210,"Wellington","04/25/2018","W","3,280"
41210,"Wellington","04/01/2018","U","544"
41210,"Wellington","04/23/2018","W","2,919"
41210,"Wellington","04/03/2018","W","3,139"
41210,"Wellington","04/15/2018","U","718"
41210,"Wellington","05/01/2018","W","3,141"
41210,"Wellington","04/10/2018","W","3,243"
41210,"Wellington","05/16/2018","W","3,183"
41210,"Wellington","05/14/2018","W","2,813"
41210,"Wellington","06/17/2018","U","730"
41210,"Wellington","05/31/2018","W","3,214"
41210,"Wellington","06/27/2018","W","3,096"
41210,"Wellington","05/13/2018","U","775"
41210,"Wellington","06/09/2018","A","1,521"
41210,"Wellington","06/23/2018","A","1,371"
41210,"Wellington","05/17/2018","W","3,260"
41210,"Wellington","05/26/2018","A","1,342"
41210,"Wellington","06/05/2018","W","3,256"
41210,"Wellington","06/15/2018","W","3,085"
41210,"Wellington","06/30/2018","A","1,332"
41210,"Wellington","06/19/2018","W","3,148"
41210,"Wellington","04/27/2018","W","2,949"
41210,"Wellington","05/20/2018","U","770"
41210,"Wellington","05/24/2018","W","3,242"
41210,"Wellington","04/16/2018","W","2,985"
41210,"Wellington","05/08/2018","W","3,210"
41210,"Wellington","04/08/2018","U","814"
41210,"Wellington","06/12/2018","W","3,095"
41210,"Wellington","05/07/2018","W","3,093"
41210,"Wellington","06/04/2018","W","3,037"
41210,"Wellington","06/21/2018","W","3,037"
41210,"Wellington","04/11/2018","W","3,255"
41210,"Wellington","05/23/2018","W","3,237"
41210,"Wellington","05/18/2018","W","2,932"
41210,"Wellington","04/06/2018","W","2,987"
41210,"Wellington","05/19/2018","A","1,231"
41210,"Wellington","04/24/2018","W","3,104"
41210,"Wellington","05/29/2018","W","3,044"
41210,"Wellington","05/04/2018","W","2,974"
41210,"Wellington","04/07/2018","A","1,286"
41210,"Wellington","05/27/2018","U","1,023"
41210,"Wellington","04/29/2018","U","869"
41210,"Wellington","06/02/2018","A","1,363"
41210,"Wellington","05/10/2018","W","3,169"
41210,"Wellington","05/12/2018","A","1,114"
41210,"Wellington","06/11/2018","W","3,017"
41210,"Wellington","04/26/2018","W","3,245"
41210,"Wellington","06/10/2018","U","863"
41210,"Wellington","05/15/2018","W","3,172"
41210,"Wellington","06/01/2018","W","3,077"
41210,"Wellington","05/05/2018","A","1,379"
41210,"Wellington","04/22/2018","U","765"
41210,"Wellington","04/14/2018","A","1,135"
41210,"Wellington","06/14/2018","W","3,103"
41210,"Wellington","04/05/2018","W","3,270"
41210,"Wellington","04/30/2018","W","3,017"
41210,"Wellington","06/16/2018","A","1,262"
41210,"Wellington","05/30/2018","W","3,145"
41210,"Wellington","05/25/2018","W","2,747"
41210,"Wellington","05/02/2018","W","3,174"
41210,"Wellington","04/19/2018","W","3,207"
41210,"Wellington","06/28/2018","W","3,136"
41210,"Wellington","04/28/2018","A","1,297"
41210,"Wellington","06/29/2018","W","2,865"
41210,"Wellington","04/02/2018","W","2,867"
41210,"Wellington","05/21/2018","W","2,836"
41210,"Wellington","06/18/2018","W","2,898"
41210,"Wellington","05/22/2018","W","3,193"
41210,"Wellington","05/06/2018","U","917"
