"ï..station_id","stationname","date","daytype","rides"
40670,"Western/Milwaukee","12/08/2017","W","5,733"
40670,"Western/Milwaukee","12/21/2017","W","5,106"
40670,"Western/Milwaukee","12/29/2017","W","3,059"
40670,"Western/Milwaukee","12/23/2017","A","2,009"
40670,"Western/Milwaukee","12/30/2017","A","1,638"
40670,"Western/Milwaukee","12/16/2017","A","2,623"
40670,"Western/Milwaukee","12/28/2017","W","3,244"
40670,"Western/Milwaukee","12/27/2017","W","2,808"
40670,"Western/Milwaukee","12/05/2017","W","5,616"
40670,"Western/Milwaukee","12/04/2017","W","5,585"
40670,"Western/Milwaukee","12/22/2017","W","4,311"
40670,"Western/Milwaukee","12/24/2017","U","1,204"
40670,"Western/Milwaukee","12/20/2017","W","5,403"
40670,"Western/Milwaukee","12/19/2017","W","5,406"
40670,"Western/Milwaukee","12/13/2017","W","5,510"
40670,"Western/Milwaukee","12/26/2017","W","1,953"
40670,"Western/Milwaukee","12/11/2017","W","5,390"
40670,"Western/Milwaukee","12/10/2017","U","1,876"
40670,"Western/Milwaukee","12/09/2017","A","2,650"
40670,"Western/Milwaukee","12/25/2017","U","589"
40670,"Western/Milwaukee","12/18/2017","W","5,305"
40670,"Western/Milwaukee","12/14/2017","W","5,490"
40670,"Western/Milwaukee","12/31/2017","U","1,345"
40670,"Western/Milwaukee","12/17/2017","U","1,874"
40670,"Western/Milwaukee","12/06/2017","W","5,601"
40670,"Western/Milwaukee","12/02/2017","A","2,665"
40670,"Western/Milwaukee","12/01/2017","W","5,884"
40670,"Western/Milwaukee","12/12/2017","W","5,480"
40670,"Western/Milwaukee","12/07/2017","W","5,745"
40670,"Western/Milwaukee","12/15/2017","W","5,373"
40670,"Western/Milwaukee","12/03/2017","U","2,282"
40670,"Western/Milwaukee","03/08/2018","W","5,636"
40670,"Western/Milwaukee","03/29/2018","W","5,193"
40670,"Western/Milwaukee","02/10/2018","A","2,348"
40670,"Western/Milwaukee","01/12/2018","W","5,083"
40670,"Western/Milwaukee","02/05/2018","W","5,010"
40670,"Western/Milwaukee","01/27/2018","A","2,441"
40670,"Western/Milwaukee","02/23/2018","W","5,460"
40670,"Western/Milwaukee","01/10/2018","W","5,293"
40670,"Western/Milwaukee","01/20/2018","A","2,828"
40670,"Western/Milwaukee","03/11/2018","U","1,712"
40670,"Western/Milwaukee","02/19/2018","W","3,751"
40670,"Western/Milwaukee","03/07/2018","W","5,479"
40670,"Western/Milwaukee","01/03/2018","W","4,354"
40670,"Western/Milwaukee","03/22/2018","W","5,504"
40670,"Western/Milwaukee","01/25/2018","W","5,593"
40670,"Western/Milwaukee","03/13/2018","W","5,445"
40670,"Western/Milwaukee","03/03/2018","A","2,471"
40670,"Western/Milwaukee","03/21/2018","W","5,476"
40670,"Western/Milwaukee","02/13/2018","W","5,644"
40670,"Western/Milwaukee","02/06/2018","W","5,365"
40670,"Western/Milwaukee","01/05/2018","W","4,422"
40670,"Western/Milwaukee","03/27/2018","W","5,153"
40670,"Western/Milwaukee","03/26/2018","W","5,070"
40670,"Western/Milwaukee","02/04/2018","U","1,437"
40670,"Western/Milwaukee","01/26/2018","W","5,325"
40670,"Western/Milwaukee","02/16/2018","W","5,497"
40670,"Western/Milwaukee","03/20/2018","W","5,341"
40670,"Western/Milwaukee","03/31/2018","A","2,313"
40670,"Western/Milwaukee","02/14/2018","W","5,677"
40670,"Western/Milwaukee","02/27/2018","W","5,514"
40670,"Western/Milwaukee","01/31/2018","W","5,557"
40670,"Western/Milwaukee","03/10/2018","A","2,470"
40670,"Western/Milwaukee","03/23/2018","W","5,396"
40670,"Western/Milwaukee","03/09/2018","W","5,448"
40670,"Western/Milwaukee","03/06/2018","W","5,458"
40670,"Western/Milwaukee","03/30/2018","W","4,475"
40670,"Western/Milwaukee","02/18/2018","U","1,735"
40670,"Western/Milwaukee","02/07/2018","W","5,396"
40670,"Western/Milwaukee","03/05/2018","W","5,205"
40670,"Western/Milwaukee","03/25/2018","U","1,789"
40670,"Western/Milwaukee","01/15/2018","W","3,097"
40670,"Western/Milwaukee","02/08/2018","W","5,413"
40670,"Western/Milwaukee","02/01/2018","W","5,453"
40670,"Western/Milwaukee","01/23/2018","W","5,493"
40670,"Western/Milwaukee","01/14/2018","U","1,488"
40670,"Western/Milwaukee","02/26/2018","W","5,338"
40670,"Western/Milwaukee","01/30/2018","W","5,552"
40670,"Western/Milwaukee","01/18/2018","W","5,350"
40670,"Western/Milwaukee","01/09/2018","W","5,260"
40670,"Western/Milwaukee","02/09/2018","W","3,734"
40670,"Western/Milwaukee","02/17/2018","A","2,453"
40670,"Western/Milwaukee","02/21/2018","W","5,467"
40670,"Western/Milwaukee","01/13/2018","A","2,146"
40670,"Western/Milwaukee","03/02/2018","W","5,282"
40670,"Western/Milwaukee","01/07/2018","U","1,369"
40670,"Western/Milwaukee","01/28/2018","U","1,504"
40670,"Western/Milwaukee","01/11/2018","W","5,252"
40670,"Western/Milwaukee","01/21/2018","U","1,483"
40670,"Western/Milwaukee","01/24/2018","W","5,501"
40670,"Western/Milwaukee","02/22/2018","W","5,712"
40670,"Western/Milwaukee","01/22/2018","W","5,258"
40670,"Western/Milwaukee","03/01/2018","W","5,388"
40670,"Western/Milwaukee","03/18/2018","U","1,944"
40670,"Western/Milwaukee","02/24/2018","A","2,284"
40670,"Western/Milwaukee","01/19/2018","W","5,281"
40670,"Western/Milwaukee","01/04/2018","W","4,494"
40670,"Western/Milwaukee","01/16/2018","W","5,525"
40670,"Western/Milwaukee","01/17/2018","W","5,419"
40670,"Western/Milwaukee","02/15/2018","W","5,659"
40670,"Western/Milwaukee","03/14/2018","W","5,572"
40670,"Western/Milwaukee","03/17/2018","A","3,780"
40670,"Western/Milwaukee","02/11/2018","U","1,735"
40670,"Western/Milwaukee","03/04/2018","U","1,792"
40670,"Western/Milwaukee","03/24/2018","A","2,269"
40670,"Western/Milwaukee","03/28/2018","W","5,268"
40670,"Western/Milwaukee","02/25/2018","U","1,755"
40670,"Western/Milwaukee","01/06/2018","A","1,729"
40670,"Western/Milwaukee","01/02/2018","W","3,909"
40670,"Western/Milwaukee","03/19/2018","W","5,368"
40670,"Western/Milwaukee","01/29/2018","W","5,264"
40670,"Western/Milwaukee","02/20/2018","W","5,285"
40670,"Western/Milwaukee","03/15/2018","W","5,537"
40670,"Western/Milwaukee","03/12/2018","W","5,390"
40670,"Western/Milwaukee","02/28/2018","W","5,413"
40670,"Western/Milwaukee","01/08/2018","W","5,024"
40670,"Western/Milwaukee","02/03/2018","A","2,183"
40670,"Western/Milwaukee","03/16/2018","W","5,514"
40670,"Western/Milwaukee","01/01/2018","U","1,446"
40670,"Western/Milwaukee","02/02/2018","W","4,931"
40670,"Western/Milwaukee","02/12/2018","W","5,421"
40670,"Western/Milwaukee","04/06/2018","W","5,482"
40670,"Western/Milwaukee","04/29/2018","U","1,859"
40670,"Western/Milwaukee","05/20/2018","U","1,782"
40670,"Western/Milwaukee","04/25/2018","W","5,553"
40670,"Western/Milwaukee","05/04/2018","W","5,721"
40670,"Western/Milwaukee","06/27/2018","W","5,714"
40670,"Western/Milwaukee","06/25/2018","W","5,487"
40670,"Western/Milwaukee","06/05/2018","W","5,683"
40670,"Western/Milwaukee","06/17/2018","U","2,009"
40670,"Western/Milwaukee","04/09/2018","W","5,267"
40670,"Western/Milwaukee","04/13/2018","W","5,251"
40670,"Western/Milwaukee","04/28/2018","A","2,430"
40670,"Western/Milwaukee","06/02/2018","A","2,710"
40670,"Western/Milwaukee","05/01/2018","W","5,631"
40670,"Western/Milwaukee","04/12/2018","W","5,667"
40670,"Western/Milwaukee","05/23/2018","W","5,615"
40670,"Western/Milwaukee","06/18/2018","W","5,418"
40670,"Western/Milwaukee","06/10/2018","U","1,991"
40670,"Western/Milwaukee","05/24/2018","W","5,680"
40670,"Western/Milwaukee","05/31/2018","W","5,689"
40670,"Western/Milwaukee","05/12/2018","A","2,254"
40670,"Western/Milwaukee","06/20/2018","W","5,693"
40670,"Western/Milwaukee","04/22/2018","U","1,777"
40670,"Western/Milwaukee","05/03/2018","W","5,796"
40670,"Western/Milwaukee","05/13/2018","U","1,699"
40670,"Western/Milwaukee","04/17/2018","W","5,613"
40670,"Western/Milwaukee","05/21/2018","W","5,147"
40670,"Western/Milwaukee","04/24/2018","W","5,517"
40670,"Western/Milwaukee","06/03/2018","U","2,361"
40670,"Western/Milwaukee","04/23/2018","W","5,417"
40670,"Western/Milwaukee","06/11/2018","W","5,658"
40670,"Western/Milwaukee","04/05/2018","W","5,434"
40670,"Western/Milwaukee","06/09/2018","A","2,707"
40670,"Western/Milwaukee","04/03/2018","W","5,379"
