ï..station_id	stationname	date	daytype	rides
41480	Western-Brown	12/06/2017	W	4,210
41480	Western-Brown	12/03/2017	U	2,086
41480	Western-Brown	12/30/2017	A	1,738
41480	Western-Brown	12/22/2017	W	3,592
41480	Western-Brown	12/25/2017	U	600
41480	Western-Brown	12/04/2017	W	4,191
41480	Western-Brown	12/07/2017	W	4,156
41480	Western-Brown	12/08/2017	W	4,132
41480	Western-Brown	12/26/2017	W	1,851
41480	Western-Brown	12/28/2017	W	2,697
41480	Western-Brown	12/15/2017	W	4,114
41480	Western-Brown	12/17/2017	U	1,878
41480	Western-Brown	12/27/2017	W	2,395
41480	Western-Brown	12/13/2017	W	4,231
41480	Western-Brown	12/20/2017	W	4,082
41480	Western-Brown	12/24/2017	U	1,222
41480	Western-Brown	12/23/2017	A	2,122
41480	Western-Brown	12/16/2017	A	2,839
41480	Western-Brown	12/29/2017	W	2,707
41480	Western-Brown	12/01/2017	W	4,397
41480	Western-Brown	12/21/2017	W	3,954
41480	Western-Brown	12/02/2017	A	3,114
41480	Western-Brown	12/31/2017	U	1,473
41480	Western-Brown	12/09/2017	A	2,747
41480	Western-Brown	12/11/2017	W	3,969
41480	Western-Brown	12/14/2017	W	4,150
41480	Western-Brown	12/12/2017	W	3,979
41480	Western-Brown	12/19/2017	W	4,167
41480	Western-Brown	12/05/2017	W	4,140
41480	Western-Brown	12/10/2017	U	1,876
41480	Western-Brown	12/18/2017	W	3,931
41480	Western-Brown	01/24/2018	W	4,254
41480	Western-Brown	01/31/2018	W	4,136
41480	Western-Brown	03/02/2018	W	4,063
41480	Western-Brown	03/24/2018	A	2,451
41480	Western-Brown	03/05/2018	W	3,820
41480	Western-Brown	01/25/2018	W	4,164
41480	Western-Brown	02/05/2018	W	3,817
41480	Western-Brown	02/19/2018	W	3,044
41480	Western-Brown	01/22/2018	W	3,913
41480	Western-Brown	01/15/2018	W	2,605
41480	Western-Brown	03/20/2018	W	3,988
41480	Western-Brown	01/18/2018	W	3,980
41480	Western-Brown	01/05/2018	W	3,323
41480	Western-Brown	02/08/2018	W	4,057
41480	Western-Brown	03/04/2018	U	1,684
41480	Western-Brown	01/28/2018	U	1,652
41480	Western-Brown	03/25/2018	U	1,797
41480	Western-Brown	02/02/2018	W	3,610
41480	Western-Brown	02/01/2018	W	4,090
41480	Western-Brown	02/24/2018	A	2,546
41480	Western-Brown	03/15/2018	W	4,247
41480	Western-Brown	02/23/2018	W	3,927
41480	Western-Brown	01/20/2018	A	3,001
41480	Western-Brown	02/10/2018	A	2,488
41480	Western-Brown	02/25/2018	U	1,781
41480	Western-Brown	03/06/2018	W	4,133
41480	Western-Brown	03/16/2018	W	3,969
41480	Western-Brown	01/07/2018	U	1,393
41480	Western-Brown	03/30/2018	W	3,418
41480	Western-Brown	03/23/2018	W	3,959
41480	Western-Brown	02/20/2018	W	3,969
41480	Western-Brown	03/10/2018	A	2,562
41480	Western-Brown	03/26/2018	W	3,654
41480	Western-Brown	01/23/2018	W	4,073
41480	Western-Brown	03/12/2018	W	3,890
41480	Western-Brown	02/18/2018	U	1,945
41480	Western-Brown	01/29/2018	W	3,870
41480	Western-Brown	02/04/2018	U	1,443
41480	Western-Brown	03/11/2018	U	1,769
41480	Western-Brown	03/21/2018	W	4,182
41480	Western-Brown	02/15/2018	W	4,149
41480	Western-Brown	02/22/2018	W	4,113
41480	Western-Brown	02/27/2018	W	4,203
41480	Western-Brown	02/14/2018	W	4,335
41480	Western-Brown	01/02/2018	W	2,915
41480	Western-Brown	03/09/2018	W	3,987
41480	Western-Brown	02/28/2018	W	4,266
41480	Western-Brown	03/28/2018	W	4,007
41480	Western-Brown	01/06/2018	A	1,976
41480	Western-Brown	03/08/2018	W	4,175
41480	Western-Brown	01/21/2018	U	1,621
41480	Western-Brown	01/14/2018	U	1,563
41480	Western-Brown	01/11/2018	W	4,027
41480	Western-Brown	03/14/2018	W	4,167
41480	Western-Brown	03/07/2018	W	4,177
41480	Western-Brown	03/03/2018	A	2,504
41480	Western-Brown	03/18/2018	U	1,836
41480	Western-Brown	01/19/2018	W	3,947
41480	Western-Brown	02/11/2018	U	1,678
41480	Western-Brown	01/10/2018	W	4,102
41480	Western-Brown	01/13/2018	A	2,222
41480	Western-Brown	01/12/2018	W	3,778
41480	Western-Brown	03/31/2018	A	2,156
41480	Western-Brown	02/03/2018	A	2,253
41480	Western-Brown	03/22/2018	W	4,122
41480	Western-Brown	01/16/2018	W	3,977
41480	Western-Brown	03/01/2018	W	4,063
41480	Western-Brown	03/17/2018	A	3,388
41480	Western-Brown	03/29/2018	W	3,920
41480	Western-Brown	02/13/2018	W	4,190
41480	Western-Brown	01/09/2018	W	3,988
41480	Western-Brown	01/30/2018	W	3,978
41480	Western-Brown	01/08/2018	W	3,881
41480	Western-Brown	03/19/2018	W	3,901
41480	Western-Brown	01/26/2018	W	3,997
41480	Western-Brown	02/26/2018	W	3,969
41480	Western-Brown	03/13/2018	W	4,110
41480	Western-Brown	03/27/2018	W	3,851
41480	Western-Brown	01/03/2018	W	3,389
41480	Western-Brown	02/09/2018	W	3,035
41480	Western-Brown	02/21/2018	W	4,147
41480	Western-Brown	02/07/2018	W	4,107
41480	Western-Brown	02/12/2018	W	3,958
41480	Western-Brown	01/27/2018	A	2,660
41480	Western-Brown	02/17/2018	A	2,571
41480	Western-Brown	01/04/2018	W	3,474
41480	Western-Brown	01/17/2018	W	4,017
41480	Western-Brown	02/06/2018	W	3,950
41480	Western-Brown	02/16/2018	W	4,045
41480	Western-Brown	01/01/2018	U	952
41480	Western-Brown	05/04/2018	W	4,168
41480	Western-Brown	05/31/2018	W	4,259
