"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40220	"Western-Forest Park"	"12/23/2017"	"A"	"754"
40220	"Western-Forest Park"	"12/01/2017"	"W"	"1,912"
40220	"Western-Forest Park"	"12/26/2017"	"W"	"731"
40220	"Western-Forest Park"	"12/16/2017"	"A"	"1,016"
40220	"Western-Forest Park"	"12/02/2017"	"A"	"1,044"
40220	"Western-Forest Park"	"12/31/2017"	"U"	"511"
40220	"Western-Forest Park"	"12/25/2017"	"U"	"377"
40220	"Western-Forest Park"	"12/30/2017"	"A"	"636"
40220	"Western-Forest Park"	"12/14/2017"	"W"	"1,640"
40220	"Western-Forest Park"	"12/09/2017"	"A"	"890"
40220	"Western-Forest Park"	"12/20/2017"	"W"	"1,561"
40220	"Western-Forest Park"	"12/18/2017"	"W"	"1,561"
40220	"Western-Forest Park"	"12/19/2017"	"W"	"1,610"
40220	"Western-Forest Park"	"12/17/2017"	"U"	"738"
40220	"Western-Forest Park"	"12/11/2017"	"W"	"1,561"
40220	"Western-Forest Park"	"12/15/2017"	"W"	"1,649"
40220	"Western-Forest Park"	"12/22/2017"	"W"	"1,398"
40220	"Western-Forest Park"	"12/04/2017"	"W"	"1,720"
40220	"Western-Forest Park"	"12/27/2017"	"W"	"856"
40220	"Western-Forest Park"	"12/29/2017"	"W"	"897"
40220	"Western-Forest Park"	"12/05/2017"	"W"	"1,738"
40220	"Western-Forest Park"	"12/06/2017"	"W"	"1,699"
40220	"Western-Forest Park"	"12/12/2017"	"W"	"1,545"
40220	"Western-Forest Park"	"12/10/2017"	"U"	"656"
40220	"Western-Forest Park"	"12/21/2017"	"W"	"1,528"
40220	"Western-Forest Park"	"12/24/2017"	"U"	"540"
40220	"Western-Forest Park"	"12/03/2017"	"U"	"774"
40220	"Western-Forest Park"	"12/28/2017"	"W"	"864"
40220	"Western-Forest Park"	"12/13/2017"	"W"	"1,655"
40220	"Western-Forest Park"	"12/08/2017"	"W"	"1,694"
40220	"Western-Forest Park"	"12/07/2017"	"W"	"1,690"
40220	"Western-Forest Park"	"03/19/2018"	"W"	"1,529"
40220	"Western-Forest Park"	"02/23/2018"	"W"	"1,714"
40220	"Western-Forest Park"	"02/03/2018"	"A"	"743"
40220	"Western-Forest Park"	"02/14/2018"	"W"	"1,729"
40220	"Western-Forest Park"	"03/02/2018"	"W"	"1,666"
40220	"Western-Forest Park"	"03/01/2018"	"W"	"1,611"
40220	"Western-Forest Park"	"02/12/2018"	"W"	"1,473"
40220	"Western-Forest Park"	"01/06/2018"	"A"	"649"
40220	"Western-Forest Park"	"03/14/2018"	"W"	"1,687"
40220	"Western-Forest Park"	"02/06/2018"	"W"	"1,541"
40220	"Western-Forest Park"	"01/07/2018"	"U"	"542"
40220	"Western-Forest Park"	"03/10/2018"	"A"	"849"
40220	"Western-Forest Park"	"03/21/2018"	"W"	"1,601"
40220	"Western-Forest Park"	"02/09/2018"	"W"	"886"
40220	"Western-Forest Park"	"01/26/2018"	"W"	"1,666"
40220	"Western-Forest Park"	"03/05/2018"	"W"	"1,491"
40220	"Western-Forest Park"	"01/29/2018"	"W"	"1,487"
40220	"Western-Forest Park"	"03/22/2018"	"W"	"1,556"
40220	"Western-Forest Park"	"02/25/2018"	"U"	"707"
40220	"Western-Forest Park"	"01/27/2018"	"A"	"831"
40220	"Western-Forest Park"	"01/08/2018"	"W"	"1,360"
40220	"Western-Forest Park"	"01/15/2018"	"W"	"803"
40220	"Western-Forest Park"	"02/26/2018"	"W"	"1,648"
40220	"Western-Forest Park"	"02/24/2018"	"A"	"866"
40220	"Western-Forest Park"	"02/17/2018"	"A"	"839"
40220	"Western-Forest Park"	"03/18/2018"	"U"	"656"
40220	"Western-Forest Park"	"03/17/2018"	"A"	"1,115"
40220	"Western-Forest Park"	"02/04/2018"	"U"	"550"
40220	"Western-Forest Park"	"01/09/2018"	"W"	"1,484"
40220	"Western-Forest Park"	"01/04/2018"	"W"	"1,046"
40220	"Western-Forest Park"	"02/27/2018"	"W"	"1,729"
40220	"Western-Forest Park"	"03/09/2018"	"W"	"1,646"
40220	"Western-Forest Park"	"03/26/2018"	"W"	"1,175"
40220	"Western-Forest Park"	"01/05/2018"	"W"	"1,033"
40220	"Western-Forest Park"	"02/15/2018"	"W"	"1,610"
40220	"Western-Forest Park"	"01/17/2018"	"W"	"1,603"
40220	"Western-Forest Park"	"03/11/2018"	"U"	"599"
40220	"Western-Forest Park"	"02/19/2018"	"W"	"1,060"
40220	"Western-Forest Park"	"03/27/2018"	"W"	"1,208"
40220	"Western-Forest Park"	"03/31/2018"	"A"	"716"
40220	"Western-Forest Park"	"03/12/2018"	"W"	"1,506"
40220	"Western-Forest Park"	"01/13/2018"	"A"	"761"
40220	"Western-Forest Park"	"01/28/2018"	"U"	"606"
40220	"Western-Forest Park"	"01/01/2018"	"U"	"414"
40220	"Western-Forest Park"	"02/13/2018"	"W"	"1,668"
40220	"Western-Forest Park"	"02/16/2018"	"W"	"1,694"
40220	"Western-Forest Park"	"03/30/2018"	"W"	"1,171"
40220	"Western-Forest Park"	"02/10/2018"	"A"	"724"
40220	"Western-Forest Park"	"01/11/2018"	"W"	"1,514"
40220	"Western-Forest Park"	"01/14/2018"	"U"	"571"
40220	"Western-Forest Park"	"03/03/2018"	"A"	"856"
40220	"Western-Forest Park"	"03/29/2018"	"W"	"1,270"
40220	"Western-Forest Park"	"03/24/2018"	"A"	"802"
40220	"Western-Forest Park"	"02/21/2018"	"W"	"1,691"
40220	"Western-Forest Park"	"01/22/2018"	"W"	"1,516"
40220	"Western-Forest Park"	"03/13/2018"	"W"	"1,588"
40220	"Western-Forest Park"	"02/28/2018"	"W"	"1,743"
40220	"Western-Forest Park"	"01/30/2018"	"W"	"1,647"
40220	"Western-Forest Park"	"03/08/2018"	"W"	"1,696"
40220	"Western-Forest Park"	"01/31/2018"	"W"	"1,671"
40220	"Western-Forest Park"	"03/16/2018"	"W"	"1,687"
40220	"Western-Forest Park"	"01/10/2018"	"W"	"1,531"
40220	"Western-Forest Park"	"01/16/2018"	"W"	"1,602"
40220	"Western-Forest Park"	"02/11/2018"	"U"	"573"
40220	"Western-Forest Park"	"02/18/2018"	"U"	"694"
40220	"Western-Forest Park"	"03/07/2018"	"W"	"1,697"
40220	"Western-Forest Park"	"01/21/2018"	"U"	"589"
40220	"Western-Forest Park"	"03/20/2018"	"W"	"1,595"
40220	"Western-Forest Park"	"01/12/2018"	"W"	"1,418"
40220	"Western-Forest Park"	"03/06/2018"	"W"	"1,641"
40220	"Western-Forest Park"	"03/23/2018"	"W"	"1,599"
40220	"Western-Forest Park"	"01/18/2018"	"W"	"1,610"
40220	"Western-Forest Park"	"02/22/2018"	"W"	"1,683"
40220	"Western-Forest Park"	"02/07/2018"	"W"	"1,556"
40220	"Western-Forest Park"	"01/03/2018"	"W"	"1,052"
40220	"Western-Forest Park"	"02/20/2018"	"W"	"1,608"
40220	"Western-Forest Park"	"02/05/2018"	"W"	"1,439"
40220	"Western-Forest Park"	"02/01/2018"	"W"	"1,703"
40220	"Western-Forest Park"	"03/15/2018"	"W"	"1,725"
40220	"Western-Forest Park"	"01/19/2018"	"W"	"1,611"
40220	"Western-Forest Park"	"01/24/2018"	"W"	"1,644"
40220	"Western-Forest Park"	"01/20/2018"	"A"	"957"
40220	"Western-Forest Park"	"01/25/2018"	"W"	"1,651"
40220	"Western-Forest Park"	"02/02/2018"	"W"	"1,313"
40220	"Western-Forest Park"	"03/28/2018"	"W"	"1,327"
40220	"Western-Forest Park"	"03/04/2018"	"U"	"676"
40220	"Western-Forest Park"	"01/02/2018"	"W"	"874"
40220	"Western-Forest Park"	"02/08/2018"	"W"	"1,602"
40220	"Western-Forest Park"	"01/23/2018"	"W"	"1,664"
40220	"Western-Forest Park"	"03/25/2018"	"U"	"598"
40220	"Western-Forest Park"	"06/23/2018"	"A"	"944"
40220	"Western-Forest Park"	"04/18/2018"	"W"	"1,684"
40220	"Western-Forest Park"	"06/06/2018"	"W"	"1,781"
40220	"Western-Forest Park"	"05/06/2018"	"U"	"739"
40220	"Western-Forest Park"	"04/25/2018"	"W"	"1,717"
40220	"Western-Forest Park"	"04/13/2018"	"W"	"1,452"
40220	"Western-Forest Park"	"04/23/2018"	"W"	"1,635"
40220	"Western-Forest Park"	"04/30/2018"	"W"	"1,603"
40220	"Western-Forest Park"	"04/05/2018"	"W"	"1,616"
40220	"Western-Forest Park"	"04/26/2018"	"W"	"1,767"
40220	"Western-Forest Park"	"05/08/2018"	"W"	"1,705"
40220	"Western-Forest Park"	"05/15/2018"	"W"	"1,750"
40220	"Western-Forest Park"	"04/11/2018"	"W"	"1,727"
40220	"Western-Forest Park"	"06/26/2018"	"W"	"1,425"
40220	"Western-Forest Park"	"06/01/2018"	"W"	"1,759"
40220	"Western-Forest Park"	"04/01/2018"	"U"	"544"
40220	"Western-Forest Park"	"06/27/2018"	"W"	"1,550"
40220	"Western-Forest Park"	"04/15/2018"	"U"	"593"
40220	"Western-Forest Park"	"04/04/2018"	"W"	"1,688"
40220	"Western-Forest Park"	"05/23/2018"	"W"	"1,735"
40220	"Western-Forest Park"	"05/21/2018"	"W"	"1,424"
40220	"Western-Forest Park"	"05/05/2018"	"A"	"920"
40220	"Western-Forest Park"	"06/09/2018"	"A"	"915"
40220	"Western-Forest Park"	"04/14/2018"	"A"	"842"
40220	"Western-Forest Park"	"06/13/2018"	"W"	"1,705"
40220	"Western-Forest Park"	"05/18/2018"	"W"	"1,612"
40220	"Western-Forest Park"	"05/30/2018"	"W"	"1,724"
40220	"Western-Forest Park"	"06/16/2018"	"A"	"1,019"
40220	"Western-Forest Park"	"06/18/2018"	"W"	"1,526"
40220	"Western-Forest Park"	"06/21/2018"	"W"	"1,282"
40220	"Western-Forest Park"	"05/26/2018"	"A"	"955"
40220	"Western-Forest Park"	"05/29/2018"	"W"	"1,688"
40220	"Western-Forest Park"	"05/31/2018"	"W"	"1,694"
40220	"Western-Forest Park"	"05/09/2018"	"W"	"1,723"
40220	"Western-Forest Park"	"04/07/2018"	"A"	"879"
40220	"Western-Forest Park"	"05/27/2018"	"U"	"680"
40220	"Western-Forest Park"	"04/19/2018"	"W"	"1,485"
40220	"Western-Forest Park"	"06/15/2018"	"W"	"1,620"
40220	"Western-Forest Park"	"04/16/2018"	"W"	"1,496"
40220	"Western-Forest Park"	"06/10/2018"	"U"	"654"
40220	"Western-Forest Park"	"05/07/2018"	"W"	"1,609"
40220	"Western-Forest Park"	"06/03/2018"	"U"	"774"
40220	"Western-Forest Park"	"04/12/2018"	"W"	"1,732"
40220	"Western-Forest Park"	"06/29/2018"	"W"	"1,488"
40220	"Western-Forest Park"	"05/19/2018"	"A"	"887"
40220	"Western-Forest Park"	"04/06/2018"	"W"	"1,595"
40220	"Western-Forest Park"	"04/27/2018"	"W"	"1,710"
40220	"Western-Forest Park"	"06/20/2018"	"W"	"1,537"
40220	"Western-Forest Park"	"05/11/2018"	"W"	"1,684"
40220	"Western-Forest Park"	"04/10/2018"	"W"	"1,579"
40220	"Western-Forest Park"	"06/17/2018"	"U"	"779"
40220	"Western-Forest Park"	"05/12/2018"	"A"	"909"
40220	"Western-Forest Park"	"06/05/2018"	"W"	"1,709"
40220	"Western-Forest Park"	"05/01/2018"	"W"	"1,801"
40220	"Western-Forest Park"	"05/03/2018"	"W"	"1,669"
40220	"Western-Forest Park"	"06/14/2018"	"W"	"1,657"
40220	"Western-Forest Park"	"06/28/2018"	"W"	"1,439"
40220	"Western-Forest Park"	"05/17/2018"	"W"	"1,695"
40220	"Western-Forest Park"	"05/28/2018"	"U"	"699"
40220	"Western-Forest Park"	"05/20/2018"	"U"	"662"
40220	"Western-Forest Park"	"04/24/2018"	"W"	"1,706"
40220	"Western-Forest Park"	"04/09/2018"	"W"	"1,493"
40220	"Western-Forest Park"	"04/17/2018"	"W"	"1,673"
40220	"Western-Forest Park"	"04/28/2018"	"A"	"859"
40220	"Western-Forest Park"	"06/25/2018"	"W"	"1,378"
40220	"Western-Forest Park"	"06/24/2018"	"U"	"972"
40220	"Western-Forest Park"	"05/14/2018"	"W"	"1,524"
40220	"Western-Forest Park"	"05/22/2018"	"W"	"1,691"
40220	"Western-Forest Park"	"05/02/2018"	"W"	"1,687"
40220	"Western-Forest Park"	"06/30/2018"	"A"	"894"
40220	"Western-Forest Park"	"06/22/2018"	"W"	"1,384"
40220	"Western-Forest Park"	"06/02/2018"	"A"	"919"
40220	"Western-Forest Park"	"04/08/2018"	"U"	"592"
40220	"Western-Forest Park"	"04/21/2018"	"A"	"822"
40220	"Western-Forest Park"	"06/12/2018"	"W"	"1,718"
40220	"Western-Forest Park"	"05/04/2018"	"W"	"1,717"
40220	"Western-Forest Park"	"06/08/2018"	"W"	"1,631"
40220	"Western-Forest Park"	"06/11/2018"	"W"	"1,521"
40220	"Western-Forest Park"	"04/20/2018"	"W"	"1,812"
40220	"Western-Forest Park"	"06/19/2018"	"W"	"1,656"
40220	"Western-Forest Park"	"06/04/2018"	"W"	"1,584"
40220	"Western-Forest Park"	"04/22/2018"	"U"	"615"
40220	"Western-Forest Park"	"04/03/2018"	"W"	"1,567"
40220	"Western-Forest Park"	"06/07/2018"	"W"	"1,738"
40220	"Western-Forest Park"	"05/24/2018"	"W"	"1,680"
40220	"Western-Forest Park"	"05/25/2018"	"W"	"1,736"
40220	"Western-Forest Park"	"04/02/2018"	"W"	"1,513"
40220	"Western-Forest Park"	"05/13/2018"	"U"	"819"
40220	"Western-Forest Park"	"05/16/2018"	"W"	"1,716"
40220	"Western-Forest Park"	"05/10/2018"	"W"	"1,724"
40220	"Western-Forest Park"	"04/29/2018"	"U"	"688"
40220	"Western-Forest Park"	"07/01/2018"	"U"	"720"
40220	"Western-Forest Park"	"07/02/2018"	"W"	"1,409"
40220	"Western-Forest Park"	"07/03/2018"	"W"	"1,518"
40220	"Western-Forest Park"	"07/04/2018"	"U"	"899"
40220	"Western-Forest Park"	"07/05/2018"	"W"	"1,267"
40220	"Western-Forest Park"	"07/06/2018"	"W"	"1,455"
40220	"Western-Forest Park"	"07/07/2018"	"A"	"951"
40220	"Western-Forest Park"	"07/08/2018"	"U"	"734"
40220	"Western-Forest Park"	"07/09/2018"	"W"	"1,415"
40220	"Western-Forest Park"	"07/10/2018"	"W"	"1,596"
40220	"Western-Forest Park"	"07/11/2018"	"W"	"1,543"
40220	"Western-Forest Park"	"07/12/2018"	"W"	"1,546"
40220	"Western-Forest Park"	"07/13/2018"	"W"	"1,569"
40220	"Western-Forest Park"	"07/14/2018"	"A"	"884"
40220	"Western-Forest Park"	"07/15/2018"	"U"	"816"
40220	"Western-Forest Park"	"07/16/2018"	"W"	"1,414"
40220	"Western-Forest Park"	"07/17/2018"	"W"	"1,529"
40220	"Western-Forest Park"	"07/18/2018"	"W"	"1,541"
40220	"Western-Forest Park"	"07/19/2018"	"W"	"1,505"
40220	"Western-Forest Park"	"07/20/2018"	"W"	"1,485"
40220	"Western-Forest Park"	"07/21/2018"	"A"	"924"
40220	"Western-Forest Park"	"07/22/2018"	"U"	"704"
40220	"Western-Forest Park"	"07/23/2018"	"W"	"1,466"
40220	"Western-Forest Park"	"07/24/2018"	"W"	"1,568"
40220	"Western-Forest Park"	"07/25/2018"	"W"	"1,590"
40220	"Western-Forest Park"	"07/26/2018"	"W"	"1,560"
40220	"Western-Forest Park"	"07/27/2018"	"W"	"1,517"
40220	"Western-Forest Park"	"07/28/2018"	"A"	"925"
40220	"Western-Forest Park"	"07/29/2018"	"U"	"744"
40220	"Western-Forest Park"	"07/30/2018"	"W"	"1,362"
40220	"Western-Forest Park"	"07/31/2018"	"W"	"1,487"
40220	"Western-Forest Park"	"08/01/2018"	"W"	"1,545"
40220	"Western-Forest Park"	"08/02/2018"	"W"	"1,676"
40220	"Western-Forest Park"	"08/03/2018"	"W"	"1,602"
40220	"Western-Forest Park"	"08/04/2018"	"A"	"986"
40220	"Western-Forest Park"	"08/05/2018"	"U"	"811"
40220	"Western-Forest Park"	"08/06/2018"	"W"	"1,390"
40220	"Western-Forest Park"	"08/07/2018"	"W"	"1,373"
40220	"Western-Forest Park"	"08/08/2018"	"W"	"1,436"
40220	"Western-Forest Park"	"08/09/2018"	"W"	"1,502"
40220	"Western-Forest Park"	"08/10/2018"	"W"	"1,540"
40220	"Western-Forest Park"	"08/11/2018"	"A"	"950"
40220	"Western-Forest Park"	"08/12/2018"	"U"	"810"
40220	"Western-Forest Park"	"08/13/2018"	"W"	"1,341"
40220	"Western-Forest Park"	"08/14/2018"	"W"	"1,457"
40220	"Western-Forest Park"	"08/15/2018"	"W"	"1,482"
40220	"Western-Forest Park"	"08/16/2018"	"W"	"1,412"
40220	"Western-Forest Park"	"08/17/2018"	"W"	"1,332"
40220	"Western-Forest Park"	"08/18/2018"	"A"	"928"
40220	"Western-Forest Park"	"08/19/2018"	"U"	"728"
40220	"Western-Forest Park"	"08/20/2018"	"W"	"1,256"
40220	"Western-Forest Park"	"08/21/2018"	"W"	"1,436"
