ï..station_id	stationname	date	daytype	rides
40310	Western-Orange	12/25/2017	U	541
40310	Western-Orange	12/14/2017	W	3,834
40310	Western-Orange	12/27/2017	W	2,313
40310	Western-Orange	12/07/2017	W	3,921
40310	Western-Orange	12/21/2017	W	3,454
40310	Western-Orange	12/28/2017	W	2,501
40310	Western-Orange	12/15/2017	W	3,644
40310	Western-Orange	12/10/2017	U	1,284
40310	Western-Orange	12/22/2017	W	3,407
40310	Western-Orange	12/17/2017	U	1,395
40310	Western-Orange	12/02/2017	A	2,246
40310	Western-Orange	12/18/2017	W	3,482
40310	Western-Orange	12/04/2017	W	3,917
40310	Western-Orange	12/26/2017	W	2,165
40310	Western-Orange	12/03/2017	U	1,648
40310	Western-Orange	12/05/2017	W	3,872
40310	Western-Orange	12/12/2017	W	3,666
40310	Western-Orange	12/30/2017	A	1,357
40310	Western-Orange	12/01/2017	W	3,931
40310	Western-Orange	12/08/2017	W	3,697
40310	Western-Orange	12/11/2017	W	3,736
40310	Western-Orange	12/24/2017	U	1,091
40310	Western-Orange	12/23/2017	A	1,789
40310	Western-Orange	12/06/2017	W	3,914
40310	Western-Orange	12/16/2017	A	1,998
40310	Western-Orange	12/13/2017	W	3,725
40310	Western-Orange	12/20/2017	W	3,504
40310	Western-Orange	12/29/2017	W	2,625
40310	Western-Orange	12/31/2017	U	1,058
40310	Western-Orange	12/09/2017	A	1,890
40310	Western-Orange	12/19/2017	W	3,615
40310	Western-Orange	02/01/2018	W	3,735
40310	Western-Orange	01/29/2018	W	3,529
40310	Western-Orange	02/27/2018	W	3,910
40310	Western-Orange	03/06/2018	W	3,738
40310	Western-Orange	03/21/2018	W	3,766
40310	Western-Orange	03/18/2018	U	1,370
40310	Western-Orange	01/27/2018	A	1,681
40310	Western-Orange	02/20/2018	W	3,603
40310	Western-Orange	02/21/2018	W	3,787
40310	Western-Orange	02/19/2018	W	2,490
40310	Western-Orange	01/11/2018	W	3,453
40310	Western-Orange	02/09/2018	W	2,353
40310	Western-Orange	01/06/2018	A	1,383
40310	Western-Orange	01/07/2018	U	1,070
40310	Western-Orange	01/18/2018	W	3,711
40310	Western-Orange	03/15/2018	W	3,899
40310	Western-Orange	01/26/2018	W	3,587
40310	Western-Orange	02/24/2018	A	1,737
40310	Western-Orange	01/31/2018	W	3,753
40310	Western-Orange	01/05/2018	W	2,695
40310	Western-Orange	03/20/2018	W	3,637
40310	Western-Orange	03/19/2018	W	3,755
40310	Western-Orange	03/26/2018	W	3,159
40310	Western-Orange	02/26/2018	W	3,804
40310	Western-Orange	02/22/2018	W	3,807
40310	Western-Orange	01/02/2018	W	2,397
40310	Western-Orange	02/05/2018	W	3,317
40310	Western-Orange	01/01/2018	U	763
40310	Western-Orange	02/13/2018	W	3,783
40310	Western-Orange	01/22/2018	W	3,577
40310	Western-Orange	03/01/2018	W	3,675
40310	Western-Orange	03/12/2018	W	3,761
40310	Western-Orange	01/04/2018	W	2,719
40310	Western-Orange	02/02/2018	W	3,141
40310	Western-Orange	01/03/2018	W	2,697
40310	Western-Orange	01/25/2018	W	3,828
40310	Western-Orange	03/22/2018	W	3,782
40310	Western-Orange	02/28/2018	W	3,838
40310	Western-Orange	03/30/2018	W	2,997
40310	Western-Orange	02/15/2018	W	3,798
40310	Western-Orange	03/16/2018	W	3,684
40310	Western-Orange	02/18/2018	U	1,252
40310	Western-Orange	03/27/2018	W	3,241
