"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40540	"Wilson"	"12/22/2017"	"W"	"4,861"
40540	"Wilson"	"12/17/2017"	"U"	"2,858"
40540	"Wilson"	"12/12/2017"	"W"	"6,215"
40540	"Wilson"	"12/09/2017"	"A"	"4,228"
40540	"Wilson"	"12/03/2017"	"U"	"3,193"
40540	"Wilson"	"12/11/2017"	"W"	"6,248"
40540	"Wilson"	"12/13/2017"	"W"	"6,145"
40540	"Wilson"	"12/28/2017"	"W"	"3,779"
40540	"Wilson"	"12/24/2017"	"U"	"2,241"
40540	"Wilson"	"12/10/2017"	"U"	"3,221"
40540	"Wilson"	"12/07/2017"	"W"	"6,608"
40540	"Wilson"	"12/26/2017"	"W"	"2,761"
40540	"Wilson"	"12/15/2017"	"W"	"5,932"
40540	"Wilson"	"12/20/2017"	"W"	"5,361"
40540	"Wilson"	"12/06/2017"	"W"	"6,631"
40540	"Wilson"	"12/08/2017"	"W"	"5,861"
40540	"Wilson"	"12/04/2017"	"W"	"6,674"
40540	"Wilson"	"12/25/2017"	"U"	"1,172"
40540	"Wilson"	"12/27/2017"	"W"	"3,327"
40540	"Wilson"	"12/18/2017"	"W"	"5,236"
40540	"Wilson"	"12/02/2017"	"A"	"4,551"
40540	"Wilson"	"12/14/2017"	"W"	"6,319"
40540	"Wilson"	"12/16/2017"	"A"	"4,095"
40540	"Wilson"	"12/19/2017"	"W"	"5,544"
40540	"Wilson"	"12/31/2017"	"U"	"2,464"
40540	"Wilson"	"12/23/2017"	"A"	"3,237"
40540	"Wilson"	"12/29/2017"	"W"	"4,158"
40540	"Wilson"	"12/30/2017"	"A"	"2,881"
40540	"Wilson"	"12/01/2017"	"W"	"6,361"
40540	"Wilson"	"12/05/2017"	"W"	"6,628"
40540	"Wilson"	"12/21/2017"	"W"	"5,323"
40540	"Wilson"	"03/05/2018"	"W"	"6,492"
40540	"Wilson"	"02/13/2018"	"W"	"7,079"
40540	"Wilson"	"01/04/2018"	"W"	"4,566"
40540	"Wilson"	"03/16/2018"	"W"	"6,285"
40540	"Wilson"	"01/24/2018"	"W"	"6,886"
40540	"Wilson"	"03/10/2018"	"A"	"4,315"
40540	"Wilson"	"02/22/2018"	"W"	"6,908"
40540	"Wilson"	"03/13/2018"	"W"	"6,839"
40540	"Wilson"	"02/27/2018"	"W"	"6,899"
40540	"Wilson"	"02/12/2018"	"W"	"6,609"
40540	"Wilson"	"01/10/2018"	"W"	"5,951"
40540	"Wilson"	"02/18/2018"	"U"	"3,026"
40540	"Wilson"	"03/22/2018"	"W"	"6,766"
40540	"Wilson"	"01/01/2018"	"U"	"1,727"
40540	"Wilson"	"01/17/2018"	"W"	"6,689"
40540	"Wilson"	"03/14/2018"	"W"	"6,952"
40540	"Wilson"	"03/19/2018"	"W"	"6,742"
40540	"Wilson"	"02/21/2018"	"W"	"6,947"
40540	"Wilson"	"03/27/2018"	"W"	"5,270"
40540	"Wilson"	"03/02/2018"	"W"	"6,280"
40540	"Wilson"	"01/21/2018"	"U"	"2,767"
40540	"Wilson"	"03/09/2018"	"W"	"5,965"
40540	"Wilson"	"01/15/2018"	"W"	"3,881"
40540	"Wilson"	"01/29/2018"	"W"	"6,406"
40540	"Wilson"	"03/07/2018"	"W"	"6,900"
40540	"Wilson"	"03/23/2018"	"W"	"5,784"
40540	"Wilson"	"01/20/2018"	"A"	"4,426"
40540	"Wilson"	"03/15/2018"	"W"	"7,082"
40540	"Wilson"	"02/07/2018"	"W"	"6,793"
40540	"Wilson"	"01/27/2018"	"A"	"4,144"
40540	"Wilson"	"03/12/2018"	"W"	"6,807"
40540	"Wilson"	"03/29/2018"	"W"	"5,200"
40540	"Wilson"	"01/31/2018"	"W"	"6,832"
40540	"Wilson"	"01/07/2018"	"U"	"2,471"
40540	"Wilson"	"03/30/2018"	"W"	"4,975"
40540	"Wilson"	"03/28/2018"	"W"	"5,403"
40540	"Wilson"	"02/06/2018"	"W"	"6,607"
40540	"Wilson"	"03/21/2018"	"W"	"6,643"
40540	"Wilson"	"01/02/2018"	"W"	"4,152"
40540	"Wilson"	"01/11/2018"	"W"	"5,860"
40540	"Wilson"	"02/15/2018"	"W"	"6,971"
40540	"Wilson"	"02/01/2018"	"W"	"6,704"
40540	"Wilson"	"02/02/2018"	"W"	"5,610"
40540	"Wilson"	"01/05/2018"	"W"	"4,475"
40540	"Wilson"	"01/26/2018"	"W"	"6,130"
40540	"Wilson"	"02/20/2018"	"W"	"6,666"
40540	"Wilson"	"02/28/2018"	"W"	"6,989"
40540	"Wilson"	"01/16/2018"	"W"	"6,770"
40540	"Wilson"	"01/08/2018"	"W"	"5,569"
40540	"Wilson"	"01/14/2018"	"U"	"2,564"
40540	"Wilson"	"02/16/2018"	"W"	"6,065"
40540	"Wilson"	"01/25/2018"	"W"	"6,918"
40540	"Wilson"	"01/13/2018"	"A"	"3,528"
40540	"Wilson"	"02/05/2018"	"W"	"6,287"
40540	"Wilson"	"01/03/2018"	"W"	"4,587"
40540	"Wilson"	"03/18/2018"	"U"	"3,203"
40540	"Wilson"	"02/23/2018"	"W"	"5,963"
40540	"Wilson"	"03/06/2018"	"W"	"6,827"
40540	"Wilson"	"03/25/2018"	"U"	"2,956"
40540	"Wilson"	"02/11/2018"	"U"	"2,793"
40540	"Wilson"	"03/17/2018"	"A"	"4,889"
40540	"Wilson"	"03/03/2018"	"A"	"4,398"
40540	"Wilson"	"03/24/2018"	"A"	"4,426"
40540	"Wilson"	"03/04/2018"	"U"	"2,920"
40540	"Wilson"	"01/06/2018"	"A"	"3,357"
40540	"Wilson"	"03/20/2018"	"W"	"6,640"
40540	"Wilson"	"02/14/2018"	"W"	"7,130"
40540	"Wilson"	"03/31/2018"	"A"	"3,577"
40540	"Wilson"	"01/19/2018"	"W"	"5,786"
40540	"Wilson"	"02/17/2018"	"A"	"4,152"
40540	"Wilson"	"02/09/2018"	"W"	"4,384"
40540	"Wilson"	"02/04/2018"	"U"	"2,485"
40540	"Wilson"	"02/24/2018"	"A"	"4,391"
40540	"Wilson"	"01/22/2018"	"W"	"6,836"
40540	"Wilson"	"02/25/2018"	"U"	"2,905"
40540	"Wilson"	"02/19/2018"	"W"	"4,337"
40540	"Wilson"	"01/23/2018"	"W"	"6,718"
40540	"Wilson"	"01/09/2018"	"W"	"5,760"
40540	"Wilson"	"02/10/2018"	"A"	"4,037"
40540	"Wilson"	"02/26/2018"	"W"	"6,683"
40540	"Wilson"	"01/12/2018"	"W"	"5,060"
40540	"Wilson"	"01/18/2018"	"W"	"6,781"
40540	"Wilson"	"02/03/2018"	"A"	"4,053"
40540	"Wilson"	"02/08/2018"	"W"	"6,880"
40540	"Wilson"	"03/08/2018"	"W"	"6,791"
40540	"Wilson"	"03/11/2018"	"U"	"2,886"
40540	"Wilson"	"03/01/2018"	"W"	"6,821"
40540	"Wilson"	"01/28/2018"	"U"	"2,836"
40540	"Wilson"	"03/26/2018"	"W"	"5,116"
40540	"Wilson"	"01/30/2018"	"W"	"6,771"
40540	"Wilson"	"06/17/2018"	"U"	"3,091"
40540	"Wilson"	"05/11/2018"	"W"	"5,897"
40540	"Wilson"	"04/25/2018"	"W"	"6,906"
40540	"Wilson"	"04/14/2018"	"A"	"3,964"
40540	"Wilson"	"04/20/2018"	"W"	"6,092"
40540	"Wilson"	"06/26/2018"	"W"	"6,158"
40540	"Wilson"	"06/05/2018"	"W"	"6,551"
40540	"Wilson"	"04/06/2018"	"W"	"5,815"
40540	"Wilson"	"05/24/2018"	"W"	"6,332"
40540	"Wilson"	"06/11/2018"	"W"	"6,380"
40540	"Wilson"	"04/28/2018"	"A"	"4,327"
40540	"Wilson"	"05/25/2018"	"W"	"5,915"
40540	"Wilson"	"06/03/2018"	"U"	"3,184"
40540	"Wilson"	"05/20/2018"	"U"	"2,930"
40540	"Wilson"	"04/24/2018"	"W"	"6,788"
40540	"Wilson"	"04/23/2018"	"W"	"6,605"
40540	"Wilson"	"06/06/2018"	"W"	"6,565"
40540	"Wilson"	"04/01/2018"	"U"	"2,267"
40540	"Wilson"	"05/10/2018"	"W"	"6,521"
40540	"Wilson"	"06/15/2018"	"W"	"6,038"
40540	"Wilson"	"05/16/2018"	"W"	"6,222"
40540	"Wilson"	"05/15/2018"	"W"	"6,118"
40540	"Wilson"	"06/01/2018"	"W"	"6,269"
40540	"Wilson"	"04/13/2018"	"W"	"5,717"
40540	"Wilson"	"04/09/2018"	"W"	"6,436"
40540	"Wilson"	"04/18/2018"	"W"	"6,701"
40540	"Wilson"	"05/03/2018"	"W"	"6,961"
40540	"Wilson"	"05/19/2018"	"A"	"4,139"
40540	"Wilson"	"04/30/2018"	"W"	"6,751"
40540	"Wilson"	"06/23/2018"	"A"	"4,660"
40540	"Wilson"	"05/26/2018"	"A"	"4,664"
40540	"Wilson"	"04/08/2018"	"U"	"2,883"
40540	"Wilson"	"06/20/2018"	"W"	"6,299"
40540	"Wilson"	"06/10/2018"	"U"	"3,106"
40540	"Wilson"	"06/21/2018"	"W"	"6,043"
40540	"Wilson"	"05/28/2018"	"U"	"3,328"
40540	"Wilson"	"06/18/2018"	"W"	"6,047"
40540	"Wilson"	"04/27/2018"	"W"	"6,077"
40540	"Wilson"	"04/16/2018"	"W"	"6,564"
40540	"Wilson"	"05/23/2018"	"W"	"6,328"
40540	"Wilson"	"04/17/2018"	"W"	"6,862"
40540	"Wilson"	"05/09/2018"	"W"	"6,356"
40540	"Wilson"	"05/14/2018"	"W"	"5,796"
40540	"Wilson"	"05/27/2018"	"U"	"3,497"
40540	"Wilson"	"04/26/2018"	"W"	"6,858"
40540	"Wilson"	"05/01/2018"	"W"	"6,991"
40540	"Wilson"	"05/07/2018"	"W"	"6,403"
40540	"Wilson"	"04/03/2018"	"W"	"6,578"
40540	"Wilson"	"05/31/2018"	"W"	"6,307"
40540	"Wilson"	"04/22/2018"	"U"	"2,904"
40540	"Wilson"	"05/06/2018"	"U"	"3,433"
40540	"Wilson"	"06/24/2018"	"U"	"8,641"
40540	"Wilson"	"06/16/2018"	"A"	"4,457"
40540	"Wilson"	"06/27/2018"	"W"	"6,215"
40540	"Wilson"	"05/05/2018"	"A"	"5,183"
40540	"Wilson"	"05/12/2018"	"A"	"3,858"
40540	"Wilson"	"04/21/2018"	"A"	"4,346"
40540	"Wilson"	"06/29/2018"	"W"	"5,979"
40540	"Wilson"	"06/04/2018"	"W"	"6,323"
40540	"Wilson"	"05/29/2018"	"W"	"5,999"
40540	"Wilson"	"05/13/2018"	"U"	"2,941"
40540	"Wilson"	"05/04/2018"	"W"	"6,241"
40540	"Wilson"	"06/12/2018"	"W"	"6,574"
40540	"Wilson"	"04/02/2018"	"W"	"6,392"
40540	"Wilson"	"04/19/2018"	"W"	"6,663"
40540	"Wilson"	"04/29/2018"	"U"	"3,152"
40540	"Wilson"	"06/25/2018"	"W"	"6,003"
40540	"Wilson"	"06/22/2018"	"W"	"5,589"
40540	"Wilson"	"04/04/2018"	"W"	"6,882"
40540	"Wilson"	"06/08/2018"	"W"	"5,999"
40540	"Wilson"	"05/02/2018"	"W"	"6,801"
40540	"Wilson"	"06/09/2018"	"A"	"4,398"
40540	"Wilson"	"04/10/2018"	"W"	"6,789"
40540	"Wilson"	"06/07/2018"	"W"	"6,686"
40540	"Wilson"	"06/30/2018"	"A"	"4,544"
40540	"Wilson"	"06/13/2018"	"W"	"6,626"
40540	"Wilson"	"05/30/2018"	"W"	"6,105"
40540	"Wilson"	"05/08/2018"	"W"	"6,677"
